# ITA 2025-26 SECOND-INDEX MATRIX (MX) - emitted 2026-08-05 by inline parse of
# data/raw/wiki-ita-2025-26-article-raw.txt (FBR invoke, action=raw byte-safe; derby
# wikilink decorations stripped). MX|homeStock|awayStock|hg|ag ; 380 cells; goals=922.
# Source label for pack citations: wikimatrix-ita-2526

MX|Lazio|Genoa|3|2
MX|Lazio|Inter|0|3
MX|Lazio|Juventus|1|0
MX|Lazio|Lecce|2|0
MX|Lazio|Milan|1|0
MX|Lazio|Napoli|0|2
MX|Lazio|Parma|1|1
MX|Lazio|Pisa|2|1
MX|Lazio|Roma|0|1
MX|Lazio|Sassuolo|2|1
MX|Lazio|Torino|3|3
MX|Lazio|Udinese|3|3
MX|Lazio|Verona|4|0
MX|Lecce|Atalanta|0|3
MX|Lecce|Bologna|2|2
MX|Lecce|Cagliari|1|2
MX|Lecce|Como|0|3
MX|Lecce|Cremonese|2|1
MX|Lecce|Fiorentina|1|1
MX|Lecce|Genoa|1|0
MX|Lecce|Inter|0|2
MX|Lecce|Juventus|0|1
MX|Lecce|Lazio|0|0
MX|Lecce|Milan|0|2
MX|Lecce|Napoli|0|1
MX|Lecce|Parma|1|2
MX|Lecce|Pisa|1|0
MX|Lecce|Roma|0|2
MX|Lecce|Sassuolo|0|0
MX|Lecce|Torino|2|1
MX|Lecce|Udinese|2|1
MX|Lecce|Verona|0|0
MX|Milan|Atalanta|2|3
MX|Milan|Bologna|1|0
MX|Milan|Cagliari|1|2
MX|Milan|Como|1|1
MX|Milan|Cremonese|1|2
MX|Milan|Fiorentina|2|1
MX|Milan|Genoa|1|1
MX|Milan|Inter|1|0
MX|Milan|Juventus|0|0
MX|Milan|Lazio|1|0
MX|Milan|Lecce|1|0
MX|Milan|Napoli|2|1
MX|Milan|Parma|0|1
MX|Milan|Pisa|2|2
MX|Milan|Roma|1|0
MX|Milan|Sassuolo|2|2
MX|Milan|Torino|3|2
MX|Milan|Udinese|0|3
MX|Milan|Verona|3|0
MX|Napoli|Atalanta|3|1
MX|Napoli|Bologna|2|3
MX|Napoli|Cagliari|1|0
MX|Napoli|Como|0|0
MX|Napoli|Cremonese|4|0
MX|Napoli|Fiorentina|2|1
MX|Napoli|Genoa|2|1
MX|Napoli|Inter|3|1
MX|Napoli|Juventus|2|1
MX|Napoli|Lazio|0|2
MX|Napoli|Lecce|2|1
MX|Napoli|Milan|1|0
MX|Napoli|Parma|0|0
MX|Napoli|Pisa|3|2
MX|Napoli|Roma|2|2
MX|Napoli|Sassuolo|1|0
MX|Napoli|Torino|2|1
MX|Napoli|Udinese|1|0
MX|Napoli|Verona|2|2
MX|Parma|Atalanta|1|1
MX|Parma|Bologna|1|3
MX|Parma|Cagliari|1|1
MX|Parma|Como|0|0
MX|Parma|Cremonese|0|2
MX|Parma|Fiorentina|1|0
MX|Parma|Genoa|0|0
MX|Parma|Inter|0|2
MX|Parma|Juventus|1|4
MX|Parma|Lazio|0|1
MX|Parma|Lecce|0|1
MX|Parma|Milan|2|2
MX|Parma|Napoli|1|1
MX|Parma|Pisa|1|0
MX|Parma|Roma|2|3
MX|Parma|Sassuolo|1|0
MX|Parma|Torino|2|1
MX|Parma|Udinese|0|2
MX|Parma|Verona|2|1
MX|Pisa|Atalanta|1|1
MX|Pisa|Bologna|0|1
MX|Pisa|Cagliari|3|1
MX|Pisa|Como|0|3
MX|Pisa|Cremonese|1|0
MX|Pisa|Fiorentina|0|0
MX|Pisa|Genoa|1|2
MX|Pisa|Inter|0|2
MX|Pisa|Juventus|0|2
MX|Pisa|Lazio|0|0
MX|Pisa|Lecce|1|2
MX|Pisa|Milan|1|2
MX|Pisa|Napoli|0|3
MX|Pisa|Parma|0|1
MX|Pisa|Roma|0|1
MX|Pisa|Sassuolo|1|3
MX|Pisa|Torino|0|1
MX|Pisa|Udinese|0|1
MX|Pisa|Verona|0|0
MX|Roma|Atalanta|1|1
MX|Roma|Bologna|1|0
MX|Roma|Cagliari|2|0
MX|Roma|Como|1|0
MX|Roma|Cremonese|3|0
MX|Roma|Fiorentina|4|0
MX|Roma|Genoa|3|1
MX|Roma|Inter|0|1
MX|Roma|Juventus|3|3
MX|Roma|Lazio|2|0
MX|Roma|Lecce|1|0
MX|Roma|Milan|1|1
MX|Roma|Napoli|0|1
MX|Roma|Parma|2|1
MX|Roma|Pisa|3|0
MX|Roma|Sassuolo|2|0
MX|Roma|Torino|0|1
MX|Roma|Udinese|2|0
MX|Roma|Verona|2|0
MX|Sassuolo|Atalanta|2|1
MX|Sassuolo|Bologna|0|1
MX|Sassuolo|Cagliari|2|1
MX|Sassuolo|Como|2|1
MX|Sassuolo|Cremonese|1|0
MX|Sassuolo|Fiorentina|3|1
MX|Sassuolo|Genoa|1|2
MX|Sassuolo|Inter|0|5
MX|Sassuolo|Juventus|0|3
MX|Sassuolo|Lazio|1|0
MX|Sassuolo|Lecce|2|3
MX|Sassuolo|Milan|2|0
MX|Sassuolo|Napoli|0|2
MX|Sassuolo|Parma|1|1
MX|Sassuolo|Pisa|2|2
MX|Sassuolo|Roma|0|1
MX|Sassuolo|Torino|0|1
MX|Sassuolo|Udinese|3|1
MX|Sassuolo|Verona|3|0
MX|Torino|Atalanta|0|3
MX|Torino|Bologna|1|2
MX|Torino|Cagliari|1|2
MX|Torino|Como|1|5
MX|Torino|Cremonese|1|0
MX|Torino|Fiorentina|0|0
MX|Torino|Genoa|2|1
MX|Torino|Inter|2|2
MX|Torino|Juventus|2|2
MX|Torino|Lazio|2|0
MX|Torino|Lecce|1|0
MX|Torino|Milan|2|3
MX|Torino|Napoli|1|0
MX|Torino|Parma|4|1
MX|Torino|Pisa|2|2
MX|Torino|Roma|0|2
MX|Torino|Sassuolo|2|1
MX|Torino|Udinese|1|2
MX|Torino|Verona|2|1
MX|Udinese|Atalanta|1|0
MX|Udinese|Bologna|0|3
MX|Udinese|Cagliari|1|1
MX|Udinese|Como|0|0
MX|Udinese|Cremonese|0|1
MX|Udinese|Fiorentina|3|0
MX|Udinese|Genoa|1|2
MX|Udinese|Inter|0|1
MX|Udinese|Juventus|0|1
MX|Udinese|Lazio|1|1
MX|Udinese|Lecce|3|2
MX|Udinese|Milan|0|3
MX|Udinese|Napoli|1|0
MX|Udinese|Parma|0|1
MX|Udinese|Pisa|2|2
MX|Udinese|Roma|1|0
MX|Udinese|Sassuolo|1|2
MX|Udinese|Torino|2|0
MX|Udinese|Verona|1|1
MX|Verona|Atalanta|3|1
MX|Verona|Bologna|2|3
MX|Verona|Cagliari|2|2
MX|Verona|Como|0|1
MX|Verona|Cremonese|0|0
MX|Verona|Fiorentina|0|1
MX|Verona|Genoa|0|2
MX|Verona|Inter|1|2
MX|Verona|Juventus|1|1
MX|Verona|Lazio|0|1
MX|Verona|Lecce|0|0
MX|Verona|Milan|0|1
MX|Verona|Napoli|1|2
MX|Verona|Parma|1|2
MX|Verona|Pisa|0|0
MX|Verona|Roma|0|2
MX|Verona|Sassuolo|0|1
MX|Verona|Torino|0|3
MX|Verona|Udinese|1|3
