# EPL 2024-25 — PER-CLUB FULL-CAMPAIGN PIVOT LEDGER (owner decree). Derivation: re-derived
# from audit/ledger/epl-2024-25.txt (all 380 R-rows; each club = its 38 rows stock-name-
# mapped to pack roster string). Columns: #|MD|<date>|<home-or-away>|<opponent(pack string)>|<GF>|<GA>|<venue>
# TEAMPIVOT summary lines gated club-for-club against the ledger TABLE constants
# (W-D-L GF GA PTS) at build time — all 20 PASS (deductions flagged inline). Map:
# Aston Villa=Villa Crystal Palace=Palace Man City=City Man United=United Nott'm Forest=Nottingham
# Sheffield United=SheffUtd West Ham=WestHam; all other roster strings identical to stock names.

TEAMPIVOT|Arsenal|P38 W20 D14 L4 GF69 GA34 PTS74
1|1|2024-08-17|H|Wolves|2|0|home
2|2|2024-08-24|A|Aston Villa|2|0|away
3|3|2024-08-31|H|Brighton|1|1|home
4|4|2024-09-15|A|Tottenham|1|0|away
5|5|2024-09-22|A|Man City|2|2|away
6|6|2024-09-28|H|Leicester|4|2|home
7|7|2024-10-05|H|Southampton|3|1|home
8|8|2024-10-19|A|Bournemouth|0|2|away
9|9|2024-10-27|H|Liverpool|2|2|home
10|10|2024-11-02|A|Newcastle|0|1|away
11|11|2024-11-10|A|Chelsea|1|1|away
12|12|2024-11-23|H|Nott'm Forest|3|0|home
13|13|2024-11-30|A|West Ham|5|2|away
14|14|2024-12-04|H|Man United|2|0|home
15|15|2024-12-08|A|Fulham|1|1|away
16|16|2024-12-14|H|Everton|0|0|home
17|17|2024-12-21|A|Crystal Palace|5|1|away
18|18|2024-12-27|H|Ipswich|1|0|home
19|19|2025-01-01|A|Brentford|3|1|away
20|20|2025-01-04|A|Brighton|1|1|away
21|21|2025-01-15|H|Tottenham|2|1|home
22|22|2025-01-18|H|Aston Villa|2|2|home
23|23|2025-01-25|A|Wolves|1|0|away
24|24|2025-02-02|H|Man City|5|1|home
25|25|2025-02-15|A|Leicester|2|0|away
26|26|2025-02-22|H|West Ham|0|1|home
27|27|2025-02-26|A|Nott'm Forest|0|0|away
28|28|2025-03-09|A|Man United|1|1|away
29|29|2025-03-16|H|Chelsea|1|0|home
30|30|2025-04-01|H|Fulham|2|1|home
31|31|2025-04-05|A|Everton|1|1|away
32|32|2025-04-12|H|Brentford|1|1|home
33|33|2025-04-20|A|Ipswich|4|0|away
34|34|2025-04-23|H|Crystal Palace|2|2|home
35|35|2025-05-03|H|Bournemouth|1|2|home
36|36|2025-05-11|A|Liverpool|2|2|away
37|37|2025-05-18|H|Newcastle|1|0|home
38|38|2025-05-25|A|Southampton|2|1|away

TEAMPIVOT|Bournemouth|P38 W15 D11 L12 GF58 GA46 PTS56
1|1|2024-08-17|A|Nott'm Forest|1|1|away
2|2|2024-08-25|H|Newcastle|1|1|home
3|3|2024-08-31|A|Everton|3|2|away
4|4|2024-09-14|H|Chelsea|0|1|home
5|5|2024-09-21|A|Liverpool|0|3|away
6|6|2024-09-30|H|Southampton|3|1|home
7|7|2024-10-05|A|Leicester|0|1|away
8|8|2024-10-19|H|Arsenal|2|0|home
9|9|2024-10-26|A|Aston Villa|1|1|away
10|10|2024-11-02|H|Man City|2|1|home
11|11|2024-11-09|A|Brentford|2|3|away
12|12|2024-11-23|H|Brighton|1|2|home
13|13|2024-11-30|A|Wolves|4|2|away
14|14|2024-12-05|H|Tottenham|1|0|home
15|15|2024-12-08|A|Ipswich|2|1|away
16|16|2024-12-16|H|West Ham|1|1|home
17|17|2024-12-22|A|Man United|3|0|away
18|18|2024-12-26|H|Crystal Palace|0|0|home
19|19|2024-12-29|A|Fulham|2|2|away
20|20|2025-01-04|H|Everton|1|0|home
21|21|2025-01-14|A|Chelsea|2|2|away
22|22|2025-01-18|A|Newcastle|4|1|away
