# SPA 2025-26 SECOND-INDEX MATRIX (MX) - emitted 2026-08-05 by tools/mx_es_2526.py from
# data/raw/wiki-es-2526-article-raw.txt (FBR invoke, action=raw byte-safe; derby
# wikilink decorations stripped). MX|homePin|awayPin|hg|ag ; 380 cells; goals=1024.
# Source label for pack citations: wikimatrix-es-2526

MX|Getafe|Sociedad|1|2
MX|Getafe|Sevilla|0|1
MX|Getafe|Valencia|0|1
MX|Getafe|Villarreal|2|1
MX|Girona|Alaves|1|0
MX|Girona|Ath Bilbao|3|0
MX|Girona|Ath Madrid|0|3
MX|Girona|Barcelona|2|1
MX|Girona|Celta|1|2
MX|Girona|Elche|1|1
MX|Girona|Espanol|0|0
MX|Girona|Getafe|1|1
MX|Girona|Levante|0|4
MX|Girona|Mallorca|0|1
MX|Girona|Osasuna|1|0
MX|Girona|Oviedo|3|3
MX|Girona|Vallecano|1|3
MX|Girona|Betis|2|3
MX|Girona|Real Madrid|1|1
MX|Girona|Sociedad|1|1
MX|Girona|Sevilla|0|2
MX|Girona|Valencia|2|1
MX|Girona|Villarreal|1|0
MX|Levante|Alaves|2|0
MX|Levante|Ath Bilbao|0|2
MX|Levante|Ath Madrid|0|0
MX|Levante|Barcelona|2|3
MX|Levante|Celta|1|2
MX|Levante|Elche|3|2
MX|Levante|Espanol|1|1
MX|Levante|Getafe|1|0
MX|Levante|Girona|1|1
MX|Levante|Mallorca|2|0
MX|Levante|Osasuna|3|2
MX|Levante|Oviedo|4|2
MX|Levante|Vallecano|0|3
MX|Levante|Betis|2|2
MX|Levante|Real Madrid|1|4
MX|Levante|Sociedad|1|1
MX|Levante|Sevilla|2|0
MX|Levante|Valencia|0|2
MX|Levante|Villarreal|0|1
MX|Mallorca|Alaves|1|0
MX|Mallorca|Ath Bilbao|3|2
MX|Mallorca|Ath Madrid|1|1
MX|Mallorca|Barcelona|0|3
MX|Mallorca|Celta|1|1
MX|Mallorca|Elche|3|1
MX|Mallorca|Espanol|2|1
MX|Mallorca|Getafe|1|0
MX|Mallorca|Girona|1|2
MX|Mallorca|Levante|1|1
MX|Mallorca|Osasuna|2|2
MX|Mallorca|Oviedo|3|0
MX|Mallorca|Vallecano|3|0
MX|Mallorca|Betis|1|2
MX|Mallorca|Real Madrid|2|1
MX|Mallorca|Sociedad|0|1
MX|Mallorca|Sevilla|4|1
MX|Mallorca|Valencia|1|1
MX|Mallorca|Villarreal|1|1
MX|Osasuna|Alaves|3|0
MX|Osasuna|Ath Bilbao|1|1
MX|Osasuna|Ath Madrid|1|2
MX|Osasuna|Barcelona|1|2
MX|Osasuna|Celta|2|3
MX|Osasuna|Elche|1|1
MX|Osasuna|Espanol|1|2
MX|Osasuna|Getafe|2|1
MX|Osasuna|Girona|1|0
MX|Osasuna|Levante|2|0
MX|Osasuna|Mallorca|2|2
MX|Osasuna|Oviedo|3|2
MX|Osasuna|Vallecano|2|0
MX|Osasuna|Betis|1|1
MX|Osasuna|Real Madrid|2|1
MX|Osasuna|Sociedad|1|3
MX|Osasuna|Sevilla|2|1
MX|Osasuna|Valencia|1|0
MX|Osasuna|Villarreal|2|2
MX|Oviedo|Alaves|0|1
MX|Oviedo|Ath Bilbao|1|2
MX|Oviedo|Ath Madrid|0|1
MX|Oviedo|Barcelona|1|3
MX|Oviedo|Celta|0|0
MX|Oviedo|Elche|1|2
MX|Oviedo|Espanol|0|2
MX|Oviedo|Getafe|0|0
MX|Oviedo|Girona|1|0
MX|Oviedo|Levante|0|2
MX|Oviedo|Mallorca|0|0
MX|Oviedo|Osasuna|0|0
MX|Oviedo|Vallecano|0|0
MX|Oviedo|Betis|1|1
MX|Oviedo|Real Madrid|0|3
MX|Oviedo|Sociedad|1|0
MX|Oviedo|Sevilla|1|0
MX|Oviedo|Valencia|1|0
MX|Oviedo|Villarreal|1|1
MX|Vallecano|Alaves|1|0
MX|Vallecano|Ath Bilbao|1|1
MX|Vallecano|Ath Madrid|3|0
MX|Vallecano|Barcelona|1|1
MX|Vallecano|Celta|1|1
MX|Vallecano|Elche|1|0
MX|Vallecano|Espanol|1|0
MX|Vallecano|Getafe|1|1
MX|Vallecano|Girona|1|1
MX|Vallecano|Levante|1|1
MX|Vallecano|Mallorca|2|1
MX|Vallecano|Osasuna|1|3
MX|Vallecano|Oviedo|3|0
MX|Vallecano|Betis|0|0
MX|Vallecano|Real Madrid|0|0
MX|Vallecano|Sociedad|3|3
MX|Vallecano|Sevilla|0|1
MX|Vallecano|Valencia|1|1
MX|Vallecano|Villarreal|2|0
MX|Real Madrid|Alaves|2|1
MX|Real Madrid|Ath Bilbao|4|2
MX|Real Madrid|Ath Madrid|3|2
MX|Real Madrid|Barcelona|2|1
MX|Real Madrid|Celta|0|2
MX|Real Madrid|Elche|4|1
MX|Real Madrid|Espanol|2|0
MX|Real Madrid|Getafe|0|1
MX|Real Madrid|Girona|1|1
MX|Real Madrid|Levante|2|0
MX|Real Madrid|Mallorca|2|1
MX|Real Madrid|Osasuna|1|0
MX|Real Madrid|Oviedo|2|0
MX|Real Madrid|Vallecano|2|1
MX|Real Madrid|Betis|5|1
MX|Real Madrid|Sociedad|4|1
MX|Real Madrid|Sevilla|2|0
MX|Real Madrid|Valencia|4|0
MX|Real Madrid|Villarreal|3|1
MX|Sociedad|Alaves|3|3
MX|Sociedad|Ath Bilbao|3|2
MX|Sociedad|Ath Madrid|1|1
MX|Sociedad|Barcelona|2|1
MX|Sociedad|Celta|3|1
MX|Sociedad|Elche|3|1
MX|Sociedad|Espanol|2|2
MX|Sociedad|Getafe|0|1
