# CZ1 2025/26 DATE+SCORE LATTICE (independent second index)
# Source: BBC Sport "Czech Liga" scores-fixtures month pages, fetched 2026-08-04
#   https://www.bbc.com/sport/football/czech-first-league/scores-fixtures/<YYYY-MM>
# Grammar: D|dateISO|home|hg|ag|away  (ASCII stock strings; BBC names mapped, accents stripped)
# BBC prints fixtures newest-first per month; rows here normalized ascending at assembly time.
D|2025-11-22|Slavia|3|1|Bohemians
D|2025-11-23|Karvina|4|3|Hradec
D|2025-11-23|Jablonec|3|3|Plzen
D|2025-11-23|Slovacko|2|0|Zlin
D|2025-11-29|Ostrava|3|1|Dukla
D|2025-11-29|Hradec|2|0|Jablonec
D|2025-11-29|Zlin|1|3|Karvina
D|2025-11-29|Slavia|3|0|Slovacko
D|2025-11-30|Bohemians|0|1|Teplice
D|2025-11-30|Liberec|1|0|Olomouc
D|2025-11-30|Plzen|2|1|MlBoleslav
D|2025-11-30|Sparta|2|4|Pardubice
D|2025-12-05|Teplice|1|2|Slavia
D|2025-12-06|Dukla|1|1|Liberec
D|2025-12-06|MlBoleslav|3|1|Zlin
D|2025-12-06|Slovacko|3|0|Plzen
D|2025-12-06|Olomouc|0|1|Sparta
D|2025-12-07|Jablonec|1|0|Bohemians
D|2025-12-07|Karvina|0|0|Ostrava
D|2025-12-07|Pardubice|1|0|Hradec
D|2025-12-13|Ostrava|1|4|Pardubice
D|2025-12-13|Hradec|1|1|MlBoleslav
D|2025-12-13|Teplice|1|0|Slovacko
D|2025-12-13|Slavia|4|3|Jablonec
D|2025-12-14|Bohemians|0|3|Karvina
D|2025-12-14|Plzen|2|0|Dukla
D|2025-12-14|Zlin|5|0|Olomouc
D|2025-12-14|Sparta|2|2|Liberec
D|2026-01-31|Jablonec|1|0|Teplice
D|2026-01-31|MlBoleslav|2|2|Bohemians
D|2026-01-31|Olomouc|1|0|Hradec
D|2026-01-31|Dukla|0|3|Sparta
D|2026-02-01|Slovacko|2|2|Ostrava
D|2026-02-01|Karvina|0|2|Plzen
D|2026-02-01|Liberec|2|0|Zlin
D|2026-02-01|Pardubice|1|1|Slavia
D|2026-02-07|Ostrava|2|0|Olomouc
D|2026-02-07|Jablonec|0|0|Slovacko
D|2026-02-07|Teplice|2|0|Karvina
D|2026-02-07|Slavia|4|0|MlBoleslav
D|2026-02-08|Hradec|3|0|Dukla
D|2026-02-08|Bohemians|1|2|Pardubice
D|2026-02-08|Zlin|0|3|Sparta
D|2026-02-08|Plzen|3|1|Liberec
D|2026-02-14|Dukla|0|0|Zlin
D|2026-02-14|Karvina|1|3|Slavia
D|2026-02-14|Slovacko|1|2|Bohemians
D|2026-02-14|Olomouc|1|2|Plzen
D|2026-02-15|Pardubice|0|2|Jablonec
D|2026-02-15|MlBoleslav|0|0|Teplice
D|2026-02-15|Liberec|1|0|Ostrava
D|2026-02-15|Sparta|2|0|Hradec
D|2026-02-21|Hradec|0|0|Zlin
D|2026-02-21|Jablonec|1|0|Karvina
D|2026-02-21|Slovacko|2|0|Pardubice
D|2026-02-21|Slavia|1|0|Liberec
D|2026-02-22|Bohemians|1|0|Dukla
D|2026-02-22|Ostrava|0|0|MlBoleslav
D|2026-02-22|Teplice|1|3|Olomouc
D|2026-02-22|Plzen|0|0|Sparta
D|2026-02-27|Dukla|0|2|Slavia
D|2026-02-28|MlBoleslav|3|0|Jablonec
D|2026-02-28|Pardubice|1|1|Teplice
D|2026-02-28|Liberec|0|1|Hradec
D|2026-02-28|Sparta|5|2|Ostrava
D|2026-03-01|Karvina|0|2|Slovacko
D|2026-03-01|Zlin|3|0|Plzen
D|2026-03-01|Olomouc|1|0|Bohemians
D|2026-03-07|Bohemians|0|0|Liberec
D|2026-03-07|Slovacko|2|2|MlBoleslav
D|2026-03-07|Teplice|0|0|Dukla
D|2026-03-07|Jablonec|1|2|Olomouc
