# ITA 2ND INDEX 2025-26 = openfootball/italy 2025-26/1-seriea.txt (380 matches,
# header '# Dates Sat Aug 23 2025 - Sun May 24 2026 (274d)', '# Matches 380'), fetched
# 2026-08-05 in 6 chunks as data/raw/ofb-it-2025-26.txt (joins c0-c1..c4-c5 + duplicate-banner
# makeup blocks documented in the raw header; c0-c1 DEFECT 'Mon Oct20' fixed to 'Mon Oct 20'
# and disclosure-noted there). Parsed by tools/parse_ofb_it.py: 380/380 rows, 38x10 histogram,
# 20 teams x 38 apps, roster == W.O. pinned 2025-26 set EXACT, 0 name unknowns, 0 DEFECT-SUSPECT.
# ROLE: CARRIER for the 2025-26 league MATCH rows - rsssf ital2026 prints no Serie A round-by-round
# (source_adaptation NOTE in pack per SPEC: independent structured dataset; scored-table
# reproduction gated below vs rsssf ital2026 TABLE constants club-for-club).
# Span 2025-08-23 .. 2026-05-24; 132 distinct dates; goals 922 (avg 2.426).
# Duplicate banners (makeup weeks of postponed RS-16 + RS-24 fixtures): [16, 24].
# TABLE GATE vs rsssf ital2026 TABLE constants (recomputed from these 380 fixtures):
#   OK Inter       pts  87 exp  87  w27 d06 l05 gf089 ga035
#   OK Napoli      pts  76 exp  76  w23 d07 l08 gf058 ga036
#   OK Roma        pts  73 exp  73  w23 d04 l11 gf059 ga031
#   OK Como        pts  71 exp  71  w20 d11 l07 gf065 ga029
#   OK Milan       pts  70 exp  70  w20 d10 l08 gf053 ga035
#   OK Juventus    pts  69 exp  69  w19 d12 l07 gf061 ga034
#   OK Atalanta    pts  59 exp  59  w15 d14 l09 gf051 ga036
#   OK Bologna     pts  56 exp  56  w16 d08 l14 gf049 ga046
#   OK Lazio       pts  54 exp  54  w14 d12 l12 gf041 ga040
#   OK Udinese     pts  50 exp  50  w14 d08 l16 gf045 ga048
#   OK Sassuolo    pts  49 exp  49  w14 d07 l17 gf046 ga050
#   OK Torino      pts  45 exp  45  w12 d09 l17 gf044 ga063
#   OK Parma       pts  45 exp  45  w11 d12 l15 gf028 ga046
#   OK Cagliari    pts  43 exp  43  w11 d10 l17 gf040 ga053
#   OK Fiorentina  pts  42 exp  42  w09 d15 l14 gf041 ga050
#   OK Genoa       pts  41 exp  41  w10 d11 l17 gf041 ga051
#   OK Lecce       pts  38 exp  38  w10 d08 l20 gf028 ga050
#   OK Cremonese   pts  34 exp  34  w08 d10 l20 gf032 ga057
#   OK Verona      pts  21 exp  21  w03 d12 l23 gf025 ga061
#   OK Pisa        pts  18 exp  18  w02 d12 l24 gf026 ga071
# POINTS GATE: 20/20 club-for-club EXACT vs rsssf TABLE constants.
# W/D/L, GF/GA columns listed for cross-check; rsssf TABLE prints pts only in this window.
#
# COLUMNS: MDn|dateISO|home|hg|ag|away
MD8|2025-10-25|Napoli|3|1|Inter
MD8|2025-10-25|Cremonese|1|1|Atalanta
MD8|2025-10-26|Torino|2|1|Genoa
MD8|2025-10-26|Sassuolo|0|1|Roma
MD8|2025-10-26|Verona|2|2|Cagliari
MD8|2025-10-26|Fiorentina|2|2|Bologna
MD8|2025-10-26|Lazio|1|0|Juventus
MD9|2025-10-28|Lecce|0|1|Napoli
MD9|2025-10-28|Atalanta|1|1|Milan
MD9|2025-10-29|Como|3|1|Verona
MD9|2025-10-29|Juventus|3|1|Udinese
MD9|2025-10-29|Roma|2|1|Parma
MD9|2025-10-29|Inter|3|0|Fiorentina
MD9|2025-10-29|Genoa|0|2|Cremonese
MD9|2025-10-29|Bologna|0|0|Torino
MD9|2025-10-30|Cagliari|1|2|Sassuolo
MD9|2025-10-30|Pisa|0|0|Lazio
MD10|2025-11-01|Udinese|1|0|Atalanta
MD10|2025-11-01|Napoli|0|0|Como
MD10|2025-11-01|Cremonese|1|2|Juventus
MD10|2025-11-02|Verona|1|2|Inter
MD10|2025-11-02|Fiorentina|0|1|Lecce
MD10|2025-11-02|Torino|2|2|Pisa
MD10|2025-11-02|Parma|1|3|Bologna
MD10|2025-11-02|Milan|1|0|Roma
MD10|2025-11-03|Sassuolo|1|2|Genoa
MD10|2025-11-03|Lazio|2|0|Cagliari
MD11|2025-11-07|Pisa|1|0|Cremonese
MD11|2025-11-08|Como|0|0|Cagliari
MD11|2025-11-08|Lecce|0|0|Verona
MD11|2025-11-08|Juventus|0|0|Torino
MD11|2025-11-08|Parma|2|2|Milan
MD11|2025-11-09|Atalanta|0|3|Sassuolo
MD11|2025-11-09|Genoa|2|2|Fiorentina
MD11|2025-11-09|Bologna|2|0|Napoli
MD11|2025-11-09|Roma|2|0|Udinese
MD11|2025-11-09|Inter|2|0|Lazio
MD12|2025-11-22|Udinese|0|3|Bologna
MD12|2025-11-22|Cagliari|3|3|Genoa
MD12|2025-11-22|Fiorentina|1|1|Juventus
MD12|2025-11-22|Napoli|3|1|Atalanta
MD12|2025-11-23|Verona|1|2|Parma
MD12|2025-11-23|Cremonese|1|3|Roma
MD12|2025-11-23|Lazio|2|0|Lecce
MD12|2025-11-23|Inter|0|1|Milan
MD12|2025-11-24|Torino|1|5|Como
MD12|2025-11-24|Sassuolo|2|2|Pisa
MD13|2025-11-28|Como|2|0|Sassuolo
MD13|2025-11-29|Parma|0|2|Udinese
MD13|2025-11-29|Genoa|2|1|Verona
MD13|2025-11-29|Juventus|2|1|Cagliari
MD13|2025-11-29|Milan|1|0|Lazio
MD13|2025-11-30|Lecce|2|1|Torino
MD13|2025-11-30|Pisa|0|2|Inter
MD13|2025-11-30|Atalanta|2|0|Fiorentina
MD13|2025-11-30|Roma|0|1|Napoli
MD13|2025-12-01|Bologna|1|3|Cremonese
MD14|2025-12-06|Sassuolo|3|1|Fiorentina
MD14|2025-12-06|Inter|4|0|Como
MD14|2025-12-06|Verona|3|1|Atalanta
MD14|2025-12-07|Cremonese|2|0|Lecce
MD14|2025-12-07|Cagliari|1|0|Roma
MD14|2025-12-07|Lazio|1|1|Bologna
MD14|2025-12-07|Napoli|2|1|Juventus
MD14|2025-12-08|Pisa|0|1|Parma
MD14|2025-12-08|Udinese|1|2|Genoa
MD14|2025-12-08|Torino|2|3|Milan
MD15|2025-12-12|Lecce|1|0|Pisa
MD15|2025-12-13|Torino|1|0|Cremonese
MD15|2025-12-13|Parma|0|1|Lazio
MD15|2025-12-13|Atalanta|2|1|Cagliari
MD15|2025-12-14|Milan|2|2|Sassuolo
MD15|2025-12-14|Fiorentina|1|2|Verona
MD15|2025-12-14|Udinese|1|0|Napoli
MD15|2025-12-14|Genoa|1|2|Inter
MD15|2025-12-14|Bologna|0|1|Juventus
MD15|2025-12-15|Roma|1|0|Como
MD16|2025-12-20|Lazio|0|0|Cremonese
MD16|2025-12-20|Juventus|2|1|Roma
MD16|2025-12-21|Cagliari|2|2|Pisa
MD16|2025-12-21|Sassuolo|0|1|Torino
MD16|2025-12-21|Fiorentina|5|1|Udinese
MD16|2025-12-21|Genoa|0|1|Atalanta
MD17|2025-12-27|Parma|1|0|Fiorentina
MD17|2025-12-27|Lecce|0|3|Como
MD17|2025-12-27|Torino|1|2|Cagliari
MD17|2025-12-27|Udinese|1|1|Lazio
MD17|2025-12-27|Pisa|0|2|Juventus
MD17|2025-12-28|Milan|3|0|Verona
MD17|2025-12-28|Cremonese|0|2|Napoli
MD17|2025-12-28|Bologna|1|1|Sassuolo
MD17|2025-12-28|Atalanta|0|1|Inter
MD17|2025-12-29|Roma|3|1|Genoa
MD18|2026-01-02|Cagliari|0|1|Milan
MD18|2026-01-03|Como|1|0|Udinese
MD18|2026-01-03|Sassuolo|1|1|Parma
MD18|2026-01-03|Genoa|1|1|Pisa
MD18|2026-01-03|Juventus|1|1|Lecce
MD18|2026-01-03|Atalanta|1|0|Roma
MD18|2026-01-04|Lazio|0|2|Napoli
MD18|2026-01-04|Fiorentina|1|0|Cremonese
MD18|2026-01-04|Verona|0|3|Torino
MD18|2026-01-04|Inter|3|1|Bologna
MD19|2026-01-06|Pisa|0|3|Como
MD19|2026-01-06|Lecce|0|2|Roma
MD19|2026-01-06|Sassuolo|0|3|Juventus
MD19|2026-01-07|Bologna|0|2|Atalanta
MD19|2026-01-07|Napoli|2|2|Verona
MD19|2026-01-07|Torino|1|2|Udinese
MD19|2026-01-07|Parma|0|2|Inter
MD19|2026-01-07|Lazio|2|2|Fiorentina
MD19|2026-01-08|Cremonese|2|2|Cagliari
MD19|2026-01-08|Milan|1|1|Genoa
MD20|2026-01-10|Udinese|2|2|Pisa
MD20|2026-01-10|Como|1|1|Bologna
MD20|2026-01-10|Roma|2|0|Sassuolo
MD20|2026-01-10|Atalanta|2|0|Torino
MD20|2026-01-11|Lecce|1|2|Parma
MD20|2026-01-11|Fiorentina|1|1|Milan
MD20|2026-01-11|Verona|0|1|Lazio
MD20|2026-01-11|Inter|2|2|Napoli
MD20|2026-01-12|Genoa|3|0|Cagliari
MD20|2026-01-12|Juventus|5|0|Cremonese
MD16|2026-01-14|Napoli|0|0|Parma
MD16|2026-01-14|Inter|1|0|Lecce
MD16|2026-01-15|Verona|2|3|Bologna
MD16|2026-01-15|Como|1|3|Milan
MD21|2026-01-16|Pisa|1|1|Atalanta
MD21|2026-01-17|Udinese|0|1|Inter
MD21|2026-01-17|Napoli|1|0|Sassuolo
MD21|2026-01-17|Cagliari|1|0|Juventus
MD21|2026-01-18|Parma|0|0|Genoa
MD21|2026-01-18|Bologna|1|2|Fiorentina
MD21|2026-01-18|Torino|0|2|Roma
MD21|2026-01-18|Milan|1|0|Lecce
MD21|2026-01-19|Cremonese|0|0|Verona
MD21|2026-01-19|Lazio|0|3|Como
MD22|2026-01-23|Inter|6|2|Pisa
MD22|2026-01-24|Como|6|0|Torino
MD22|2026-01-24|Fiorentina|1|2|Cagliari
MD22|2026-01-24|Lecce|0|0|Lazio
MD22|2026-01-25|Sassuolo|1|0|Cremonese
MD22|2026-01-25|Genoa|3|2|Bologna
MD22|2026-01-25|Atalanta|4|0|Parma
MD22|2026-01-25|Juventus|3|0|Napoli
MD22|2026-01-25|Roma|1|1|Milan
