normalised_key,canonical_name
brussels,FC Brussels
bryne,Bryne
bscyoungboys,BSC Young Boys
bucaspor,Bucaspor
budafokimte,Budafoki MTE
budapesthonved,Budapest Honvéd
buducnostpodgorica,FK Budućnost Podgorica
burghausen,Burghausen
burgos,Burgos
burnley,Burnley
bursaspor,Bursaspor
burton,Burton
bury,Bury
buyuksehyr,Buyuksehyr
bwlinz,BW Linz
cabinteely,Cabinteely
cadiz,Cadiz
caen,Caen
caernarfontown,Caernarfon Town
cagliari,Cagliari
calarasi,Calarasi
cambridge,Cambridge
cambuur,Cambuur
cardiff,Cardiff
cardiffmetropolitan,Cardiff Metropolitan
carlisle,Carlisle
carpi,Carpi
carrarese,Carrarese
carrickrangers,Carrick Rangers
cartagena,Cartagena
casapia,Casa Pia
castellon,Castellon
catania,Catania
catanzaro,Catanzaro
ceahlaul,Ceahlaul
celje,NK Celje
celta,Celta
celtic,Celtic
cerclebrugge,Cercle Brugge
cesena,Cesena
ceuta,Ceuta
cfrcluj,CFR Cluj
chambly,Chambly
charleroi,Charleroi
charlton,Charlton
chateauroux,Chateauroux
chaves,Chaves
chelsea,Chelsea
cheltenham,Cheltenham
chernomoretsodessa,Chernomorets Odessa
chernomorevarna,Cherno More Varna
chester,Chester
chesterfield,Chesterfield
chievo,Chievo
chindiatargoviste,Chindia Targoviste
cittadella,Cittadella
ciudadmurcia,Ciudad de Murcia
clermont,Clermont
cliftonville,Cliftonville FC
clubebraga,Sporting Clube de Braga
clubeportugal,Sporting Clube de Portugal
cobhramblers,Cobh Ramblers
colchester,Colchester
coleraine,Coleraine FC
colwynbay,Colwyn Bay FC
como,Como
concarneau,Concarneau
concordia,Concordia
connahsquaynomads,Connah's Quay Nomads
copenhagen,FC Copenhagen
cordoba,Cordoba
corkcity,Cork City
coronabrasov,Corona Brasov
corvinul,Corvinul
corvinulhunedoara,FC Corvinul Hunedoara
cosenza,Cosenza
cottbus,Cottbus
coventry,Coventry
cp,Sporting CP
cracovia,Cracovia
crawleytown,Crawley Town
cremonese,Cremonese
creteil,Creteil
crewe,Crewe
crotone,Crotone
crusaders,Crusaders FC
crvenazvezda,Crvena Zvezda
crystalpalace,Crystal Palace
csikszeredamciuc,Csikszereda M. Ciuc
cska1948sofia,CSKA 1948 Sofia
cskamoscow,CSKA Moscow
cskamoskva,CSKA Moskva
cskasofia,CSKA Sofia
cukaricki,FK Čukarički
culturalleonesa,Cultural Leonesa
czjena,CZ Jena
dac1904,FC DAC 1904
daciabuiucani,Dacia Buiucani
dacogeticabucuresti,Daco-Getica Bucuresti
dagandred,Dag and Red
dalkurd,Dalkurd
darlington,Darlington
darmstadt,Darmstadt
debrecenivsc,Debreceni VSC
decictuzi,FK Dečić Tuzi
degerfors,Degerfors
denbosch,Den Bosch
dender,Dender
denhaag,Den Haag
denizlispor,Denizlispor
derby,Derby
derrycity,Derry City
dfkdainava,DFK Dainava
differdange03,FC Differdange 03
dijon,Dijon
dilagori,Dila Gori
dinamobatumi,Dinamo Batumi
dinamobrest,Dinamo Brest
dinamobucuresti,Dinamo Bucuresti
dinamocity,FC Dinamo City
dinamokiev,Dinamo Kiev
dinamominsk,Dinamo Minsk
