normalised_key,canonical_name
reusdeportiu,Reus Deportiu
rfculuxemburg,RFCU Luxemburg
rfs,FK RFS
ried,Ried
riga,Riga FC
rijeka,HNK Rijeka
rimini,Rimini
rioave,Rio Ave
riteriai,FK Riteriai
rizespor,Rizespor
rochdale,Rochdale
roda,Roda
rodajc,Roda JC
rodange91,FC Rodange 91
rodez,Rodez
rodinamoscow,Rodina Moscow
roeselare,Roeselare
rogaska,NK Rogaška
roma,Roma
roosendaal,Roosendaal
rosenborg,Rosenborg
rosscounty,Ross County
rostov,FK Rostov
rotherham,Rotherham
rouen,Rouen
rovaniemi,Rovaniemi
royalantwerp,Royal Antwerp FC
royaleunionsaintgilloise,Royale Union Saint-Gilloise
rubinkazan,Rubin Kazan
ruch,Ruch
ruchchorzow,Ruch Chorzow
rudarpljevlja,FK Rudar Pljevlja
rudes,NK Rudeš
rukhlviv,Rukh Lviv
rushdend,Rushden & D
rvolgograd,R. Volgograd
rwdmolenbeek,RWD Molenbeek
saarbrucken,Saarbrucken
sabadell,Sabadell
sabah,Sabah FK
saburtalo,FC Saburtalo
sakaryaspor,Sakaryaspor
salamanca,Salamanca
salernitana,Salernitana
salford,Salford
salzburg,Salzburg
samax,Şamaxı FK
samguralitskhaltubo,Samgurali Tskhaltubo
sampdoria,Sampdoria
samsunspor,Samsunspor
samtredia,FC Samtredia
sandecjanowys,Sandecja Nowy S.
sandefjord,Sandefjord
sandhausen,Sandhausen
sandnes,Sandnes
santaclara,Santa Clara
santacoloma,FC Santa Coloma
santander,Santander
sarajevo,FK Sarajevo
sarpsborg08,Sarpsborg 08
sassuolo,Sassuolo
sbail,Səbail FK
schaffhausen,Schaffhausen
schalke04,Schalke 04
schifflange95,FC Schifflange 95
scunthorpe,Scunthorpe
sedan,Sedan
sellierbellotvlasim,FC Sellier & Bellot Vlašim
sepsisfgheorghe,Sepsi Sf. Gheorghe
septemvrisofia,Septemvri Sofia
seraing,Seraing
servette,Servette
sete,Sete
setubal,Setubal
sevilla,Sevilla
sevillab,Sevilla B
sfcopava,SFC Opava
shakhtardonetsk,Shakhtar Donetsk
shakhtersoligorsk,Shakhter Soligorsk
shamrockrovers,Shamrock Rovers
sheffieldunited,Sheffield United
sheffieldweds,Sheffield Weds
shelbourne,Shelbourne
sheriff,FC Sheriff
shirak,Shirak FC
shrewsbury,Shrewsbury
shukurakobuleti,Shukura Kobuleti
sibenik,HNK Šibenik
siegen,Siegen
siena,Siena
sigmaolomouc,Sigma Olomouc
sigmaolomoucb,Sigma Olomouc B
silekskratovo,Sileks Kratovo
silkeborg,Silkeborg
sion,Sion
sirens,Sirens FC
sirius,Sirius
sirokibrijeg,Široki Brijeg
sivasspor,Sivasspor
sjk,SJK
sjkseinajoki,SJK Seinäjoki
skakhabarovsk,SKA Khabarovsk
skala,Skála ÍF
slaskwrocaw,Śląsk Wrocław
slaskwroclaw,Slask Wroclaw
slavenbelupo,Slaven Belupo
slaviapraha,Slavia Praha
slaviaprahab,Slavia Praha B
slaviasofia,Slavia Sofia
slaviyamozyr,FK Slaviya Mozyr
sliemawanderers,Sliema Wanderers
sligorovers,Sligo Rovers
slobodatuzla,Sloboda Tuzla
slogadoboj,Sloga Doboj
slovanbratislava,Slovan Bratislava
slovanliberec,Slovan Liberec
slutsk,FK Slutsk
smorgon,FK Smorgon
sochaux,Sochaux
sochi,Sochi
sociedad,Sociedad
sociedadb,Sociedad B
sogndal,Sogndal
sonderjyske,Sonderjyske
southampton,Southampton
southend,Southend
spaeri,Spaeri FC
spal,Spal
sparta,Sparta
spartakmoscow,Spartak Moscow
spartakmoskva,Spartak Moskva
spartaknalchik,Spartak Nalchik
spartaksubotica,Spartak Subotica
spartaktrnava,Spartak Trnava
spartakvarna,Spartak Varna
spartaniisportul,Spartanii Sportul
spartapraha,AC Sparta Praha
spartaprahab,AC Sparta Praha B
spartarotterdam,Sparta Rotterdam
spbraga,Sp Braga
spezia,Spezia
spgijon,Sp Gijon
splafiorita,SP La Fiorita
splisbon,Sp Lisbon
sportlisboaebenfica,Sport Lisboa e Benfica
sptrefiori,SP Tre Fiori
sptrepenne,SP Tre Penne
stabaek,Stabaek
stadebrestois29,Stade Brestois 29
staderennais,Stade Rennais
stalmielec,Stal Mielec
standard,Standard
standardliege,Standard Liège
start,Start
steauabucuresti,FC Steaua Bucureşti
stetienne,St Etienne
stevenage,Stevenage
stgallen,St. Gallen
stgilloise,St. Gilloise
stjohnstone,St Johnstone
stjosephs,St. Joseph's FC
stlucija,St. Luċija FC
stmirren,St Mirren
stockport,Stockport
stoke,Stoke
stpatrick,St. Patrick FC
stpatricks,St. Patricks
stpatricksathletic,St Patrick's Athletic
stpauli,St Pauli
stpolten,St. Polten
strasbourg,Strasbourg
stromsgodset,Stromsgodset
struga,FC Struga
sttruiden,St Truiden
sturmgraz,Sturm Graz
stuttgart,Stuttgart
sudtirol,Sudtirol
suduva,FK Sūduva
suhareka,FC Suhareka
sumgayit,Sumgayit FK
sumgayt,Sumgayıt FK
sunderland,Sunderland
sundsvall,Sundsvall
supernova,SK Super Nova
sutjeska,FK Sutjeska
sutton,Sutton
suuroy,FC Suðuroy
swansea,Swansea
swifthesperange,Swift Hesperange
swindon,Swindon
syrianska,Syrianska
szombathelyihaladas,Szombathelyi Haladás
tambov,Tambov
targumures,Targu Mures
tbtvroyri,TB Tvøroyri
tekstilacodzaci,Tekstilac Odžaci
telavi,FC Telavi
telstar,Telstar
tenerife,Tenerife
teplice,FK Teplice
termalicabb,Termalica B-B.
ternana,Ternana
terrassa,Terrassa
thrasyvoulos,Thrasyvoulos
thun,Thun
tirol,Tirol
tmoscow,T. Moscow
tobylkostanay,Tobyl Kostanay
tomsk,Tomsk
tondela,Tondela
torino,Torino
torpedobelazzhodino,Torpedo-BelAZ Zhodino
torpedokutaisi,Torpedo Kutaisi
torpedomoscow,Torpedo Moscow
torquay,Torquay
tosno,Tosno
tottenham,Tottenham
tottenhamhotspur,Tottenham Hotspur
toulouse,Toulouse
tours,Tours
tps,TPS
trabzonspor,Trabzonspor
tranmere,Tranmere
transinvest,FK TransINVEST
trapani,Trapani
treatyunited,Treaty United
trelleborgs,Trelleborgs
trencin,AS Trenčín
treviso,Treviso
triestina,Triestina
trofense,Trofense
tromsil,Tromsø IL
tromso,Tromso
troyes,Troyes
tscbackatopola,TSC Bačka Topola
tubize,Tubize
tukums2000,FK Tukums 2000
turantovuz,Turan Tovuz
turnuseverin,CS Turnu Severin
tuzlacity,FK Tuzla City
twente,Twente
ucammurcia,UCAM Murcia
ucdublin,UC Dublin
ucluj,U. Cluj
ucraiova,U Craiova
ucraiova1948,U Craiova 1948
udinese,Udinese
uesantacoloma,UE Santa Coloma
ufa,Ufa
ujpest,Újpest FC
ullkisa,Ull/Kisa
ulm,Ulm
umfafturelding,UMF Afturelding
umfstjarnan,UMF Stjarnan
umraniyespor,Umraniyespor
unastrassen,UNA Strassen
uniaomadeira,Uniao Madeira
unionberlin,Union Berlin
unionsaintgilloise,Union Saint-Gilloise
uniontituspetange,Union Titus Pétange
unireaslobozia,Unirea Slobozia
univcraiova,Univ. Craiova
universitateacluj,Universitatea Cluj
universitateacraiova,CS Universitatea Craiova
unkaerjeng,UN Käerjéng
unterhaching,Unterhaching
ural,Ural
urartu,FC Urartu
utaarad,UTA Arad
utrecht,Utrecht
vaasanps,Vaasan PS
vaduz,Vaduz
valence,Valence
valencia,Valencia
valenciennes,Valenciennes
valerenga,Valerenga
valladolid,Valladolid
vallecano,Vallecano
valletta,Valletta FC
valmiera,Valmiera FC
valurreykjavik,Valur Reykjavík
van,FK Van
vannes,Vannes
varazdin,NK Varaždin
varberg,Varberg
vardarskopje,Vardar Skopje
varese,Varese
varnamo,Varnamo
varnsdorf,FK Varnsdorf
vaslui,Vaslui
vasteras,Vasteras SK
vecindario,Vecindario
vejle,Vejle
velezmostar,Velež Mostar
vendsyssel,Vendsyssel
venezia,Venezia
veres,NK Veres
veria,Veria
verona,Verona
vestri,IF Vestri
vestsjaelland,Vestsjaelland
viborg,Viborg
vicenza,Vicenza
victoriarosport,Victoria Rosport
viitorulconstanta,Viitorul Constanta
viking,Viking
vikingur,Víkingur
vikingurreykjavik,Víkingur Reykjavík
viktoriaplzen,Viktoria Plzeň
viktoriazizkov,Viktoria Žižkov
villarreal,Villarreal
villarrealb,Villarreal B
virtus,SS Virtus
virtusentella,Virtus Entella
virtuslanciano,Virtus Lanciano
vitebsk,FK Vitebsk
vitesse,Vitesse
vitoriaguimaraes,Vitória Guimarães
vizela,Vizela
vladikavkaz,Vladikavkaz
vllaznia,FK Vllaznia
vojvodina,Vojvodina
volendam,Volendam
volgannovgorod,Volga N. Novgorod
volgarastrakhan,Volgar-Astrakhan
volosnfc,Volos NFC
voluntari,FC Voluntari
vorsklapoltava,Vorskla Poltava
voskasport,FK Voska Sport
vozdovac,FK Voždovac
vps,VPS
vvvvenlo,VVV Venlo
vysocinajihlava,Vysočina Jihlava
waalwijk,Waalwijk
waaslandbeveren,Waasland-Beveren
wackerinnsbruck,Wacker Innsbruck
walsall,Walsall
waregem,Waregem
wartapoznan,Warta Poznan
waterford,Waterford
watford,Watford
wehen,Wehen
werderbremen,Werder Bremen
westarmenia,FC West Armenia
westbrom,West Brom
westerlo,Westerlo
westham,West Ham
westhamunited,West Ham United
wexford,Wexford
widzewlodz,Widzew Lodz
wieczystakrakow,Wieczysta Krakow
wigan,Wigan
willemii,Willem II
wiltz71,FC Wiltz 71
wimbledon,Wimbledon
winterthur,Winterthur
wisakrakow,Wisła Kraków
wisla,Wisla
wislaplock,Wisla Plock
wolfsberger,Wolfsberger AC
wolfsburg,Wolfsburg
wolves,Wolves
wrexham,Wrexham
wurzburgerkickers,Wurzburger Kickers
wycombe,Wycombe
xamax,Xamax
xanthi,Xanthi
xerez,Xerez
yenimalatyaspor,Yeni Malatyaspor
yenisey,Yenisey
yeovil,Yeovil
york,York
youngboys,Young Boys
yverdon,Yverdon
zaglebie,Zaglebie
zaglebiesosnowiec,Zaglebie Sosnowiec
zalaegerszegite,Zalaegerszegi TE
zalgiris,FK Žalgiris
zaragoza,Zaragoza
zawisza,Zawisza
zbrojovkabrno,Zbrojovka Brno
zeleziarnepodbrezova,FK Železiarne Podbrezová
zeleznicarpancevo,Železničar Pančevo
zeljeznicarsarajevo,Željezničar Sarajevo
zenit,Zenit
zenitstpetersburg,Zenit St. Petersburg
zimbru,FC Zimbru
zira,Zira FK
zlatemoravce,Zlaté Moravce
zlin,FC Zlín
zoryalugansk,Zorya Lugansk
zrinjskimostar,Zrinjski Mostar
zurich,Zurich
zvijezda09bijeljina,Zvijezda 09 Bijeljina
zwolle,Zwolle
