seg,est,n,phase,res,gd,eur_frac
EUR-only,-3.5,2,p3,A,-1,1.0
EUR-only,3.5,2,p3,H,2,1.0
EUR-only,-1.0,3,p3,H,3,1.0
EUR-only,-0.5,2,p3,D,0,1.0
MIXED,-0.2558922558922559,18,p3,A,-1,0.9629629629629629
MIXED,-0.15151515151515152,3,p2,D,0,0.6666666666666666
MIXED,0.875,4,p3,H,1,0.9166666666666666
MIXED,-0.875,4,p3,D,0,0.9166666666666666
MIXED,0.2558922558922559,18,p3,D,0,0.9629629629629629
MIXED,0.15151515151515152,3,p2,A,-1,0.6666666666666666
EUR-only,1.0,3,p3,A,-1,1.0
EUR-only,0.5,2,p3,A,-1,1.0
MIXED,-0.4375,2,p2,D,0,0.5
MIXED,0.8333333333333334,3,p3,H,1,0.8888888888888888
MIXED,-1.5647727272727274,4,p3,A,-3,0.8333333333333334
EUR-only,-0.5,2,p2,A,-3,1.0
EUR-only,0.875,2,p3,A,-3,1.0
MIXED,0.8368298368298368,13,p3,H,2,0.9230769230769231
EUR-only,-0.875,2,p3,A,-1,1.0
MIXED,-0.8368298368298368,13,p3,H,4,0.9230769230769231
MIXED,0.4375,2,p2,H,4,0.5
MIXED,-0.8333333333333334,3,p3,H,3,0.8888888888888888
MIXED,1.5647727272727274,4,p3,D,0,0.8333333333333334
EUR-only,0.5,2,p2,A,-5,1.0
EUR-only,-1.5,2,p2,H,1,1.0
MIXED,-1.9545454545454546,2,p2,D,0,0.5
MIXED,0.6944444444444444,9,p3,H,1,0.9629629629629629
MIXED,1.9545454545454546,2,p2,H,2,0.5
MIXED,-0.6944444444444444,9,p3,A,-2,0.9629629629629629
EUR-only,1.5,2,p2,A,-1,1.0
MIXED,0.35940438871473357,29,p3,H,1,0.7126436781609196
MIXED,-0.35940438871473357,29,p3,D,0,0.7126436781609196
EUR-only,-3.25,2,p2,A,-1,1.0
MIXED,-1.8116883116883116,7,p3,A,-1,0.8571428571428571
EUR-only,3.25,2,p2,H,5,1.0
MIXED,1.8116883116883116,7,p3,H,2,0.8571428571428571
MIXED,1.2,3,p2,D,0,0.8333333333333334
EUR-only,-1.5,2,p2,D,0,1.0
MIXED,0.20606060606060606,9,p3,H,2,0.9259259259259259
MIXED,-0.20606060606060606,9,p3,A,-2,0.9259259259259259
MIXED,-1.2,3,p2,H,1,0.8333333333333334
EUR-only,1.5,2,p2,H,2,1.0
MIXED,-0.375,2,p2,H,1,0.75
MIXED,0.5125,4,p2,D,0,0.75
MIXED,-0.5125,4,p2,H,1,0.75
MIXED,0.375,2,p2,A,-1,0.75
MIXED,-1.0340909090909092,4,p2,A,-1,0.875
MIXED,1.0340909090909092,4,p2,D,0,0.875
MIXED,0.75,2,p3,D,0,0.6666666666666666
MIXED,2.2755681818181817,8,p3,H,2,0.9583333333333334
MIXED,0.875,2,p3,H,4,0.6666666666666666
EUR-only,0.75,3,p3,H,1,1.0
MIXED,-0.875,2,p3,H,1,0.6666666666666666
EUR-only,-0.75,3,p3,H,3,1.0
MIXED,-0.75,2,p3,D,0,0.6666666666666666
MIXED,-2.2755681818181817,8,p3,H,1,0.9583333333333334
MIXED,-0.5375,8,p3,H,3,0.9583333333333334
MIXED,1.4318181818181819,2,p2,H,1,0.75
MIXED,0.5375,8,p3,A,-3,0.9583333333333334
MIXED,-1.4318181818181819,2,p2,A,-1,0.75
MIXED,-1.1287878787878787,6,p2,A,-1,0.9166666666666666
EUR-only,2.0,2,p2,H,6,1.0
MIXED,1.4537878787878789,6,p2,H,2,0.8333333333333334
MIXED,-1.4537878787878789,6,p2,H,2,0.8333333333333334
EUR-only,-2.0,2,p2,A,-1,1.0
MIXED,1.1287878787878787,6,p2,H,3,0.9166666666666666
MIXED,1.6136363636363638,2,p3,H,4,0.6666666666666666
MIXED,0.7307692307692307,13,p3,H,4,0.9743589743589743
MIXED,-0.7307692307692307,13,p3,A,-1,0.9743589743589743
MIXED,-1.6136363636363638,2,p3,A,-2,0.6666666666666666
MIXED,-0.575,4,p2,D,0,0.75
EUR-only,0.0,2,p2,A,-2,1.0
MIXED,0.9242424242424243,9,p3,H,1,0.7407407407407407
EUR-only,-1.25,2,p2,D,0,1.0
EUR-only,-0.75,2,p2,H,3,1.0
MIXED,4.5,2,p3,H,1,0.6666666666666666
MIXED,2.1136363636363633,2,p3,A,-2,0.6666666666666666
EUR-only,0.75,2,p2,H,1,1.0
MIXED,-4.5,2,p3,D,0,0.6666666666666666
MIXED,-2.1136363636363633,2,p3,A,-1,0.6666666666666666
MIXED,0.575,4,p2,H,2,0.75
EUR-only,0.0,2,p2,D,0,1.0
MIXED,-0.9242424242424243,9,p3,H,3,0.7407407407407407
EUR-only,1.25,2,p2,H,2,1.0
MIXED,-1.0340909090909092,4,p2,D,0,0.875
EUR-only,-3.75,2,p2,A,-4,1.0
MIXED,-0.7307692307692307,13,p3,D,0,0.9743589743589743
EUR-only,1.1666666666666667,6,p2,D,0,1.0
MIXED,-1.8116883116883116,7,p3,H,1,0.8571428571428571
MIXED,0.5153846153846153,2,p2,H,2,0.5
EUR-only,-1.1666666666666667,6,p2,A,-1,1.0
MIXED,1.8116883116883116,7,p3,H,5,0.8571428571428571
MIXED,-0.5153846153846153,2,p2,A,-2,0.5
EUR-only,3.75,2,p2,H,5,1.0
MIXED,1.0340909090909092,4,p2,H,1,0.875
MIXED,0.7307692307692307,13,p3,H,1,0.9743589743589743
MIXED,0.8595959595959596,9,p2,A,-3,0.8333333333333334
MIXED,-2.2445454545454546,10,p3,H,2,0.8666666666666667
MIXED,-0.8595959595959596,9,p2,A,-1,0.8333333333333334
MIXED,2.2445454545454546,10,p3,D,0,0.8666666666666667
EUR-only,-1.5,2,p2,D,0,1.0
MIXED,1.0727272727272728,5,p2,A,-2,0.8
EUR-only,1.5,2,p2,H,3,1.0
MIXED,-1.0727272727272728,5,p2,D,0,0.8
MIXED,1.7272727272727273,3,p2,H,3,0.6666666666666666
EUR-only,2.5833333333333335,6,p2,H,7,1.0
MIXED,-1.2104458041958042,8,p2,A,-2,0.75
MIXED,1.175,2,p2,H,1,0.5
EUR-only,-0.33333333333333337,7,p2,A,-3,1.0
EUR-only,0.75,5,p2,H,1,1.0
MIXED,-0.388888888888889,5,p3,D,0,0.6666666666666666
MIXED,1.725,4,p2,H,6,0.875
MIXED,1.2954545454545454,2,p2,H,5,0.75
EUR-only,1.0,4,p3,H,4,1.0
EUR-only,0.4,2,p2,H,2,1.0
MIXED,-2.466666666666667,3,p2,H,1,0.6666666666666666
MIXED,0.2558441558441558,7,p2,A,-1,0.8571428571428571
MIXED,0.44191919191919193,15,p3,D,0,0.9333333333333333
MIXED,-2.1647727272727275,4,p2,H,1,0.75
EUR-only,-1.3333333333333333,3,p2,H,4,1.0
MIXED,0.5227272727272727,5,p2,H,2,0.9
MIXED,3.5,4,p3,H,2,0.6666666666666666
MIXED,0.32575757575757575,7,p2,H,3,0.8571428571428571
EUR-only,-0.125,4,p3,A,-1,1.0
MIXED,-1.2580808080808081,9,p2,H,3,0.8888888888888888
EUR-only,-0.52,5,p2,A,-1,1.0
EUR-only,0.8125,4,p2,A,-2,1.0
EUR-only,0.25,2,p2,H,1,1.0
MIXED,1.939423076923077,8,p2,A,-2,0.8125
MIXED,-1.725,4,p2,H,2,0.875
MIXED,1.0075757575757576,3,p2,D,0,0.8333333333333334
MIXED,-1.16198224852071,26,p3,H,1,0.7948717948717948
EUR-only,0.25,4,p2,H,1,1.0
MIXED,-0.8602272727272727,4,p3,H,1,0.8333333333333334
EUR-only,1.1770833333333333,8,p2,A,-1,1.0
EUR-only,-1.8,2,p2,A,-3,1.0
EUR-only,3.15,2,p3,H,1,1.0
EUR-only,-2.0833333333333335,3,p2,A,-6,1.0
EUR-only,0.44166666666666665,6,p2,H,1,1.0
MIXED,-2.642857142857143,7,p3,H,1,0.6666666666666666
MIXED,-0.25252525252525254,6,p2,H,2,0.8333333333333334
EUR-only,-2.6,5,p2,D,0,1.0
EUR-only,-1.6875,4,p2,A,-3,1.0
MIXED,0.04889807162534434,11,p3,H,1,0.9393939393939394
MIXED,-0.7500000000000001,2,p2,A,-1,0.5
EUR-only,-0.16666666666666666,3,p2,D,0,1.0
MIXED,-1.6133333333333333,5,p2,A,-4,0.9
EUR-only,1.7222222222222223,9,p3,H,2,1.0
MIXED,-0.16969696969696968,5,p2,A,-1,0.8
MIXED,-1.005050505050505,9,p2,H,2,0.8888888888888888
MIXED,0.6018181818181818,10,p3,H,1,0.8
MIXED,1.7363636363636363,6,p2,H,1,0.8333333333333334
MIXED,-1.0028409090909092,8,p2,D,0,0.9375
EUR-only,0.375,6,p3,A,-1,1.0
EUR-only,-2.0833333333333335,3,p3,A,-1,1.0
EUR-only,-1.0555555555555556,6,p2,H,2,1.0
MIXED,-1.0438606438606437,37,p3,H,1,0.5585585585585585
MIXED,1.2727272727272727,4,p2,H,3,0.875
EUR-only,-2.25,2,p2,H,1,1.0
EUR-only,-2.0,2,p2,H,3,1.0
EUR-only,-0.5,2,p2,A,-1,1.0
MIXED,0.10000000000000003,2,p2,A,-1,0.5
EUR-only,-1.5,2,p2,H,1,1.0
EUR-only,-0.39583333333333337,4,p2,H,2,1.0
EUR-only,2.0833333333333335,6,p2,H,2,1.0
EUR-only,1.5,2,p3,A,-2,1.0
MIXED,0.25,4,p2,H,1,0.875
MIXED,0.6439393939393939,11,p2,A,-1,0.9545454545454546
EUR-only,-3.5,3,p2,A,-1,1.0
MIXED,-0.9848484848484849,3,p2,H,1,0.8333333333333334
MIXED,0.9848484848484849,3,p2,D,0,0.8333333333333334
EUR-only,3.5,3,p2,D,0,1.0
MIXED,-0.6439393939393939,11,p2,H,2,0.9545454545454546
MIXED,-1.16198224852071,26,p3,A,-2,0.7948717948717948
EUR-only,-1.5,2,p2,A,-6,1.0
EUR-only,-0.125,4,p2,D,0,1.0
EUR-only,0.09,5,p2,A,-1,1.0
EUR-only,-0.09,5,p2,A,-3,1.0
EUR-only,0.125,4,p2,A,-1,1.0
MIXED,1.16198224852071,26,p3,H,3,0.7948717948717948
EUR-only,1.5,2,p2,D,0,1.0
MIXED,-0.6084848484848484,5,p2,H,3,0.6
MIXED,0.38416666666666666,20,p3,H,2,0.7833333333333333
MIXED,0.16969696969696968,5,p2,H,4,0.8
MIXED,-0.3841666666666667,20,p3,H,1,0.7833333333333333
MIXED,-0.16969696969696968,5,p2,H,2,0.8
MIXED,0.6084848484848484,5,p2,A,-1,0.6
EUR-only,0.4,2,p2,A,-1,1.0
EUR-only,-0.024999999999999984,6,p3,D,0,1.0
EUR-only,0.024999999999999984,6,p3,H,1,1.0
EUR-only,-0.4,2,p2,H,1,1.0
MIXED,0.7424242424242425,3,p3,H,4,0.8888888888888888
EUR-only,-1.5625,4,p3,A,-2,1.0
MIXED,-0.7727272727272727,4,p3,D,0,0.9166666666666666
MIXED,0.02380952380952382,7,p3,H,4,0.6666666666666666
MIXED,-1.625,2,p3,A,-2,0.8333333333333334
EUR-only,1.5625,4,p3,H,5,1.0
MIXED,1.625,2,p3,H,2,0.8333333333333334
MIXED,-0.7424242424242425,3,p3,A,-2,0.8888888888888888
MIXED,-0.02380952380952382,7,p3,A,-3,0.6666666666666666
MIXED,0.7727272727272727,4,p3,A,-1,0.9166666666666666
EUR-only,-2.375,4,p3,D,0,1.0
MIXED,-0.6893939393939394,3,p3,D,0,0.5555555555555556
MIXED,0.7972222222222222,10,p3,H,1,0.6666666666666666
EUR-only,1.0625,4,p2,H,2,1.0
MIXED,0.125,2,p3,H,2,0.6666666666666666
MIXED,-0.125,2,p3,D,0,0.6666666666666666
MIXED,-0.7972222222222222,10,p3,D,0,0.6666666666666666
EUR-only,2.375,4,p3,A,-1,1.0
MIXED,0.6893939393939394,3,p3,A,-1,0.5555555555555556
EUR-only,-1.0625,4,p2,A,-1,1.0
MIXED,0.39930069930069934,23,p3,H,1,0.9420289855072463
MIXED,2.25,2,p2,H,2,0.75
EUR-only,1.0,2,p2,D,0,1.0
MIXED,0.2159090909090909,10,p3,A,-2,0.9
EUR-only,-0.25,2,p2,A,-2,1.0
MIXED,-0.2159090909090909,10,p3,H,2,0.9
EUR-only,0.25,2,p2,D,0,1.0
EUR-only,-1.0,2,p2,H,1,1.0
MIXED,-0.39930069930069934,23,p3,H,2,0.9420289855072463
MIXED,-2.25,2,p2,H,1,0.75
EUR-only,0.875,4,p3,A,-1,1.0
MIXED,-1.1363636363636362,5,p3,H,1,0.9333333333333333
MIXED,2.48989898989899,9,p3,H,2,0.9629629629629629
MIXED,0.975,4,p3,H,3,0.8333333333333334
EUR-only,-1.125,4,p2,H,1,1.0
EUR-only,-2.5,2,p3,H,2,1.0
MIXED,-1.7545454545454546,3,p3,A,-2,0.5555555555555556
MIXED,-0.9007936507936508,3,p3,H,2,0.6666666666666666
DOM-heavy,0.09999999999999995,2,p3,A,-1,0.3333333333333333
EUR-only,-0.25,2,p3,A,-3,1.0
MIXED,0.08333333333333333,3,p2,H,1,0.8333333333333334
EUR-only,-0.25,2,p3,H,1,1.0
MIXED,-1.25,2,p3,H,1,0.6666666666666666
MIXED,0.25,3,p3,A,-1,0.6666666666666666
MIXED,2.5,2,p3,H,1,0.6666666666666666
MIXED,-0.11249999999999999,8,p3,A,-3,0.9166666666666666
MIXED,1.5,2,p2,D,0,0.75
EUR-only,-1.5,3,p3,H,2,1.0
MIXED,0.9742939600082456,21,p3,H,7,0.7936507936507936
MIXED,0.9166666666666666,3,p3,A,-1,0.8888888888888888
EUR-only,-1.1785714285714286,7,p3,D,0,1.0
MIXED,-1.5,2,p3,A,-1,0.6666666666666666
MIXED,-0.5555555555555556,3,p2,H,3,0.6666666666666666
MIXED,-0.15151515151515152,6,p3,H,2,0.8888888888888888
MIXED,2.659090909090909,2,p3,H,4,0.5
EUR-only,2.5,3,p2,H,1,1.0
MIXED,1.6,4,p3,H,1,0.6666666666666666
MIXED,-0.48011363636363635,8,p3,H,3,0.9583333333333334
MIXED,-0.955128205128205,3,p3,D,0,0.6666666666666666
MIXED,0.0,3,p2,A,-1,0.8333333333333334
MIXED,-0.5147058823529411,17,p3,A,-3,0.9607843137254902
MIXED,0.5147058823529411,17,p3,A,-1,0.9607843137254902
MIXED,0.0,3,p2,A,-1,0.8333333333333334
EUR-only,-1.5625,4,p2,A,-1,1.0
MIXED,-0.050000000000000044,2,p3,H,1,0.8333333333333334
EUR-only,1.5625,4,p2,H,1,1.0
MIXED,0.050000000000000044,2,p3,H,2,0.8333333333333334
MIXED,1.6136363636363638,2,p2,H,1,0.75
MIXED,-1.6136363636363638,2,p2,D,0,0.75
EUR-only,-0.25,2,p2,A,-3,1.0
MIXED,2.0,2,p3,A,-3,0.6666666666666666
MIXED,-2.0,2,p3,H,1,0.6666666666666666
MIXED,2.3666666666666667,3,p3,H,1,0.6666666666666666
MIXED,-2.3666666666666667,3,p3,A,-1,0.6666666666666666
MIXED,-0.34375,2,p3,H,2,0.6666666666666666
MIXED,-2.6,5,p3,A,-2,0.6666666666666666
MIXED,0.5,3,p2,A,-1,0.8333333333333334
MIXED,3.0683857808857806,12,p3,H,2,0.8611111111111112
MIXED,-0.5,3,p2,H,1,0.8333333333333334
MIXED,0.34375,2,p3,D,0,0.6666666666666666
MIXED,-3.0683857808857806,12,p3,H,1,0.8611111111111112
MIXED,2.6,5,p3,H,3,0.6666666666666666
EUR-only,-1.5,2,p2,H,1,1.0
MIXED,1.2131313131313133,11,p3,D,0,0.6666666666666666
EUR-only,-1.875,4,p2,A,-2,1.0
EUR-only,1.0,3,p2,H,2,1.0
EUR-only,-0.25,2,p2,A,-3,1.0
MIXED,0.9828088578088577,12,p3,H,1,0.8888888888888888
EUR-only,4.833333333333333,3,p2,H,4,1.0
MIXED,2.6136363636363638,2,p3,H,1,0.6666666666666666
EUR-only,0.875,4,p2,H,2,1.0
EUR-only,1.75,2,p2,H,3,1.0
MIXED,-0.8699999999999999,5,p2,D,0,0.9
EUR-only,3.28125,8,p3,H,3,1.0
MIXED,-0.329004329004329,19,p3,A,-2,0.9473684210526315
EUR-only,-3.75,2,p2,A,-1,1.0
MIXED,1.5,2,p2,A,-1,0.75
MIXED,0.125,4,p3,H,2,0.9166666666666666
MIXED,-1.4090909090909092,4,p3,D,0,0.9166666666666666
EUR-only,-1.0625,4,p2,A,-3,1.0
EUR-only,-0.5,3,p2,D,0,1.0
MIXED,2.9934065934065934,5,p3,A,-1,0.8666666666666667
MIXED,-0.06666666666666668,9,p3,D,0,0.9259259259259259
MIXED,-1.25,2,p2,A,-2,0.75
MIXED,0.2477777777777778,5,p3,D,0,0.6
MIXED,-3.1196969696969696,3,p3,H,1,0.5555555555555556
MIXED,1.3106060606060608,6,p3,A,-1,0.6666666666666666
MIXED,2.1363636363636362,3,p2,H,1,0.5
MIXED,2.348484848484848,3,p3,H,1,0.8888888888888888
EUR-only,-0.75,2,p2,H,1,1.0
MIXED,0.030303030303030276,3,p3,H,4,0.8888888888888888
EUR-only,1.8333333333333333,6,p3,H,2,1.0
MIXED,0.5227272727272727,2,p2,D,0,0.75
MIXED,3.5081168831168834,14,p3,A,-1,0.9523809523809523
MIXED,-1.2580213903743316,17,p3,A,-1,0.9019607843137255
MIXED,-0.07222222222222219,2,p2,A,-2,0.5
MIXED,0.07142857142857142,7,p3,H,1,0.9523809523809523
EUR-only,0.0,3,p2,H,1,1.0
EUR-only,-1.3333333333333333,3,p2,D,0,1.0
EUR-only,-1.375,2,p2,D,0,1.0
EUR-only,0.75,2,p2,H,1,1.0
MIXED,0.4184491978609626,17,p3,A,-1,0.9803921568627451
MIXED,-1.6805555555555556,2,p3,D,0,0.6666666666666666
EUR-only,1.1666666666666667,3,p2,H,2,1.0
EUR-only,-1.25,2,p2,H,1,1.0
MIXED,0.41477272727272724,20,p3,H,2,0.8
EUR-only,0.625,2,p2,A,-4,1.0
MIXED,-1.0512987012987014,14,p3,H,1,0.8095238095238095
MIXED,-0.2916666666666667,6,p3,D,0,0.9444444444444444
MIXED,-0.9807692307692308,2,p3,D,0,0.8333333333333334
EUR-only,0.875,2,p2,A,-1,1.0
MIXED,-1.5568181818181819,18,p3,A,-3,0.9814814814814815
EUR-only,-1.75,2,p3,A,-2,1.0
MIXED,0.6538461538461539,3,p2,D,0,0.8333333333333334
MIXED,1.1704545454545454,4,p2,H,2,0.75
EUR-only,-0.25,2,p2,A,-1,1.0
MIXED,-1.2592592592592593,3,p3,A,-1,0.6666666666666666
DOM-heavy,0.13264860139860135,8,p3,H,3,0.4583333333333333
MIXED,1.435032894736842,16,p3,H,5,0.9583333333333334
MIXED,-1.6616161616161618,9,p3,D,0,0.9629629629629629
EUR-only,-3.0,2,p2,A,-1,1.0
EUR-only,-0.25,4,p2,D,0,1.0
EUR-only,-1.5,2,p2,H,2,1.0
MIXED,-0.31195367132867136,16,p3,A,-1,0.875
MIXED,0.8472727272727273,5,p2,A,-2,0.8
EUR-only,1.6666666666666667,3,p3,H,1,1.0
MIXED,1.1353535353535353,15,p3,H,3,0.8222222222222222
EUR-only,-1.25,2,p2,H,1,1.0
EUR-only,1.0,3,p2,H,1,1.0
MIXED,1.0511363636363638,4,p2,D,0,0.875
EUR-only,1.5,4,p2,A,-1,1.0
MIXED,-1.0478468899521531,19,p3,D,0,0.9473684210526315
MIXED,-0.44545454545454544,7,p2,H,1,0.7142857142857143
MIXED,-0.9074074074074074,3,p3,A,-1,0.6666666666666666
MIXED,0.7234848484848485,6,p3,A,-1,0.9444444444444444
EUR-only,-0.25,2,p2,H,2,1.0
MIXED,-0.7650786713286714,8,p3,H,2,0.875
EUR-only,3.0,3,p2,H,2,1.0
EUR-only,1.25,2,p2,H,1,1.0
EUR-only,-1.0,2,p2,H,2,1.0
MIXED,-0.18878860374075684,22,p3,H,2,0.9242424242424242
MIXED,0.48863636363636354,4,p3,H,1,0.6666666666666666
EUR-only,-1.25,2,p2,A,-2,1.0
MIXED,-0.5454545454545455,3,p3,H,1,0.6666666666666666
EUR-only,-1.6666666666666667,3,p2,H,1,1.0
MIXED,-0.27272727272727276,3,p2,H,2,0.8333333333333334
MIXED,-0.09090909090909094,2,p2,H,1,0.75
EUR-only,-3.25,2,p2,A,-1,1.0
MIXED,-0.5928571428571429,14,p3,H,1,0.8809523809523809
EUR-only,1.25,2,p2,H,2,1.0
EUR-only,-0.0625,4,p2,H,3,1.0
MIXED,2.970779220779221,14,p3,D,0,0.9761904761904762
MIXED,0.9242424242424242,3,p3,H,1,0.8888888888888888
MIXED,-0.6794871794871794,3,p3,A,-1,0.8888888888888888
MIXED,-1.4621212121212122,4,p3,A,-2,0.8333333333333334
EUR-only,-1.4642857142857142,7,p3,D,0,1.0
EUR-only,1.375,2,p2,A,-2,1.0
EUR-only,0.25,2,p2,H,1,1.0
MIXED,-0.48888888888888893,3,p2,H,1,0.5
MIXED,2.9934065934065934,5,p3,A,-1,0.8666666666666667
MIXED,0.8604895104895105,5,p2,D,0,0.7
MIXED,0.48888888888888893,3,p2,H,3,0.5
MIXED,-2.9934065934065934,5,p3,H,2,0.8666666666666667
MIXED,-0.8604895104895105,5,p2,H,1,0.7
EUR-only,-1.375,2,p2,A,-1,1.0
EUR-only,-0.25,2,p2,H,3,1.0
EUR-only,-1.25,4,p2,D,0,1.0
EUR-only,0.16666666666666666,3,p2,A,-2,1.0
EUR-only,-1.25,2,p2,H,3,1.0
EUR-only,0.875,4,p2,A,-1,1.0
EUR-only,1.25,2,p2,H,1,1.0
EUR-only,-0.875,4,p2,H,3,1.0
EUR-only,1.25,4,p2,H,3,1.0
EUR-only,-0.16666666666666666,3,p2,H,1,1.0
EUR-only,0.0,2,p2,H,2,1.0
EUR-only,0.0,4,p2,D,0,1.0
EUR-only,-1.5,2,p2,D,0,1.0
EUR-only,0.0,4,p2,A,-1,1.0
EUR-only,0.0,2,p2,A,-1,1.0
EUR-only,1.5,2,p2,H,1,1.0
MIXED,0.29827231591937475,17,p3,H,2,0.9019607843137255
MIXED,-0.29827231591937475,17,p3,A,-2,0.9019607843137255
MIXED,1.0,2,p3,A,-1,0.6666666666666666
MIXED,-1.0,2,p3,A,-1,0.6666666666666666
MIXED,-1.75,2,p3,A,-2,0.5
MIXED,-0.6153846153846154,4,p3,H,2,0.9166666666666666
MIXED,4.65,4,p3,H,1,0.5833333333333334
MIXED,0.6153846153846154,4,p3,H,1,0.9166666666666666
MIXED,1.75,2,p3,H,1,0.5
MIXED,-4.65,4,p3,A,-2,0.5833333333333334
MIXED,-0.9381818181818182,10,p3,A,-1,0.9
MIXED,-0.45,5,p3,A,-1,0.6666666666666666
MIXED,0.45,5,p3,H,1,0.6666666666666666
MIXED,0.9381818181818182,10,p3,H,1,0.9
MIXED,-0.9545454545454546,2,p3,D,0,0.8333333333333334
MIXED,-0.16666666666666666,3,p3,H,4,0.6666666666666666
EUR-only,0.25,2,p2,D,0,1.0
MIXED,0.6363636363636365,2,p3,H,1,0.6666666666666666
MIXED,0.16666666666666666,3,p3,A,-1,0.6666666666666666
EUR-only,-0.25,2,p2,H,4,1.0
MIXED,0.9545454545454546,2,p3,H,1,0.8333333333333334
MIXED,-0.6363636363636365,2,p3,D,0,0.6666666666666666
MIXED,-0.3353994490358127,11,p2,D,0,0.9545454545454546
EUR-only,0.1333333333333333,5,p2,H,1,1.0
MIXED,1.334280303030303,4,p2,H,1,0.875
EUR-only,0.6,5,p2,D,0,1.0
MIXED,1.069023569023569,9,p2,H,1,0.9444444444444444
EUR-only,1.15,5,p2,H,4,1.0
MIXED,0.8806818181818181,8,p2,H,2,0.875
EUR-only,-0.2777777777777777,3,p2,H,3,1.0
EUR-only,0.125,2,p2,A,-1,1.0
MIXED,0.10479797979797967,3,p2,H,2,0.6666666666666666
MIXED,0.22159090909090912,8,p2,H,4,0.875
EUR-only,2.0,2,p2,H,1,1.0
MIXED,-3.6103896103896105,3,p3,A,-5,0.7777777777777778
EUR-only,-4.0,2,p2,H,1,1.0
MIXED,0.8830981131871225,68,p3,H,4,0.9558823529411765
MIXED,0.21000000000000002,10,p2,H,4,0.95
EUR-only,-1.4166666666666667,4,p2,D,0,1.0
MIXED,-3.438286713286713,13,p3,A,-4,0.8717948717948718
EUR-only,-1.5,2,p2,H,1,1.0
MIXED,1.6875,2,p2,H,3,0.75
EUR-only,2.0,2,p2,H,3,1.0
MIXED,-1.2555555555555555,9,p2,A,-1,0.8888888888888888
EUR-only,-0.9166666666666667,2,p2,D,0,1.0
EUR-only,-2.0,2,p2,D,0,1.0
MIXED,-0.009090909090909084,5,p2,D,0,0.7
MIXED,0.8508660879350536,29,p3,H,1,0.8505747126436781
EUR-only,-1.5,3,p2,A,-2,1.0
EUR-only,-1.957142857142857,7,p2,A,-5,1.0
MIXED,-0.7594696969696969,6,p2,A,-2,0.8333333333333334
MIXED,0.922077922077922,7,p2,H,4,0.8571428571428571
MIXED,0.23019480519480512,14,p3,H,3,0.9761904761904762
MIXED,-0.2803030303030303,2,p2,H,4,0.75
MIXED,-0.3917748917748917,7,p2,H,2,0.9285714285714286
EUR-only,-1.1,5,p2,A,-4,1.0
EUR-only,-0.5,2,p2,D,0,1.0
EUR-only,2.2041666666666666,8,p2,H,4,1.0
MIXED,0.7181818181818181,5,p2,H,4,0.8
MIXED,0.7578671328671328,13,p2,H,1,0.7307692307692307
MIXED,-1.339088160516732,63,p3,A,-3,0.8888888888888888
MIXED,1.1818181818181819,4,p2,D,0,0.875
EUR-only,0.06666666666666667,5,p2,D,0,1.0
EUR-only,-0.25,2,p2,H,4,1.0
EUR-only,-0.29166666666666663,4,p2,A,-1,1.0
EUR-only,0.07222222222222222,9,p2,A,-1,1.0
MIXED,0.3023989898989899,12,p2,H,1,0.8333333333333334
MIXED,-1.7963840081487141,17,p3,H,1,0.8431372549019608
EUR-only,0.3472222222222222,9,p2,H,3,1.0
EUR-only,-1.0,7,p2,D,0,1.0
EUR-only,-1.2,5,p2,A,-1,1.0
MIXED,0.244949494949495,6,p2,A,-3,0.8333333333333334
MIXED,1.3418803418803418,6,p3,H,2,0.9444444444444444
MIXED,-0.39371657754010697,34,p3,A,-2,0.9509803921568627
MIXED,0.23863636363636362,4,p2,H,4,0.625
EUR-only,0.7,5,p2,A,-2,1.0
MIXED,-0.08333333333333333,3,p2,A,-1,0.8333333333333334
MIXED,0.2159090909090909,10,p3,H,1,0.9666666666666667
MIXED,-0.3,5,p2,D,0,0.9
MIXED,0.1727272727272727,5,p2,H,3,0.8
MIXED,-1.2666666666666666,6,p3,D,0,0.8888888888888888
EUR-only,0.5357142857142857,7,p3,H,1,1.0
MIXED,-0.2878787878787879,3,p2,A,-3,0.8333333333333334
EUR-only,0.5,2,p2,H,2,1.0
EUR-only,2.375,4,p2,H,3,1.0
MIXED,-0.975,8,p2,H,2,0.9375
EUR-only,0.8333333333333334,9,p2,H,1,1.0
EUR-only,0.0,2,p2,H,2,1.0
EUR-only,2.375,4,p2,H,1,1.0
EUR-only,0.3333333333333333,3,p2,A,-1,1.0
EUR-only,0.5833333333333334,6,p2,H,3,1.0
MIXED,-0.15909090909090917,2,p2,H,1,0.75
MIXED,0.2954545454545454,2,p2,H,1,0.75
MIXED,-2.3838383838383836,6,p2,A,-1,0.9166666666666666
MIXED,0.7323232323232324,3,p2,A,-1,0.8333333333333334
EUR-only,1.0333333333333334,5,p2,D,0,1.0
MIXED,-1.3541666666666667,8,p2,A,-3,0.9375
MIXED,0.4696969696969697,2,p2,H,2,0.75
MIXED,-0.017676767676767687,9,p2,A,-1,0.9444444444444444
EUR-only,-1.7,5,p3,A,-3,1.0
EUR-only,-1.875,4,p2,H,2,1.0
EUR-only,-1.125,4,p2,H,2,1.0
EUR-only,-1.0416666666666667,6,p2,H,1,1.0
EUR-only,-0.6428571428571429,7,p2,A,-1,1.0
