seg,est,n,phase,res,gd,eur_frac
MIXED,-1.2743506493506493,14,p3,D,0,0.9285714285714286
MIXED,-1.4772727272727273,2,p2,H,1,0.5
MIXED,1.4772727272727273,2,p2,H,1,0.5
MIXED,1.2743506493506493,14,p3,A,-3,0.9285714285714286
MIXED,-1.0454545454545454,6,p3,D,0,0.9444444444444444
MIXED,-2.0,2,p3,A,-3,0.8333333333333334
MIXED,2.0,2,p3,D,0,0.8333333333333334
MIXED,1.0454545454545454,6,p3,H,3,0.9444444444444444
MIXED,0.22727272727272724,5,p3,H,1,0.8
EUR-only,0.6666666666666666,3,p3,H,2,1.0
EUR-only,-0.6666666666666666,3,p3,A,-3,1.0
MIXED,-0.2272727272727273,5,p3,D,0,0.8
EUR-only,0.7916666666666666,6,p3,H,3,1.0
EUR-only,-2.1666666666666665,3,p3,D,0,1.0
EUR-only,2.1666666666666665,3,p3,A,-4,1.0
EUR-only,-0.7916666666666666,6,p3,H,1,1.0
MIXED,-0.44747474747474747,9,p3,D,0,0.8518518518518519
MIXED,0.44747474747474747,9,p3,A,-2,0.8518518518518519
EUR-only,-0.3333333333333333,3,p2,D,0,1.0
EUR-only,0.3333333333333333,3,p2,H,1,1.0
MIXED,1.3386363636363636,4,p2,H,1,0.75
MIXED,1.7055555555555557,2,p2,H,1,0.5
MIXED,0.33409090909090916,6,p3,A,-1,0.8333333333333334
MIXED,-0.33409090909090916,6,p3,H,3,0.8333333333333334
MIXED,-1.7055555555555557,2,p2,H,2,0.5
MIXED,2.6420454545454546,3,p3,H,1,0.6666666666666666
MIXED,-0.4090909090909091,6,p3,D,0,0.9444444444444444
MIXED,-0.5814393939393939,3,p3,A,-3,0.5555555555555556
EUR-only,-0.75,2,p2,A,-1,1.0
EUR-only,0.75,2,p2,D,0,1.0
MIXED,0.4090909090909091,6,p3,H,1,0.9444444444444444
MIXED,0.5814393939393939,3,p3,H,2,0.5555555555555556
MIXED,-2.6420454545454546,3,p3,D,0,0.6666666666666666
MIXED,1.8585858585858588,3,p3,A,-1,0.8888888888888888
MIXED,-0.6393280632411067,23,p3,D,0,0.8405797101449275
MIXED,-3.022727272727273,7,p3,H,1,0.9523809523809523
MIXED,3.022727272727273,7,p3,H,2,0.9523809523809523
MIXED,-1.8585858585858588,3,p3,A,-1,0.8888888888888888
MIXED,0.6393280632411067,23,p3,H,1,0.8405797101449275
MIXED,0.6666666666666666,3,p3,A,-3,0.6666666666666666
MIXED,-0.6666666666666666,3,p3,H,1,0.6666666666666666
EUR-only,1.3333333333333333,3,p3,D,0,1.0
EUR-only,-0.75,2,p2,A,-1,1.0
EUR-only,0.75,2,p2,D,0,1.0
EUR-only,-1.3333333333333333,3,p3,D,0,1.0
MIXED,0.9318181818181819,4,p3,H,1,0.6666666666666666
MIXED,1.509090909090909,5,p3,D,0,0.9333333333333333
EUR-only,2.25,2,p2,A,-1,1.0
MIXED,-1.4318181818181819,2,p3,H,2,0.6666666666666666
MIXED,2.25,2,p3,A,-1,0.6666666666666666
MIXED,-2.25,2,p3,H,2,0.6666666666666666
EUR-only,-2.25,2,p2,H,1,1.0
MIXED,1.4318181818181819,2,p3,H,1,0.6666666666666666
MIXED,-0.9318181818181819,4,p3,D,0,0.6666666666666666
MIXED,-1.509090909090909,5,p3,D,0,0.9333333333333333
MIXED,-1.9819100091827364,11,p3,A,-4,0.9090909090909091
MIXED,1.9819100091827364,11,p3,H,1,0.9090909090909091
MIXED,-0.9954545454545455,10,p3,A,-3,0.9333333333333333
MIXED,0.9954545454545455,10,p3,D,0,0.9333333333333333
MIXED,0.9145622895622895,9,p2,D,0,0.7222222222222222
EUR-only,2.0,2,p2,A,-2,1.0
MIXED,1.3068181818181819,4,p2,H,2,0.875
MIXED,0.6818181818181819,2,p2,H,1,0.75
MIXED,-1.3068181818181819,4,p2,H,1,0.875
MIXED,-0.6818181818181819,2,p2,A,-3,0.75
MIXED,-0.9145622895622895,9,p2,A,-2,0.7222222222222222
EUR-only,-2.0,2,p2,D,0,1.0
MIXED,-0.8068181818181819,4,p2,A,-1,0.875
MIXED,0.3095238095238096,7,p3,H,3,0.8095238095238095
MIXED,3.1363636363636362,2,p2,D,0,0.75
MIXED,-0.3095238095238095,7,p3,H,1,0.8095238095238095
MIXED,-3.1363636363636362,2,p2,A,-1,0.75
MIXED,0.8068181818181819,4,p2,D,0,0.875
EUR-only,-0.25,2,p2,D,0,1.0
EUR-only,0.25,2,p2,A,-2,1.0
EUR-only,1.0,2,p2,H,4,1.0
MIXED,-1.1983471074380165,11,p2,H,3,0.8181818181818182
MIXED,0.6505681818181819,8,p2,H,1,0.9375
MIXED,-0.006060606060606081,6,p2,A,-5,0.5833333333333334
EUR-only,0.8333333333333334,3,p2,H,2,1.0
MIXED,0.006060606060606081,6,p2,H,2,0.5833333333333334
EUR-only,-0.8333333333333334,3,p2,A,-6,1.0
MIXED,-0.6505681818181819,8,p2,A,-3,0.9375
EUR-only,-1.0,2,p2,A,-2,1.0
MIXED,1.1983471074380165,11,p2,H,2,0.8181818181818182
EUR-only,-0.28703703703703703,9,p2,H,1,1.0
EUR-only,-1.25,2,p2,H,2,1.0
EUR-only,1.25,6,p2,A,-4,1.0
EUR-only,-1.0625,4,p2,H,2,1.0
EUR-only,1.1666666666666667,3,p2,H,2,1.0
EUR-only,1.0625,4,p2,D,0,1.0
EUR-only,-1.1666666666666667,3,p2,A,-3,1.0
EUR-only,-1.25,6,p2,A,-4,1.0
EUR-only,1.25,2,p2,D,0,1.0
EUR-only,0.28703703703703703,9,p2,H,1,1.0
EUR-only,-2.25,4,p2,A,-2,1.0
MIXED,2.645454545454545,3,p2,H,4,0.6666666666666666
MIXED,-2.312121212121212,3,p2,A,-2,0.6666666666666666
MIXED,0.7575757575757577,11,p2,H,2,0.8636363636363636
MIXED,-0.6767676767676768,9,p2,H,1,0.7777777777777778
MIXED,0.6767676767676768,9,p2,D,0,0.7777777777777778
MIXED,2.312121212121212,3,p2,H,4,0.6666666666666666
MIXED,-0.7575757575757577,11,p2,A,-3,0.8636363636363636
EUR-only,2.25,4,p2,H,2,1.0
MIXED,-2.645454545454545,3,p2,A,-2,0.6666666666666666
EUR-only,1.0,2,p2,A,-3,1.0
EUR-only,2.0,2,p2,H,2,1.0
EUR-only,-1.125,6,p2,H,2,1.0
EUR-only,-1.0,2,p2,H,3,1.0
EUR-only,0.6666666666666666,3,p2,D,0,1.0
EUR-only,-0.6666666666666666,3,p2,H,1,1.0
EUR-only,1.0,2,p2,A,-2,1.0
EUR-only,1.125,6,p2,D,0,1.0
EUR-only,-1.0,2,p2,A,-1,1.0
EUR-only,-2.0,2,p2,A,-1,1.0
EUR-only,-2.3333333333333335,3,p2,H,1,1.0
MIXED,-0.20454545454545453,4,p2,D,0,0.875
MIXED,1.259090909090909,5,p2,D,0,0.9
EUR-only,0.8333333333333334,3,p2,H,1,1.0
MIXED,0.9280303030303031,6,p2,H,3,0.75
MIXED,-0.9280303030303031,6,p2,A,-2,0.75
EUR-only,-0.8333333333333334,3,p2,D,0,1.0
MIXED,-1.259090909090909,5,p2,A,-1,0.9
MIXED,0.20454545454545453,4,p2,H,4,0.875
EUR-only,2.3333333333333335,3,p2,H,1,1.0
EUR-only,-4.083333333333334,2,p2,A,-3,1.0
EUR-only,0.7222222222222222,3,p2,A,-3,1.0
MIXED,2.247077922077922,14,p3,D,0,0.8809523809523809
EUR-only,0.24444444444444446,6,p2,H,2,1.0
MIXED,1.875,2,p2,H,2,0.75
EUR-only,2.986111111111111,6,p2,H,1,1.0
MIXED,-1.875,2,p2,A,-2,0.75
EUR-only,-2.986111111111111,6,p2,D,0,1.0
MIXED,-2.247077922077922,14,p3,D,0,0.8809523809523809
EUR-only,-0.24444444444444446,6,p2,H,1,1.0
EUR-only,4.083333333333334,2,p2,H,4,1.0
EUR-only,-0.7222222222222222,3,p2,A,-4,1.0
MIXED,2.140909090909091,5,p3,H,3,0.9333333333333333
MIXED,-0.7166666666666667,5,p2,A,-4,0.9
EUR-only,1.4583333333333333,6,p2,H,1,1.0
MIXED,-2.2835497835497836,3,p3,D,0,0.6666666666666666
MIXED,0.15151515151515155,2,p2,A,-3,0.5
MIXED,4.034090909090909,4,p3,H,5,0.9166666666666666
MIXED,-4.034090909090909,4,p3,D,0,0.9166666666666666
MIXED,-0.15151515151515155,2,p2,D,0,0.5
MIXED,2.2835497835497836,3,p3,H,3,0.6666666666666666
EUR-only,-1.4583333333333333,6,p2,D,0,1.0
MIXED,-2.140909090909091,5,p3,D,0,0.9333333333333333
MIXED,0.7166666666666667,5,p2,H,2,0.9
MIXED,0.6439393939393939,5,p2,H,1,0.8
MIXED,0.52,5,p3,H,2,0.9333333333333333
MIXED,0.35064935064935066,7,p2,A,-1,0.9285714285714286
EUR-only,-1.875,4,p3,A,-2,1.0
MIXED,1.6227272727272728,6,p3,H,2,0.7777777777777778
EUR-only,-1.46,5,p2,D,0,1.0
MIXED,-1.6227272727272728,6,p3,H,2,0.7777777777777778
EUR-only,1.46,5,p2,D,0,1.0
MIXED,-0.35064935064935066,7,p2,H,1,0.9285714285714286
EUR-only,1.875,4,p3,H,5,1.0
MIXED,-0.6439393939393939,5,p2,A,-1,0.8
MIXED,-0.52,5,p3,A,-5,0.9333333333333333
MIXED,-1.0681818181818181,4,p2,H,1,0.75
EUR-only,0.7222222222222222,6,p2,A,-1,1.0
EUR-only,-0.5,3,p2,A,-2,1.0
EUR-only,-1.0357142857142858,7,p2,H,1,1.0
MIXED,0.5681818181818182,12,p2,A,-3,0.8333333333333334
MIXED,-0.619753086419753,9,p2,D,0,0.9444444444444444
MIXED,0.5416666666666666,4,p2,H,1,0.625
EUR-only,0.5,3,p2,H,4,1.0
EUR-only,1.0357142857142858,7,p2,H,2,1.0
EUR-only,-0.7222222222222222,6,p2,H,2,1.0
MIXED,1.0681818181818181,4,p2,D,0,0.75
MIXED,0.619753086419753,9,p2,H,7,0.9444444444444444
MIXED,-0.5416666666666666,4,p2,D,0,0.625
MIXED,-0.5681818181818182,12,p2,H,1,0.8333333333333334
EUR-only,1.0,2,p2,A,-2,1.0
EUR-only,-1.53125,8,p2,H,3,1.0
MIXED,0.7205387205387206,9,p2,H,2,0.7777777777777778
MIXED,-0.7205387205387206,9,p2,A,-2,0.7777777777777778
EUR-only,-1.0,2,p2,D,0,1.0
EUR-only,1.53125,8,p2,D,0,1.0
EUR-only,-0.25,9,p2,D,0,1.0
EUR-only,0.25,9,p2,H,4,1.0
MIXED,0.8020833333333333,8,p2,H,1,0.875
MIXED,-0.49350649350649345,7,p3,H,3,0.6666666666666666
MIXED,0.49350649350649345,7,p3,H,1,0.6666666666666666
EUR-only,-1.25,2,p3,A,-1,1.0
EUR-only,1.25,2,p3,H,1,1.0
MIXED,3.486111111111111,6,p3,H,1,0.9444444444444444
MIXED,-3.8666666666666663,5,p3,A,-1,0.9333333333333333
