est,sd,n,n2,n3,contra,res,gd
-1.5,,1,1,0,False,H,1
-2.75,1.25,2,0,2,False,D,0
-0.5,,1,1,0,False,H,1
0.5,,1,1,0,False,H,1
-0.375,1.8157298807917437,4,0,4,False,A,-3
0.375,1.8157298807917437,4,0,4,False,D,0
2.5,,1,1,0,False,A,-2
0.5,0.7905694150420949,2,1,1,True,H,2
0.8571428571428571,1.587579340778062,6,1,5,False,H,1
-0.6666666666666666,1.4337208778404378,3,0,3,False,H,1
-0.5,0.7905694150420949,2,1,1,False,H,1
-0.8571428571428571,1.587579340778062,6,1,5,False,A,-3
0.6666666666666666,1.4337208778404378,3,0,3,False,D,0
-2.5,,1,1,0,False,D,0
-0.14285714285714285,2.2781683476881516,4,3,1,True,A,-1
0.14285714285714285,2.2781683476881516,4,3,1,False,D,0
2.0,0.5,2,0,2,False,D,0
-2.0,0.5,2,0,2,False,A,-2
1.1666666666666667,1.8242197723349503,5,1,4,True,H,4
-0.3333333333333333,0.4714045207910317,3,3,0,False,H,3
0.6136363636363636,1.4247661835143162,7,4,3,False,H,1
-0.3,0.9705668446840743,5,1,4,False,A,-3
2.35,1.0677078252031311,5,0,5,False,A,-5
0.5,1.0897247358851685,4,1,3,False,H,2
-2.35,1.0677078252031311,5,0,5,False,H,2
-0.5,1.0897247358851685,4,1,3,False,A,-6
-0.6136363636363636,1.4247661835143162,7,4,3,False,A,-3
0.3,0.9705668446840743,5,1,4,False,H,3
-1.1666666666666667,1.8242197723349503,5,1,4,False,A,-2
0.3333333333333333,0.4714045207910317,3,3,0,False,H,2
-0.4090909090909091,1.0022357926266845,6,5,1,True,H,1
0.5,1.0801234497346435,3,0,3,False,H,1
-1.55,0.9565563234854496,3,2,1,False,H,2
-0.2,2.3906066175763843,4,1,3,True,A,-4
2.25,0.75,2,0,2,False,H,2
1.8,1.121011448053349,3,2,1,True,H,2
-2.25,0.75,2,0,2,False,D,0
-1.8,1.121011448053349,3,2,1,False,A,-3
0.2,2.3906066175763843,4,1,3,False,A,-4
1.55,0.9565563234854496,3,2,1,False,D,0
0.4090909090909091,1.0022357926266845,6,5,1,False,H,1
-0.5,1.0801234497346435,3,0,3,False,D,0
-1.7857142857142858,1.3612719142367535,5,2,3,False,A,-2
-1.5,,1,1,0,False,A,-2
1.5,1.595893166850463,8,5,3,False,H,2
1.5,,1,0,1,False,H,5
-1.0,0.816496580927726,3,3,0,False,H,1
-1.5,,1,0,1,False,A,-2
1.0,0.816496580927726,3,3,0,False,D,0
1.5,,1,1,0,False,H,4
-1.5,1.595893166850463,8,5,3,False,A,-3
1.7857142857142858,1.3612719142367535,5,2,3,True,H,2
1.75,0.25,2,0,2,False,A,-3
1.0555555555555556,2.775872362363594,7,2,5,True,H,2
-2.75,0.25,2,2,0,False,H,2
-1.5,,1,1,0,False,A,-1
-0.16666666666666666,0.5270462766947299,2,1,1,True,H,3
0.6,0.8812869377601523,3,2,1,True,D,0
-0.6,0.8812869377601523,3,2,1,False,H,1
0.16666666666666666,0.5270462766947299,2,1,1,True,A,-2
1.5,,1,1,0,False,H,1
2.75,0.25,2,2,0,False,D,0
-1.75,0.25,2,0,2,False,A,-1
-1.0555555555555556,2.775872362363594,7,2,5,False,A,-1
-1.6875,2.5710224133601014,5,3,2,False,H,1
