est,sd,n,n2,n3,contra,res,gd
1.3888888888888888,1.6154157053943012,6,3,3,True,A,-3
-2.375,2.836701429477554,4,0,4,False,H,2
0.53125,2.515382364075092,16,0,16,False,H,1
-1.3888888888888888,1.6154157053943012,6,3,3,False,A,-1
2.375,2.836701429477554,4,0,4,False,D,0
-0.53125,2.515382364075092,16,0,16,False,H,2
-1.7727272727272727,1.05583341758693,9,2,7,False,D,0
-0.35,1.738533865071371,8,2,6,False,A,-2
1.7727272727272727,1.05583341758693,9,2,7,False,H,3
0.35,1.738533865071371,8,2,6,False,D,0
0.020833333333333332,1.5635097747237034,11,1,10,True,H,3
-1.4,3.33878720495931,4,1,3,False,A,-3
-1.0,,1,1,0,False,H,2
2.0,1.5545631755148024,9,3,6,True,H,7
-2.444444444444444,1.9353756773158226,10,2,8,False,A,-2
-0.05,0.8180260794538685,6,4,2,False,A,-3
1.0,,1,1,0,False,H,4
-3.25,1.4361406616345072,3,1,2,False,H,1
0.16666666666666663,2.7080128015453204,6,2,4,True,H,1
-3.892857142857143,1.6446677393288638,6,1,5,False,A,-4
2.8,1.121011448053349,3,2,1,False,H,6
1.5555555555555556,2.184930148331159,8,1,7,True,H,5
-0.3333333333333333,1.6691647944739043,10,1,9,True,H,2
-1.375,1.3863170633011772,4,0,4,False,H,1
-1.0476190476190477,2.006838271717086,6,1,5,False,A,-1
-0.4722222222222222,1.2838773498207359,8,1,7,True,A,-1
0.7142857142857143,1.729102633844315,7,0,7,False,D,0
-3.4285714285714284,1.3672555558863313,5,2,3,False,H,1
-0.8125,1.0943748215305396,5,3,2,True,H,4
0.25,2.3935677693908453,6,2,4,False,H,2
0.16666666666666666,1.317615691736825,2,1,1,True,D,0
3.0,2.592055169165965,8,2,6,False,H,3
1.2352941176470589,2.290733269072286,16,1,15,True,H,1
-1.6923076923076923,1.8484560965379735,7,6,1,True,H,3
3.0,1.1785113019775793,9,0,9,False,H,5
-1.8555555555555554,1.7861534801105199,13,2,11,False,A,-1
0.75,1.8427786989579984,6,4,2,False,A,-2
-1.1428571428571428,2.300916705809845,6,1,5,True,A,-3
0.14285714285714285,2.4169891879555188,5,2,3,False,H,1
0.27777777777777773,2.187459582225078,9,3,6,True,A,-2
-1.8240740740740742,1.7289862619532648,7,2,5,False,H,2
0.2857142857142857,0.9313146293146641,5,2,3,False,D,0
-1.6,1.8814887722226779,5,0,5,False,H,1
-0.04166666666666666,2.2433212162695466,14,2,12,False,H,1
0.5,0.3535533905932738,4,3,1,True,A,-1
-1.875,1.5461646096066226,9,1,8,False,A,-3
0.16666666666666666,1.317615691736825,2,1,1,True,A,-1
-1.0625,1.239014225099938,6,2,4,False,A,-6
0.875,2.357390859969273,6,2,4,True,H,1
2.0,,1,1,0,False,D,0
-1.35,4.109744517606903,5,0,5,False,D,0
-0.0416666666666667,2.4490340661458463,7,3,4,False,H,2
-2.0,1.8142950880897701,6,2,4,False,D,0
-0.375,1.3443554837418066,6,2,4,False,A,-3
3.25,2.25,2,0,2,False,H,1
1.1818181818181819,1.901880322294381,10,1,9,True,D,0
0.1,3.4554305086341994,5,0,5,False,A,-1
-2.8421052631578947,1.8842811741468086,18,1,17,False,A,-4
-2.5,,1,1,0,False,A,-3
2.5,,1,0,1,False,H,2
0.75,2.2940139493908926,5,1,4,False,H,1
-2.09375,2.657352712287174,8,0,8,False,A,-1
1.525,1.5184284639060215,10,0,10,False,H,1
0.8333333333333334,1.5473992517913546,5,1,4,True,H,3
-1.6833333333333333,2.1906942767400053,11,4,7,False,H,2
-2.5,,1,1,0,False,H,2
0.5,1.224744871391589,3,0,3,False,H,1
2.6,0.2449489742783178,3,2,1,False,H,1
-1.0,1.1338934190276817,7,5,2,False,D,0
1.0,0.0,2,0,2,False,A,-1
-2.21875,1.0911959976819667,7,1,6,False,H,2
0.8888888888888888,0.9686442096757053,6,3,3,True,H,3
-1.5,1.9828812828352034,11,1,10,False,H,1
-2.0,1.5,2,2,0,False,H,3
0.2,1.374772708486752,8,2,6,False,A,-1
1.3,2.7459060435491964,4,1,3,True,H,2
-1.5625,0.8377487192867958,6,2,4,False,H,1
3.125,0.6574889099191459,3,1,2,False,H,2
1.1607142857142858,1.9447896114112346,14,0,14,False,H,2
2.375,2.2810359488618324,8,2,6,True,H,2
2.0,,1,0,1,False,A,-2
-0.30729166666666663,1.3972356200027565,13,3,10,False,H,1
-1.0,,1,1,0,False,H,5
-5.75,0.25,2,0,2,False,H,1
0.23611111111111113,1.2888260281605883,8,4,4,False,A,-1
-1.0,,1,1,0,False,H,1
-3.388888888888889,0.8020586387320608,7,2,5,False,A,-1
-1.5,0.0,2,2,0,False,H,1
1.5,0.0,2,2,0,False,D,0
3.388888888888889,0.8020586387320608,7,2,5,False,D,0
-0.23611111111111113,1.2888260281605883,8,4,4,False,H,2
1.0,,1,1,0,False,H,2
-1.6,1.8814887722226779,5,0,5,False,A,-2
-1.3,0.6377042156569664,3,2,1,False,A,-6
-0.5,1.378404875209022,5,4,1,False,D,0
-1.4537037037037037,2.1563416339050923,8,1,7,False,A,-1
1.4537037037037037,2.1563416339050923,8,1,7,True,A,-3
0.5,1.378404875209022,5,4,1,True,A,-1
1.6,1.8814887722226779,5,0,5,False,H,3
1.3,0.6377042156569664,3,2,1,False,D,0
-1.8,1.2884098726725124,5,0,5,False,H,3
-2.6666666666666665,1.649915822768611,3,0,3,False,H,2
2.09375,2.657352712287174,8,0,8,False,H,4
2.6666666666666665,1.649915822768611,3,0,3,False,H,1
-2.09375,2.657352712287174,8,0,8,False,H,2
1.8,1.2884098726725124,5,0,5,False,A,-1
-0.3333333333333333,1.6691647944739043,10,1,9,True,A,-1
0.3333333333333333,1.6691647944739043,10,1,9,False,H,1
1.5,,1,1,0,False,H,5
-0.25,0.25,2,0,2,False,H,4
-1.5625,1.4402148277253641,4,0,4,False,A,-2
0.5,,1,0,1,False,H,3
0.75,1.75,2,0,2,False,D,0
-4.0,,1,0,1,False,A,-1
1.5625,1.4402148277253641,4,0,4,False,H,5
4.0,,1,0,1,False,H,1
-0.5,,1,0,1,False,H,1
0.25,0.25,2,0,2,False,A,-2
-0.75,1.75,2,0,2,False,A,-1
0.9642857142857143,1.3373398562655876,6,1,5,True,A,-1
-2.375,0.739509972887452,4,0,4,False,D,0
0.08333333333333334,1.382644693768558,7,1,6,True,H,2
-0.8333333333333334,2.2616979855360393,5,1,4,False,D,0
0.7,1.4326548781894404,4,1,3,True,H,1
0.75,0.8897565210026093,3,3,0,False,H,2
-0.7,1.4326548781894404,4,1,3,False,D,0
2.375,0.739509972887452,4,0,4,False,A,-1
-0.9642857142857143,1.3373398562655876,6,1,5,False,A,-5
-0.08333333333333337,1.382644693768558,7,1,6,False,D,0
-0.75,0.8897565210026093,3,3,0,False,A,-1
0.8333333333333334,2.2616979855360393,5,1,4,True,A,-2
0.8125,1.6832859841825614,11,1,10,True,H,3
0.5833333333333334,2.1098314835286938,6,0,6,False,H,1
1.7,2.32163735324878,4,1,3,True,H,2
-1.4285714285714286,2.02786708093977,6,1,5,False,H,1
0.8,1.3190905958272918,3,2,1,False,D,0
0.75,1.9525624189766635,4,0,4,False,A,-2
-1.6,1.4633010626661898,8,2,6,False,A,-2
1.4285714285714286,2.02786708093977,6,1,5,False,A,-1
-0.75,1.9525624189766635,4,0,4,False,H,2
1.6,1.4633010626661898,8,2,6,False,D,0
-0.8125,1.6832859841825614,11,1,10,False,A,-2
-0.8,1.3190905958272918,3,2,1,False,H,1
-0.5833333333333334,2.1098314835286938,6,0,6,False,H,2
-1.7,2.32163735324878,4,1,3,False,H,1
0.8333333333333334,1.3123346456686351,3,0,3,False,A,-1
-0.25,1.25,2,0,2,False,H,1
-2.0,,1,0,1,False,H,1
2.5833333333333335,1.8352262954621033,6,0,6,False,H,2
-1.0,,1,0,1,False,D,0
1.0,0.0,2,0,2,False,H,3
-0.9,1.4890073395194725,7,3,4,False,H,1
-2.5,0.5,2,0,2,False,H,2
-1.2,2.2643983748448506,4,1,3,False,A,-3
-1.0,1.0,6,1,5,False,D,0
-0.25,0.75,2,0,2,False,A,-3
0.75,1.479019945774904,4,2,2,True,H,1
-1.5,,1,0,1,False,A,-2
1.4375,0.6721777418709033,3,1,2,False,D,0
-0.25,1.75,2,0,2,False,H,1
6.5,,1,0,1,False,H,1
-0.25,1.8200274723201295,4,0,4,False,A,-3
1.0,,1,0,1,False,D,0
-0.75,1.25,2,0,2,False,H,2
-3.0,,1,1,0,False,A,-2
1.0833333333333333,1.366768288904727,6,0,6,False,H,7
1.5,,1,0,1,False,A,-1
-1.4375,1.203835017766139,4,0,4,False,D,0
1.1666666666666667,1.8446619684315544,2,1,1,True,H,3
0.25,1.0307764064044151,4,0,4,False,H,2
2.142857142857143,1.1698813824399428,4,3,1,True,H,1
-0.1,0.8602325267042626,5,0,5,False,H,3
-0.5,,1,1,0,False,A,-1
-0.5909090909090909,1.5198412270273172,11,0,11,False,A,-3
0.5909090909090909,1.5198412270273172,11,0,11,False,A,-1
0.5,,1,1,0,False,A,-1
-2.0625,1.6890425048924416,6,2,4,False,A,-1
-0.875,0.625,3,1,2,False,H,1
3.0,,1,0,1,False,H,1
2.0625,1.6890425048924416,6,2,4,True,H,1
0.875,0.625,3,1,2,True,H,2
-3.0,,1,0,1,False,H,2
-2.0,,1,0,1,False,A,-3
1.6666666666666667,0.2635231383473649,2,1,1,False,A,-1
2.0,,1,0,1,False,A,-1
-1.6666666666666667,0.2635231383473649,2,1,1,False,A,-3
-0.42857142857142855,1.8298930663355495,13,1,12,True,H,1
0.42857142857142855,1.8298930663355495,13,1,12,False,D,0
-2.5789473684210527,1.9198435484299499,17,2,15,False,A,-3
0.5,,1,1,0,False,D,0
-1.0,,1,0,1,False,A,-1
1.0,,1,0,1,False,D,0
-0.5,,1,1,0,False,H,1
-0.3,0.8406346808612327,3,2,1,False,A,-1
0.5,,1,0,1,False,D,0
4.125,3.208874413248359,4,0,4,False,H,2
0.3,0.8406346808612327,3,2,1,True,H,1
-0.5,,1,0,1,False,H,1
-4.125,3.208874413248359,4,0,4,False,H,1
-1.0625,1.2803604635674544,6,2,4,False,H,1
-2.892857142857143,1.3598315812993433,11,3,8,False,A,-2
0.5833333333333334,1.5433549314543447,4,2,2,False,H,2
-0.9375,1.200585794518659,6,2,4,False,A,-3
-1.1666666666666667,1.0540925533894598,2,1,1,False,D,0
-0.125,0.5448623679425842,4,0,4,False,H,1
-1.0416666666666667,0.331767153956573,5,1,4,False,D,0
0.375,1.6754974385735917,3,1,2,False,H,1
-1.65625,2.5704091791413846,7,1,6,False,A,-2
1.5,1.8371173070873836,4,0,4,False,D,0
6.0,0.6454972243679028,3,2,1,False,H,4
-1.5,,1,1,0,False,H,2
0.0,,1,0,1,False,H,3
3.5,0.7905694150420949,2,1,1,False,H,3
-1.119047619047619,3.11818004523077,11,3,8,False,D,0
2.65,0.66332495807108,5,0,5,False,H,3
-0.9,2.0591260281974,10,0,10,False,A,-2
-1.7857142857142858,0.7953949089757174,7,0,7,False,A,-1
1.0,,1,1,0,False,A,-1
1.4,0.7648529270389177,4,1,3,True,A,-1
-2.5,,1,0,1,False,H,2
-3.0,,1,0,1,False,D,0
-1.4166666666666667,0.22047927592204922,4,2,2,False,A,-3
0.11111111111111113,1.9316599115054962,27,3,24,False,D,0
3.1666666666666665,1.0274023338281628,3,0,3,False,A,-1
-0.75,0.25,2,0,2,False,D,0
2.625,1.4306903927824497,4,0,4,False,D,0
-2.5,2.041241452319315,3,1,2,False,A,-2
0.34722222222222215,1.3162241403554036,12,0,12,False,H,1
3.75,0.25,2,0,2,False,H,1
-1.25,2.3126206532231537,7,1,6,False,A,-1
1.0,0.6454972243679028,3,1,2,True,H,1
0.5,1.707825127659933,3,1,2,False,D,0
0.22916666666666669,0.7487450921127716,3,1,2,True,H,1
-1.273809523809524,2.451398323711713,7,0,7,False,A,-3
2.5,,1,0,1,False,H,4
2.75,2.358495283014151,4,0,4,False,H,2
0.25,0.25,2,0,2,False,H,1
-1.2569444444444444,1.2576557784061875,11,1,10,True,D,0
3.0,,1,0,1,False,A,-1
0.9375,0.5115845482420281,4,0,4,False,A,-1
-0.25,1.346291201783626,4,0,4,False,H,1
0.39285714285714285,0.6554649904773684,6,1,5,False,H,1
-0.11666666666666667,2.4735437743081894,13,2,11,False,D,0
-0.95,0.6773108592072034,4,1,3,False,D,0
-0.625,1.4343262065048754,3,1,2,False,H,1
0.6944444444444444,1.0786937688304221,9,0,9,False,A,-1
1.0462962962962963,1.9274077276738424,15,3,12,False,H,2
0.2,1.5459624833740306,13,2,11,False,H,1
0.42857142857142855,2.2587697572631282,7,0,7,False,H,5
-0.7142857142857143,1.0973065354098013,7,0,7,False,H,2
0.35714285714285715,1.4871044320547009,5,2,3,False,A,-4
-2.5,1.0,2,0,2,False,H,1
3.0,,1,0,1,False,D,0
-1.5,,1,0,1,False,D,0
0.125,1.6345871038277526,4,0,4,False,D,0
0.3333333333333333,0.26352313834736496,2,1,1,True,D,0
0.5,1.2093386622447824,5,2,3,True,A,-1
-2.05,2.5019992006393608,5,0,5,False,A,-3
-0.6,2.6343879744638983,5,0,5,False,D,0
-1.75,2.25,2,0,2,False,A,-2
-1.2,1.5684387141358123,5,0,5,False,A,-1
0.7395833333333334,1.9914149509693968,15,1,14,True,H,1
-0.23684210526315788,2.315226500666609,17,2,15,False,D,0
1.2142857142857142,1.3199799008983093,6,1,5,True,H,3
-0.5555555555555556,2.6207185626908607,7,2,5,False,H,2
-0.75,0.9013878188659973,8,2,6,False,A,-1
-2.5,,1,1,0,False,D,0
-0.25,1.25,5,1,4,False,A,-3
0.75,1.6007810593582121,8,0,8,False,H,5
1.0,,1,1,0,False,H,1
-3.5,,1,0,1,False,D,0
-1.962962962962963,1.9129087972581111,7,2,5,False,A,-1
4.0,,1,0,1,False,D,0
-0.375,1.369940185231133,9,1,8,True,D,0
1.7179487179487178,2.337860734035853,12,1,11,False,H,2
-1.1,1.0677078252031311,5,0,5,False,A,-1
2.05,1.962778642639052,8,2,6,True,A,-2
1.6666666666666667,1.0274023338281628,3,0,3,False,H,1
0.75,0.5400617248673217,3,0,3,False,H,3
0.2,2.0922475952907678,4,1,3,True,H,1
0.8333333333333334,0.26352313834736496,2,1,1,False,H,1
2.1666666666666665,1.0730279068546582,5,2,3,False,D,0
1.6372549019607843,1.581313006222269,13,4,9,False,A,-1
-0.3333333333333333,0.8498365855987975,3,0,3,False,D,0
-1.0208333333333333,1.4748567884022827,9,3,6,False,H,1
-0.0625,1.8232440182268528,4,0,4,False,A,-1
0.7777777777777778,2.0639041102645352,7,2,5,False,H,2
-1.125,2.161452058223823,4,0,4,False,H,2
-1.0,,1,0,1,False,A,-1
1.8,1.2806248474865698,8,2,6,True,H,2
1.2243589743589742,2.518987450462236,24,2,22,True,H,1
-0.9285714285714286,0.8607068760795468,5,2,3,False,H,2
-0.425,2.2165570148317864,10,0,10,False,H,2
-0.9444444444444444,1.5542795219816476,7,2,5,False,A,-2
-1.125,2.4569204979675945,6,2,4,False,H,1
-0.5535714285714286,1.824081867642992,12,2,10,False,H,2
2.3333333333333335,2.5970068241043274,5,1,4,True,D,0
-0.07142857142857142,3.144480100436448,7,0,7,False,H,1
-2.55,1.9810911695886744,9,1,8,False,A,-1
-0.125,1.948557158514987,8,0,8,False,H,1
1.0625,1.4155939566132656,6,2,4,True,H,2
0.9215686274509803,1.8161193488451406,13,4,9,False,H,3
3.75,0.75,2,0,2,False,D,0
1.5,,1,0,1,False,H,1
1.5,,1,0,1,False,D,0
-2.5,,1,0,1,False,A,-1
-0.3333333333333333,0.16666666666666669,2,0,2,False,A,-2
-1.35,1.0908712114635715,5,0,5,False,D,0
-0.25,1.1086778913041726,6,0,6,False,H,3
-0.380952380952381,2.757616745194786,5,2,3,True,A,-2
-0.6875,1.4140162531900806,7,1,6,False,A,-1
-0.8333333333333334,1.8276426832884425,4,2,2,False,H,1
3.1666666666666665,1.0274023338281628,3,0,3,False,A,-1
0.3333333333333333,0.26352313834736496,2,1,1,True,H,3
1.5714285714285714,2.1591887570185646,12,2,10,False,D,0
-3.1666666666666665,1.0274023338281628,3,0,3,False,H,2
-0.3333333333333333,0.26352313834736496,2,1,1,False,D,0
-1.5714285714285714,2.1591887570185646,12,2,10,False,H,1
0.25,1.1086778913041726,6,0,6,False,D,0
0.380952380952381,2.757616745194786,5,2,3,False,A,-1
0.6875,1.4140162531900806,7,1,6,False,H,3
0.8333333333333334,1.8276426832884425,4,2,2,True,H,3
-0.25,0.25,2,0,2,False,H,1
-0.7142857142857143,2.132115936657043,10,4,6,False,D,0
-1.0,,1,1,0,False,A,-2
-0.9375,1.2762861160413836,6,2,4,False,A,-2
-1.4090909090909092,2.1011497136985677,9,2,7,False,H,3
1.0833333333333333,3.669506476050666,4,2,2,True,A,-1
-0.6666666666666666,1.2360330811826103,5,1,4,False,A,-1
0.6666666666666666,1.2360330811826103,5,1,4,True,D,0
1.4090909090909092,2.1011497136985677,9,2,7,True,H,1
-1.0833333333333333,3.669506476050666,4,2,2,False,H,3
0.25,0.25,2,0,2,False,H,2
0.7142857142857143,2.132115936657043,10,4,6,False,H,3
1.0,,1,1,0,False,H,4
0.9375,1.2762861160413836,6,2,4,True,H,1
0.5714285714285714,1.7355820055414217,5,2,3,False,H,2
0.3333333333333333,1.4743171677461777,12,3,9,False,D,0
0.875,1.5562374497485916,4,0,4,False,D,0
-0.3333333333333333,1.4743171677461777,12,3,9,False,A,-1
-0.5714285714285714,1.7355820055414217,5,2,3,False,A,-1
-0.875,1.5562374497485916,4,0,4,False,H,1
-0.6666666666666666,2.2484562605386738,3,0,3,False,H,2
0.6666666666666666,2.2484562605386738,3,0,3,False,A,-2
-0.5,0.0,2,0,2,False,H,2
0.5,0.0,2,0,2,False,H,1
0.0,,1,0,1,False,A,-1
-2.5,1.0,2,0,2,False,A,-1
0.0,,1,0,1,False,H,2
2.5,1.0,2,0,2,False,H,1
2.5,,1,1,0,False,H,1
2.5,,1,1,0,False,H,4
1.5,1.5811388300841898,2,1,1,False,H,3
0.5,,1,1,0,False,D,0
-0.5,,1,1,0,False,H,4
-2.5,,1,1,0,False,A,-1
-1.5,1.5811388300841898,2,1,1,False,A,-4
-2.5,,1,1,0,False,A,-2
-2.893939393939394,2.4290671685769043,11,0,11,False,A,-2
-0.4320987654320988,2.2673499971893643,20,7,13,False,D,0
-0.34444444444444444,2.4157661157334593,12,3,9,False,H,1
0.05555555555555555,2.3482698188188063,8,1,7,True,H,1
-0.47585034013605443,1.8859918655410168,46,3,43,False,D,0
-0.9901960784313725,3.2931254341357756,17,0,17,False,A,-2
1.5972222222222223,2.399564325167651,18,6,12,False,H,1
-0.5784313725490197,2.359643232796491,15,2,13,True,H,4
-0.375,3.998276283011733,17,3,14,False,H,2
0.05555555555555555,1.455221547767356,8,1,7,True,D,0
-0.09166666666666662,2.7304092740689203,17,3,14,False,H,3
-2.375,0.23935677693908453,3,1,2,False,A,-1
-0.24000000000000005,2.1905250512148906,10,0,10,False,H,2
0.6313131313131313,2.322507023365985,30,3,27,False,H,4
2.611111111111111,2.1575305957517585,10,2,8,False,H,1
-3.0,,1,0,1,False,A,-5
-2.2222222222222223,2.0342940102738782,23,1,22,False,H,1
1.2034313725490196,2.4289908183476263,34,0,34,False,H,4
0.3571428571428571,2.538247457791669,13,7,6,False,H,4
-0.26785714285714285,2.1462121789043196,28,4,24,False,D,0
-3.6925,2.1011321353022994,10,0,10,False,A,-4
1.3333333333333335,3.1490739379485304,10,0,10,False,H,1
1.2333333333333332,2.66692128414066,9,1,8,True,H,3
1.888888888888889,2.7887560836019993,10,2,8,False,H,3
-0.4710144927536232,2.2106406766656534,19,4,15,False,A,-1
-1.241358024691358,2.931646644804312,25,2,23,False,D,0
1.0,1.7320508075688772,6,1,5,True,D,0
0.25,1.624630135422545,13,1,12,True,D,0
2.2,3.280243893371345,10,0,10,False,H,1
-0.27999999999999997,1.167433081593973,4,1,3,True,D,0
-1.891304347826087,2.9825949634196065,21,2,19,False,A,-2
-0.9166666666666666,2.9410545026064354,7,5,2,False,A,-5
-1.5,0.806225774829855,10,2,8,False,A,-2
0.8402777777777778,2.300327032024984,22,2,20,False,H,4
-2.3,2.293468988235943,5,0,5,False,H,3
-1.6875,2.644028255648314,12,0,12,False,H,4
-0.4255952380952381,2.2862709618911525,24,4,20,False,H,2
-2.1956521739130435,1.6154618445585562,20,3,17,False,A,-4
0.18518518518518523,2.3787828151716224,9,0,9,False,D,0
-0.045454545454545456,2.220304498512693,11,0,11,False,H,1
-0.8214285714285714,2.1198447572790795,19,1,18,False,D,0
2.517857142857143,2.445264852792503,24,4,20,True,H,4
0.4756944444444444,2.6448735550085805,22,2,20,False,H,4
1.125,2.0245884355427237,13,5,8,False,H,1
-1.162280701754386,2.1791934911989155,19,0,19,False,A,-3
1.3214285714285714,1.6939267266036158,5,2,3,True,D,0
0.11666666666666665,1.472809107341025,6,4,2,True,D,0
-0.17633928571428573,2.1087513250331535,14,2,12,False,H,4
-0.1075268817204301,2.1343660935491178,27,4,23,False,A,-1
0.6041666666666666,3.437355696826841,28,4,24,False,A,-1
1.246212121212121,1.7769483791944019,17,5,12,False,H,1
-0.5071428571428571,1.1833453098943603,7,0,7,False,H,1
-0.13771929824561405,3.071349556194692,32,6,26,False,H,3
-2.4133333333333336,1.7077026921711183,22,3,19,False,D,0
-0.717948717948718,3.493119234371457,8,5,3,False,A,-1
-2.3461538461538463,3.0899364233899242,12,1,11,False,A,-1
0.6002304147465438,2.4875999706014973,29,2,27,False,A,-3
-0.15384615384615385,2.2317268796204095,13,0,13,False,A,-2
0.38333333333333336,2.546293602692178,20,0,20,False,H,4
1.2,2.708320512790168,10,5,5,False,A,-2
-0.8363095238095238,1.9413688929972597,27,1,26,False,A,-1
1.1666666666666667,2.494438257849294,3,0,3,False,H,1
-0.20606060606060603,2.6595670911897558,18,4,14,False,D,0
0.045454545454545456,1.947556213979861,10,1,9,False,H,3
-0.86,1.7939899665271264,5,0,5,False,D,0
0.125,3.247595264191645,4,0,4,False,H,1
1.7348484848484846,2.143725227551253,21,1,20,False,A,-3
1.3703703703703705,1.792103258127582,8,1,7,True,H,2
-2.142857142857143,2.19925775976295,7,0,7,False,A,-3
2.066666666666667,2.0659945143521883,6,4,2,True,H,3
-0.3087719298245614,2.2363105461204515,17,2,15,False,H,2
0.6458333333333334,2.8042316733425894,16,8,8,False,H,1
0.024074074074074057,3.810023669202145,17,1,16,False,H,2
0.3225806451612903,2.3431433559509354,29,2,27,True,H,1
0.25,2.396525262402492,25,2,23,False,A,-1
0.7512226512226512,2.1160955787001208,35,2,33,False,H,3
0.37666666666666665,2.985329174107569,24,1,23,True,H,1
0.1944444444444445,1.7798598918364057,5,1,4,True,H,1
-0.7681159420289856,2.2933614916355753,20,3,17,False,A,-1
-0.1,1.9757909808479237,8,2,6,False,A,-1
1.3932291666666667,2.274265773272262,28,4,24,False,D,0
-1.7,2.9086079144497976,5,0,5,False,D,0
1.0,0.7905694150420949,2,1,1,True,D,0
-1.875,2.0104228942377307,26,2,24,False,A,-3
-1.5416666666666665,1.225453430821062,3,1,2,False,H,2
2.0,,1,0,1,False,H,2
-0.07258064516129033,3.0529911247623365,27,4,23,False,A,-1
-1.875,0.649519052838329,4,0,4,False,A,-3
-2.253787878787879,2.444887823446678,20,2,18,False,H,2
-0.9598214285714286,2.7452319362006747,13,3,10,False,H,2
0.17857142857142858,2.6705594460902833,10,4,6,False,H,1
-0.08035714285714286,1.8702154563511133,18,2,16,False,A,-1
-4.416666666666667,1.8352262954621033,6,0,6,False,D,0
1.0666666666666667,2.681628286731633,29,1,28,True,H,5
-0.375,2.2746336701397287,15,1,14,False,A,-2
-2.1666666666666665,2.8524992790099244,13,2,11,False,D,0
-1.6025641025641024,1.7979826521290472,10,3,7,False,A,-3
-0.9598765432098766,2.3943978021877,26,1,25,False,A,-2
4.0,3.24037034920393,3,0,3,False,A,-1
0.7222222222222222,3.3560075381500454,21,0,21,False,H,2
-1.25,1.4361406616345072,3,1,2,False,H,3
2.680701754385965,1.7695772322533736,16,3,13,True,H,1
1.2,1.7809599046071143,11,3,8,True,H,3
2.65625,1.9195234597420268,12,4,8,True,H,2
-1.3571428571428572,1.7805640014515924,5,2,3,False,H,3
4.25,2.25,2,0,2,False,H,1
-1.0256410256410258,2.0596384278918753,24,2,22,False,H,3
-0.4781746031746032,1.931235450361915,19,5,14,False,A,-2
-0.025000000000000033,2.3497939128248113,19,1,18,True,D,0
0.5625,1.5834703888049888,9,3,6,False,A,-1
1.0,1.5,2,0,2,False,A,-1
1.5,0.0,2,2,0,False,D,0
-0.9039473684210527,2.374980495492997,18,1,17,True,H,3
-1.0150000000000001,3.549044410551969,19,1,18,False,A,-1
1.1875,1.5608324434950303,6,2,4,False,A,-1
-1.390625,2.932883673217368,14,2,12,False,H,2
0.23655913978494622,2.996187256923379,29,2,27,False,A,-2
-0.9473684210526315,2.158179983999576,18,1,17,False,H,3
-1.390625,2.932883673217368,14,2,12,False,A,-1
-0.9523809523809523,3.048407048815289,19,2,17,False,A,-1
-0.5666666666666667,2.7253949764718097,10,5,5,False,H,2
-1.0984848484848486,1.9032218414927873,14,8,6,False,D,0
-1.222222222222222,2.2348755919145877,11,1,10,False,H,2
1.0984848484848486,1.9032218414927873,14,8,6,False,H,3
1.222222222222222,2.2348755919145877,11,1,10,True,A,-1
0.5666666666666667,2.7253949764718097,10,5,5,False,H,3
1.390625,2.932883673217368,14,2,12,False,H,1
0.9523809523809523,3.048407048815289,19,2,17,False,D,0
0.9473684210526315,2.158179983999576,18,1,17,True,H,1
-2.2222222222222223,2.0342940102738782,23,1,22,False,H,1
1.7357142857142858,2.4417319121851406,11,3,8,True,A,-5
-2.375,0.23935677693908453,3,1,2,False,D,0
0.75,2.2130809458145158,11,2,9,False,H,3
-0.37037037037037035,2.400845758613608,9,0,9,False,D,0
-0.1346153846153846,1.9660476911808038,9,4,5,False,H,3
-0.07258064516129033,3.0529911247623365,27,4,23,False,H,3
-0.055555555555555504,1.7014880923459506,3,0,3,False,H,3
0.055555555555555504,1.7014880923459506,3,0,3,False,H,5
0.1346153846153846,1.9660476911808038,9,4,5,False,A,-3
0.07258064516129033,3.0529911247623365,27,4,23,False,A,-1
0.37037037037037035,2.400845758613608,9,0,9,False,H,2
2.375,0.23935677693908453,3,1,2,False,H,5
2.2222222222222223,2.0342940102738782,23,1,22,True,H,4
-1.7357142857142858,2.4417319121851406,11,3,8,True,H,3
-0.75,2.2130809458145158,11,2,9,False,H,1
-0.17777777777777776,3.715375590035857,27,3,24,False,A,-1
-0.7,2.841978554680376,19,1,18,False,A,-1
-0.9333333333333333,2.1919835005461756,16,4,12,False,H,2
0.9333333333333333,2.1919835005461756,16,4,12,False,A,-2
0.17777777777777776,3.715375590035857,27,3,24,False,H,1
0.7,2.841978554680376,19,1,18,True,D,0
0.6041666666666666,3.437355696826841,28,4,24,False,H,1
-0.8402777777777778,2.300327032024984,22,2,20,False,D,0
0.8402777777777778,2.300327032024984,22,2,20,False,H,1
-0.6041666666666666,3.437355696826841,28,4,24,False,D,0
-0.017543859649122792,1.8671465260081994,16,3,13,False,H,1
1.75,2.25,2,0,2,False,D,0
-1.5,1.8708286933869707,3,0,3,False,A,-1
-0.8777777777777778,0.5973191135873605,2,1,1,False,H,1
3.0,,1,0,1,False,H,2
1.6893939393939392,1.3622795344744612,9,2,7,False,H,1
-1.75,2.25,2,0,2,False,H,2
1.5,1.8708286933869707,3,0,3,False,H,1
-3.0,,1,0,1,False,H,1
0.8777777777777779,0.5973191135873607,2,1,1,False,H,5
-1.6893939393939392,1.3622795344744612,9,2,7,False,D,0
