date,comp,home,away,hg,ag,note
2025-05-28,CZEPO,Vyskov,Dukla,0,0,po-rel
2025-05-28,CZEPO,Pardubice,Chrudim,2,0,po-rel
2025-06-01,CZEPO,Dukla,Vyskov,1,1,po-rel-aet90pen
2025-06-01,CZEPO,Chrudim,Pardubice,1,0,po-rel
2026-05-26,CZEPO,Ostrava,Taborsko,3,0,po-rel
2026-05-27,CZEPO,Artis Brno,Slovacko,1,4,po-rel
2026-05-30,CZEPO,Taborsko,Ostrava,0,5,po-rel
2026-05-31,CZEPO,Slovacko,Artis Brno,3,0,po-rel
