date,comp,home,away,hg,ag,note
2024-11-02,CZE1,Karvina,Olomouc,2,1,
2024-11-02,CZE1,Sparta,Ostrava,1,3,
2024-11-03,CZE1,C.Budejovice,Liberec,0,0,
2024-11-03,CZE1,Bohemians,Pardubice,0,0,
2024-11-03,CZE1,Slovacko,Plzen,1,0,
2024-11-03,CZE1,Hradec,Slavia,1,1,
2024-11-09,CZE1,Ostrava,Dukla,6,0,
2024-11-09,CZE1,Pardubice,Jablonec,2,0,
2024-11-09,CZE1,Liberec,Hradec,0,0,
2024-11-10,CZE1,Teplice,C.Budejovice,5,2,
2024-11-10,CZE1,Ml.Boleslav,Sparta,2,2,
2024-11-10,CZE1,Plzen,Bohemians,2,0,
2024-11-10,CZE1,Slavia,Karvina,5,1,
2024-11-23,CZE1,Hradec,Plzen,0,1,
2024-12-14,CZE1,Dukla,Hradec,1,2,
2024-12-14,CZE1,Bohemians,Karvina,3,3,
2024-12-14,CZE1,Pardubice,Liberec,1,1,
2024-12-14,CZE1,Ostrava,Slovacko,3,1,
2024-12-15,CZE1,Sparta,Jablonec,2,1,
2024-12-15,CZE1,Ml.Boleslav,Olomouc,1,3,
2024-12-15,CZE1,Teplice,Slavia,1,0,
2024-12-15,CZE1,Plzen,C.Budejovice,7,2,
2024-12-08,CZE1,Karvina,Plzen,1,2,
2024-12-08,CZE1,C.Budejovice,Ml.Boleslav,0,4,
2024-12-08,CZE1,Olomouc,Slavia,1,2,
2024-12-08,CZE1,Liberec,Teplice,3,0,h2h
2025-02-01,CZE1,Karvina,Teplice,1,1,
2025-02-01,CZE1,Liberec,Ostrava,0,1,
2025-02-01,CZE1,C.Budejovice,Dukla,0,0,
2025-02-02,CZE1,Slovacko,Sparta,0,2,
2025-02-02,CZE1,Jablonec,Bohemians,0,1,
2025-02-02,CZE1,Slavia,Ml.Boleslav,1,0,
2025-02-03,CZE1,Olomouc,Plzen,2,1,
2025-02-08,CZE1,Ml.Boleslav,Teplice,2,1,
2025-02-08,CZE1,Pardubice,Slavia,0,2,
2025-02-08,CZE1,Plzen,Liberec,3,2,
2025-02-09,CZE1,Jablonec,Slovacko,4,2,
2025-02-09,CZE1,Ostrava,Olomouc,1,0,
2025-02-09,CZE1,Bohemians,C.Budejovice,1,0,
2025-02-09,CZE1,Sparta,Hradec,3,0,
2025-02-15,CZE1,Olomouc,Pardubice,4,0,
2025-02-15,CZE1,Slovacko,Dukla,0,0,
2025-02-15,CZE1,C.Budejovice,Jablonec,2,3,
2025-02-15,CZE1,Karvina,Sparta,2,3,
2025-02-16,CZE1,Hradec,Bohemians,2,2,
2025-02-16,CZE1,Liberec,Ml.Boleslav,3,1,
2025-02-16,CZE1,Teplice,Plzen,0,2,
2025-02-16,CZE1,Slavia,Ostrava,1,0,
2025-02-22,CZE1,Dukla,Olomouc,1,3,
2025-02-22,CZE1,Ostrava,Teplice,2,0,
2025-02-22,CZE1,Pardubice,Ml.Boleslav,0,3,
2025-02-22,CZE1,Sparta,C.Budejovice,2,1,
2025-02-23,CZE1,Bohemians,Liberec,0,0,
2025-02-23,CZE1,Jablonec,Karvina,5,0,
2025-02-23,CZE1,Plzen,Slavia,1,3,
2025-03-29,CZE1,Jablonec,Olomouc,0,0,
2025-03-29,CZE1,Ostrava,Pardubice,5,2,
2025-03-29,CZE1,Bohemians,Teplice,1,1,
2025-03-29,CZE1,Dukla,Slavia,0,0,
2025-03-30,CZE1,Slovacko,Liberec,0,4,
2025-03-30,CZE1,Hradec,C.Budejovice,1,0,
2025-03-30,CZE1,Karvina,Ml.Boleslav,3,1,
2025-03-30,CZE1,Sparta,Plzen,2,4,
2025-03-16,CZE1,Olomouc,Hradec,1,2,
2025-03-16,CZE1,Plzen,Ostrava,0,1,
2025-03-16,CZE1,C.Budejovice,Karvina,2,3,
2025-03-16,CZE1,Slavia,Jablonec,3,0,
2024-12-01,CZE1,Slavia,Liberec,1,0,
2024-12-01,CZE1,Ml.Boleslav,Hradec,3,0,
2024-12-01,CZE1,Pardubice,C.Budejovice,0,0,
2024-12-01,CZE1,Plzen,Jablonec,3,2,
2024-12-03,CZE1,Sparta,Karvina,4,1,
2024-12-04,CZE1,Dukla,Slovacko,1,2,
2024-12-04,CZE1,Jablonec,C.Budejovice,5,0,
2024-12-04,CZE1,Pardubice,Olomouc,2,2,
2024-12-04,CZE1,Bohemians,Hradec,0,3,
2024-12-05,CZE1,Ostrava,Slavia,0,1,
2024-12-05,CZE1,Ml.Boleslav,Liberec,1,0,
2024-12-05,CZE1,Plzen,Teplice,1,1,
2024-12-07,CZE1,Slovacko,Pardubice,1,1,
2024-12-07,CZE1,Jablonec,Dukla,2,1,
