date,comp,home,away,hg,ag
2024-10-18,RPL,akhmat,fakel,2,3
2024-10-18,RPL,akron,zenit,0,5
2024-10-19,RPL,dinamo-mkh,cska,0,1
2024-10-19,RPL,himki,lokomotiv,2,0
2024-10-19,RPL,pari-nn,rostov,1,1
2024-10-19,RPL,spartak,krasnodar,0,3
2024-10-20,RPL,orenburg,krylja,2,2
2024-10-20,RPL,rubin,dinamo-msk,0,4
2024-10-22,CUP,cska,akhmat,1,0
2024-10-22,CUP,dinamo-mkh,spartak,0,1
2024-10-22,CUP,fakel,zenit,0,1
2024-10-23,CUP,akron,rubin,0,1
2024-10-23,CUP,krasnodar,pari-nn,1,2
2024-10-23,CUP,orenburg,himki,2,0
2024-10-23,CUP,rostov,lokomotiv,2,2
2024-10-24,CUP,krylja,dinamo-msk,3,6
2024-10-26,RPL,cska,fakel,0,0
2024-10-26,RPL,dinamo-mkh,akron,1,1
2024-10-26,RPL,rostov,akhmat,2,3
2024-10-27,RPL,himki,dinamo-msk,3,4
2024-10-27,RPL,orenburg,rubin,1,2
2024-10-27,RPL,pari-nn,spartak,0,2
2024-10-27,RPL,zenit,lokomotiv,1,1
2024-10-28,RPL,krylja,krasnodar,1,2
2024-11-01,RPL,dinamo-msk,rostov,1,1
2024-11-02,RPL,cska,spartak,0,2
2024-11-02,RPL,lokomotiv,rubin,1,0
2024-11-02,RPL,zenit,dinamo-mkh,2,1
2024-11-03,RPL,akhmat,pari-nn,0,2
2024-11-03,RPL,akron,krylja,2,0
2024-11-03,RPL,fakel,himki,1,1
2024-11-03,RPL,krasnodar,orenburg,4,0
2024-11-05,CUP,dinamo-msk,lokomotiv,1,2
2024-11-05,CUP,spartak,rostov,0,1
2024-11-06,CUP,rubin,cska,0,0
2024-11-06,CUP,zenit,akhmat,3,0
2024-11-09,RPL,dinamo-mkh,orenburg,2,1
2024-11-09,RPL,dinamo-msk,pari-nn,3,1
2024-11-09,RPL,lokomotiv,fakel,2,1
2024-11-09,RPL,rostov,himki,3,1
2024-11-10,RPL,akhmat,zenit,1,2
2024-11-10,RPL,krylja,cska,1,2
2024-11-10,RPL,rubin,krasnodar,1,1
2024-11-10,RPL,spartak,akron,4,0
2024-11-22,RPL,rubin,akron,3,0
2024-11-23,RPL,cska,rostov,1,2
2024-11-23,RPL,himki,krasnodar,2,2
2024-11-23,RPL,orenburg,zenit,0,1
2024-11-23,RPL,spartak,lokomotiv,5,2
2024-11-24,RPL,fakel,dinamo-msk,1,1
2024-11-24,RPL,krylja,akhmat,2,1
2024-11-24,RPL,pari-nn,dinamo-mkh,0,0
2024-11-26,CUP,cska,rubin,3,0
2024-11-26,CUP,shinnik,akron,0,1
2024-11-26,CUP,tyumen,krasnodar,3,3
2024-11-27,CUP,akhmat,zenit,1,2
2024-11-27,CUP,rostov,spartak,2,1
2024-11-27,CUP,sochi,dinamo-mkh,1,1
2024-11-27,CUP,ural,himki,1,1
2024-11-28,CUP,lokomotiv,dinamo-msk,0,1
2024-11-30,RPL,akron,orenburg,1,0
2024-11-30,RPL,cska,rubin,2,2
2024-11-30,RPL,rostov,pari-nn,4,0
2024-12-01,RPL,dinamo-mkh,fakel,0,0
2024-12-01,RPL,krasnodar,spartak,0,3
2024-12-01,RPL,lokomotiv,himki,1,3
2024-12-01,RPL,zenit,krylja,2,3
2024-12-02,RPL,akhmat,dinamo-msk,1,1
2024-12-07,RPL,dinamo-mkh,rubin,2,3
2024-12-07,RPL,rostov,krylja,3,1
2024-12-07,RPL,spartak,pari-nn,3,0
2024-12-07,RPL,zenit,akron,1,2
2024-12-08,RPL,akhmat,orenburg,1,0
2024-12-08,RPL,dinamo-msk,himki,4,1
2024-12-08,RPL,fakel,cska,0,1
2024-12-08,RPL,krasnodar,lokomotiv,0,0
2025-02-28,RPL,dinamo-mkh,lokomotiv,1,1
2025-03-01,RPL,akhmat,rubin,2,1
2025-03-01,RPL,krasnodar,krylja,1,1
2025-03-01,RPL,pari-nn,akron,2,1
2025-03-01,RPL,zenit,cska,0,0
2025-03-02,RPL,himki,fakel,1,0
2025-03-02,RPL,rostov,dinamo-msk,1,1
2025-03-02,RPL,spartak,orenburg,2,0
2025-03-07,RPL,lokomotiv,akhmat,1,1
2025-03-07,RPL,pari-nn,krasnodar,0,3
2025-03-08,RPL,cska,himki,1,0
2025-03-08,RPL,dinamo-msk,dinamo-mkh,4,0
2025-03-08,RPL,fakel,zenit,0,2
2025-03-08,RPL,orenburg,rostov,1,2
2025-03-09,RPL,krylja,akron,0,2
2025-03-09,RPL,rubin,spartak,2,1
2025-03-11,CUP,dinamo-mkh,lokomotiv,1,2
2025-03-11,CUP,krasnodar,akhmat,1,2
2025-03-12,CUP,akron,spartak,2,3
2025-03-12,CUP,cska,dinamo-msk,2,1
2025-03-12,CUP,rostov,zenit,0,1
2025-03-12,CUP,ural,rubin,1,0
2025-03-15,RPL,dinamo-mkh,krylja,4,0
2025-03-15,RPL,himki,akhmat,1,1
2025-03-15,RPL,lokomotiv,dinamo-msk,2,1
2025-03-15,RPL,orenburg,fakel,1,0
2025-03-16,RPL,akron,cska,1,2
2025-03-16,RPL,rostov,krasnodar,0,1
2025-03-16,RPL,rubin,pari-nn,1,0
2025-03-16,RPL,spartak,zenit,2,1
2025-03-28,RPL,krylja,lokomotiv,5,1
2025-03-29,RPL,cska,dinamo-mkh,2,0
2025-03-29,RPL,dinamo-msk,orenburg,5,1
2025-03-29,RPL,himki,pari-nn,2,0
2025-03-30,RPL,akhmat,spartak,0,0
2025-03-30,RPL,krasnodar,fakel,5,0
2025-03-30,RPL,zenit,rubin,4,0
2025-03-31,RPL,akron,rostov,2,3
2025-04-04,RPL,pari-nn,orenburg,1,2
2025-04-05,RPL,fakel,akhmat,0,0
2025-04-05,RPL,krasnodar,akron,1,0
2025-04-05,RPL,krylja,rubin,1,1
2025-04-05,RPL,lokomotiv,zenit,1,1
2025-04-06,RPL,cska,dinamo-msk,3,1
2025-04-06,RPL,dinamo-mkh,himki,4,1
2025-04-06,RPL,rostov,spartak,0,3
2025-04-11,RPL,spartak,dinamo-mkh,1,2
2025-04-12,RPL,akhmat,rostov,2,1
2025-04-12,RPL,orenburg,cska,0,2
2025-04-12,RPL,pari-nn,dinamo-msk,1,1
2025-04-12,RPL,rubin,lokomotiv,1,0
2025-04-13,RPL,akron,fakel,1,0
2025-04-13,RPL,himki,krylja,1,3
2025-04-13,RPL,zenit,krasnodar,4,1
2025-04-15,CUP,lokomotiv,akhmat,2,1
2025-04-15,CUP,spartak,ural,3,0
2025-04-16,CUP,dinamo-msk,cska,0,0
2025-04-16,CUP,zenit,rostov,2,0
2025-04-19,RPL,akron,spartak,2,3
2025-04-19,RPL,krasnodar,akhmat,3,1
2025-04-19,RPL,lokomotiv,pari-nn,3,0
2025-04-19,RPL,orenburg,dinamo-mkh,2,1
2025-04-20,RPL,cska,krylja,1,1
2025-04-20,RPL,dinamo-msk,rubin,3,1
2025-04-20,RPL,fakel,rostov,0,2
2025-04-20,RPL,zenit,himki,1,0
2025-04-25,RPL,dinamo-mkh,krasnodar,2,3
2025-04-26,RPL,dinamo-msk,zenit,1,1
2025-04-26,RPL,pari-nn,akhmat,1,0
2025-04-26,RPL,rostov,lokomotiv,1,1
2025-04-26,RPL,spartak,cska,1,2
2025-04-27,RPL,himki,akron,2,2
2025-04-27,RPL,krylja,orenburg,2,0
2025-04-27,RPL,rubin,fakel,2,1
2025-04-29,CUP,spartak,dinamo-msk,2,1
2025-04-30,CUP,lokomotiv,rostov,0,2
2025-04-30,CUP,zenit,cska,2,0
2025-05-02,RPL,akron,dinamo-mkh,1,0
2025-05-03,RPL,krasnodar,rubin,2,1
2025-05-03,RPL,lokomotiv,orenburg,1,1
2025-05-04,RPL,akhmat,cska,1,1
2025-05-04,RPL,fakel,spartak,0,0
2025-05-04,RPL,himki,rostov,1,1
2025-05-04,RPL,zenit,pari-nn,2,1
2025-05-05,RPL,krylja,dinamo-msk,1,3
2025-05-10,RPL,cska,krasnodar,1,0
2025-05-10,RPL,dinamo-mkh,zenit,0,1
2025-05-10,RPL,orenburg,himki,1,1
2025-05-11,RPL,akron,akhmat,3,2
2025-05-11,RPL,dinamo-msk,spartak,2,0
2025-05-11,RPL,fakel,lokomotiv,0,1
2025-05-11,RPL,rubin,rostov,1,0
2025-05-12,RPL,pari-nn,krylja,5,2
2025-05-14,CUP,cska,zenit,2,0
2025-05-15,CUP,spartak,rostov,1,2
2025-05-17,RPL,himki,rubin,3,2
2025-05-17,RPL,orenburg,krasnodar,1,2
2025-05-17,RPL,pari-nn,fakel,1,1
2025-05-18,RPL,akhmat,dinamo-mkh,1,1
2025-05-18,RPL,dinamo-msk,akron,2,1
2025-05-18,RPL,krylja,spartak,0,2
2025-05-18,RPL,rostov,zenit,0,1
2025-05-19,RPL,akron,lokomotiv,1,4
2025-05-19,RPL,cska,pari-nn,2,0
2025-05-19,RPL,dinamo-mkh,rostov,1,1
2025-05-19,RPL,fakel,krylja,1,1
2025-05-19,RPL,krasnodar,dinamo-msk,3,0
2025-05-19,RPL,lokomotiv,cska,2,2
2025-05-19,RPL,rubin,orenburg,4,2
2025-05-19,RPL,spartak,himki,5,0
2025-05-19,RPL,zenit,akhmat,3,0
2025-06-01,CUP,rostov,cska,0,0
2025-07-12,SUP,krasnodar,cska,0,1
2025-07-18,RPL,dinamo-msk,baltika,1,1
2025-07-19,RPL,akron,krylja,1,1
2025-07-19,RPL,lokomotiv,sochi,3,0
2025-07-19,RPL,spartak,dinamo-mkh,1,0
2025-07-20,RPL,akhmat,rubin,0,2
2025-07-20,RPL,pari-nn,krasnodar,0,3
2025-07-20,RPL,zenit,rostov,2,1
2025-07-21,RPL,orenburg,cska,0,0
2025-07-25,RPL,krylja,pari-nn,2,0
2025-07-26,RPL,dinamo-msk,rostov,1,0
2025-07-26,RPL,krasnodar,lokomotiv,1,2
2025-07-26,RPL,sochi,akron,0,4
2025-07-26,RPL,spartak,baltika,0,3
2025-07-27,RPL,cska,akhmat,2,1
2025-07-27,RPL,orenburg,dinamo-mkh,1,1
2025-07-27,RPL,rubin,zenit,2,2
2025-07-29,CUP,akron,baltika,2,1
2025-07-29,CUP,dinamo-msk,sochi,3,2
2025-07-29,CUP,krasnodar,krylja,1,2
2025-07-30,CUP,akhmat,zenit,1,2
2025-07-30,CUP,cska,lokomotiv,2,1
2025-07-30,CUP,dinamo-mkh,pari-nn,1,0
2025-07-30,CUP,rostov,spartak,0,2
2025-07-31,CUP,rubin,orenburg,2,0
2025-08-02,RPL,krasnodar,dinamo-msk,1,0
2025-08-02,RPL,pari-nn,lokomotiv,2,3
2025-08-02,RPL,rostov,krylja,1,4
2025-08-03,RPL,akron,spartak,1,1
2025-08-03,RPL,baltika,orenburg,3,2
2025-08-03,RPL,dinamo-mkh,akhmat,1,0
2025-08-03,RPL,zenit,cska,1,1
2025-08-04,RPL,rubin,sochi,2,1
2025-08-08,RPL,dinamo-mkh,akron,1,1
2025-08-09,RPL,akhmat,zenit,1,0
2025-08-09,RPL,cska,rubin,5,1
2025-08-09,RPL,krylja,baltika,1,1
2025-08-09,RPL,lokomotiv,spartak,4,2
2025-08-10,RPL,orenburg,krasnodar,0,1
2025-08-10,RPL,rostov,pari-nn,1,0
2025-08-10,RPL,sochi,dinamo-msk,1,1
2025-08-12,CUP,akron,cska,1,1
2025-08-12,CUP,spartak,dinamo-mkh,1,1
2025-08-12,CUP,zenit,rubin,3,0
2025-08-13,CUP,dinamo-msk,krasnodar,0,4
2025-08-13,CUP,lokomotiv,baltika,2,0
2025-08-13,CUP,orenburg,akhmat,2,1
2025-08-13,CUP,sochi,krylja,1,1
2025-08-14,CUP,pari-nn,rostov,1,0
2025-08-16,RPL,akhmat,krylja,3,1
2025-08-16,RPL,baltika,lokomotiv,1,1
2025-08-16,RPL,spartak,zenit,2,2
2025-08-17,RPL,akron,orenburg,1,2
2025-08-17,RPL,dinamo-msk,cska,1,3
2025-08-17,RPL,krasnodar,sochi,5,1
2025-08-17,RPL,rubin,rostov,1,0
2025-08-18,RPL,pari-nn,dinamo-mkh,2,0
2025-08-22,RPL,orenburg,akhmat,2,2
2025-08-23,RPL,dinamo-msk,pari-nn,3,0
2025-08-23,RPL,lokomotiv,rostov,3,3
