date,comp,home,away,hg,ag
2026-03-21,RPL,krasnodar,pari-nn,5,0
2026-03-22,RPL,dinamo-msk,zenit,1,3
2026-03-22,RPL,krylja,rubin,0,0
2026-03-22,RPL,lokomotiv,akron,5,1
2026-03-22,RPL,orenburg,spartak,0,2
2026-04-04,RPL,akhmat,krasnodar,0,1
2026-04-04,RPL,akron,cska,1,2
2026-04-04,RPL,dinamo-msk,orenburg,3,3
2026-04-04,RPL,zenit,krylja,2,1
2026-04-05,RPL,dinamo-mkh,baltika,2,2
2026-04-05,RPL,pari-nn,rostov,0,1
2026-04-05,RPL,spartak,lokomotiv,2,1
2026-04-06,RPL,sochi,rubin,0,1
2026-04-07,CUP,krylja,cska,2,5
2026-04-08,CUP,dinamo-msk,krasnodar,0,0
2026-04-08,CUP,zenit,spartak,0,0
2026-04-11,RPL,baltika,pari-nn,2,2
2026-04-11,RPL,krylja,akhmat,2,2
2026-04-11,RPL,rubin,orenburg,0,0
2026-04-12,RPL,cska,sochi,0,1
2026-04-12,RPL,lokomotiv,dinamo-mkh,1,1
2026-04-12,RPL,rostov,spartak,1,1
2026-04-12,RPL,zenit,krasnodar,1,1
2026-04-13,RPL,akron,dinamo-msk,2,3
2026-04-17,RPL,rostov,sochi,0,1
2026-04-18,RPL,krylja,cska,1,1
2026-04-18,RPL,orenburg,lokomotiv,0,1
2026-04-18,RPL,pari-nn,dinamo-msk,1,1
2026-04-18,RPL,rubin,akron,1,1
2026-04-19,RPL,dinamo-mkh,zenit,0,1
2026-04-19,RPL,krasnodar,baltika,2,2
2026-04-19,RPL,spartak,akhmat,3,1
2026-04-21,RPL,cska,rostov,1,1
2026-04-21,RPL,sochi,krylja,2,1
2026-04-22,RPL,dinamo-msk,rubin,0,1
2026-04-22,RPL,lokomotiv,zenit,0,0
2026-04-22,RPL,orenburg,pari-nn,2,1
2026-04-23,RPL,akhmat,baltika,1,1
2026-04-23,RPL,akron,dinamo-mkh,1,1
2026-04-23,RPL,spartak,krasnodar,1,2
2026-04-25,RPL,krylja,lokomotiv,2,0
2026-04-25,RPL,rostov,orenburg,0,1
2026-04-25,RPL,rubin,cska,0,0
2026-04-26,RPL,dinamo-msk,sochi,2,0
2026-04-26,RPL,krasnodar,dinamo-mkh,2,1
2026-04-26,RPL,pari-nn,spartak,1,2
2026-04-26,RPL,zenit,akhmat,2,0
2026-04-27,RPL,baltika,akron,0,1
2026-05-01,RPL,krylja,spartak,2,1
2026-05-01,RPL,lokomotiv,dinamo-msk,1,1
2026-05-02,RPL,baltika,rubin,0,1
2026-05-02,RPL,cska,zenit,1,3
2026-05-02,RPL,dinamo-mkh,rostov,1,2
2026-05-03,RPL,akhmat,pari-nn,2,0
2026-05-03,RPL,akron,krasnodar,0,1
2026-05-03,RPL,sochi,orenburg,3,1
2026-05-06,CUP,spartak,cska,1,0
2026-05-07,CUP,krasnodar,dinamo-msk,0,0
2026-05-10,RPL,akhmat,dinamo-mkh,1,1
2026-05-10,RPL,lokomotiv,baltika,1,0
2026-05-10,RPL,orenburg,krylja,1,0
2026-05-10,RPL,zenit,sochi,2,1
2026-05-11,RPL,akron,rostov,1,3
2026-05-11,RPL,baltika,dinamo-msk,1,2
2026-05-11,RPL,cska,lokomotiv,3,1
2026-05-11,RPL,dinamo-mkh,spartak,0,0
2026-05-11,RPL,dinamo-msk,krasnodar,2,1
2026-05-11,RPL,krasnodar,orenburg,3,0
2026-05-11,RPL,krylja,akron,4,1
2026-05-11,RPL,pari-nn,cska,1,2
2026-05-11,RPL,rostov,zenit,0,1
2026-05-11,RPL,rubin,pari-nn,2,2
2026-05-11,RPL,sochi,akhmat,1,1
2026-05-11,RPL,spartak,rubin,2,1
2026-05-24,CUP,spartak,krasnodar,1,1
2026-05-27,RPLPO,shinnik,akron,1,2
2026-05-31,RPLPO,akron,shinnik,1,0
2026-07-24,RPL,cska,baltika,2,1
2026-07-25,RPL,akron,zenit,0,5
2026-07-25,RPL,dinamo-msk,krylja,0,0
2026-07-25,RPL,fakel,dinamo-mkh,1,2
2026-07-25,RPL,spartak,rodina,3,0
2026-07-26,RPL,lokomotiv,akhmat,1,1
2026-07-26,RPL,orenburg,rostov,2,1
2026-07-26,RPL,rubin,krasnodar,1,3
