date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2024-08-25,Dynamo Moscow v FC Krasnodar,55.9,0.0,44.1,H,55.9,A,0,0,0,100,0,0,50,0,50,22,4
2024-08-25,Krylya Sovetov Sam v Pari Nizhny Novgor,37.5,4.7,57.8,A,57.8,H,0,0,0,0,0,100,40,5,55,21,2
2024-08-25,Lokomotiv Moscow v FC Rostov,37.8,13.5,48.6,A,48.6,H,100,0,0,50,50,0,30,10,60,23,4
2024-08-27,Akhmat Grozny v CSKA Moscow,28.9,17.1,53.9,A,53.9,A,0,0,0,25,25,50,30,15,55,24,3
2024-08-27,Fakel Voronezh v Rubin Kazan,8.8,8.8,82.4,A,82.4,A,0,0,0,0,0,100,10,10,80,22,3
2024-08-27,Spartak Moscow v Dynamo Makhachkala,23.7,3.9,72.4,A,72.4,A,0,0,0,75,0,25,10,5,85,24,5
2024-08-28,Dynamo Moscow v Krylya Sovetov Sam,79.3,13.4,7.3,H,79.3,H,100,0,0,50,50,0,85,5,10,25,4
2024-08-28,Lokomotiv Moscow v FC Khimki,51.3,13.2,35.5,H,51.3,H,0,0,0,75,25,0,45,10,45,24,5
2024-08-28,FC Orenburg v FC Rostov,46.2,24.4,29.5,H,46.2,A,0,0,100,0,33,67,60,25,15,24,5
2024-08-28,Pari Nizhny Novgor v FC Krasnodar,28.2,3.8,67.9,A,67.9,A,0,0,100,33,0,67,30,5,65,24,4
2024-08-31,Akhmat Grozny v Akron Tolyatti,55.6,13.9,30.6,H,55.6,D,0,0,0,33,33,33,60,10,30,23,4
2024-08-31,FC Khimki v CSKA Moscow,11.3,3.8,85.0,A,85.0,A,0,0,0,0,0,100,15,5,80,25,5
2024-08-31,Pari Nizhny Novgor v Zenit St Petersbur,9.7,8.3,81.9,A,81.9,A,0,0,0,33,0,67,5,10,85,23,4
2024-08-31,Spartak Moscow v Rubin Kazan,19.7,3.9,76.3,A,76.3,H,0,0,0,75,0,25,5,5,90,24,5
2024-09-01,Krylya Sovetov Sam v Dynamo Makhachkala,24.4,7.7,67.9,A,67.9,A,0,0,100,33,0,67,25,10,65,24,5
2024-09-01,Lokomotiv Moscow v FC Krasnodar,30.3,17.1,52.6,A,52.6,A,0,0,0,50,25,25,25,15,60,24,3
2024-09-01,FC Orenburg v Dynamo Moscow,60.5,7.9,31.6,H,60.5,D,0,0,0,25,0,75,70,10,20,24,4
2024-09-01,FC Rostov v Fakel Voronezh,81.6,5.3,13.2,H,81.6,H,0,0,0,50,25,25,90,0,10,24,5
2024-09-13,Rubin Kazan v Krylya Sovetov Sam,69.0,13.1,17.9,H,69.0,A,0,0,0,67,33,0,70,5,25,26,5
2024-09-14,CSKA Moscow v Zenit St Petersbur,26.4,26.4,47.2,A,47.2,A,0,0,0,33,33,33,25,25,50,23,3
2024-09-14,Fakel Voronezh v Pari Nizhny Novgor,48.7,15.8,35.5,H,48.7,D,0,0,0,25,75,0,55,0,45,24,5
2024-09-14,FC Krasnodar v FC Rostov,52.8,0.0,47.2,H,52.8,H,0,0,0,67,0,33,50,0,50,23,4
2024-09-14,FC Orenburg v Lokomotiv Moscow,61.1,0.0,38.9,H,61.1,A,0,0,100,17,0,83,85,0,15,27,7
2024-09-15,Akron Tolyatti v FC Khimki,46.3,12.5,41.3,H,46.3,H,0,0,0,20,20,60,55,10,35,25,5
2024-09-15,Dynamo Makhachkala v Spartak Moscow,32.6,10.5,57.0,A,57.0,D,100,0,0,20,0,80,30,15,55,26,5
2024-09-15,Dynamo Moscow v Akhmat Grozny,42.9,15.5,41.7,H,42.9,H,0,0,0,50,17,33,40,15,45,26,6
2024-09-17,Zenit St Petersbur v Rubin Kazan,90.6,3.1,6.3,H,90.6,H,100,0,0,100,0,0,85,5,10,28,8
2024-09-18,Akron Tolyatti v Fakel Voronezh,64.3,4.8,31.0,H,64.3,H,100,0,0,0,33,67,70,0,30,25,6
2024-09-18,CSKA Moscow v FC Krasnodar,50.0,6.8,43.2,H,50.0,H,0,0,100,50,0,50,60,10,30,26,4
2024-09-18,FC Rostov v FC Orenburg,65.9,13.6,20.5,H,65.9,H,100,0,0,100,0,0,50,20,30,26,5
2024-09-19,FC Khimki v Lokomotiv Moscow,16.7,6.7,76.7,A,76.7,A,0,0,100,0,0,100,25,10,65,27,6
2024-09-19,Pari Nizhny Novgor v Akhmat Grozny,39.0,0.0,61.0,A,61.0,A,0,0,100,50,0,50,40,0,60,25,4
2024-09-19,Spartak Moscow v Krylya Sovetov Sam,40.2,3.3,56.5,A,56.5,H,100,0,0,80,0,20,15,5,80,27,8
2024-09-21,Akron Tolyatti v FC Krasnodar,50.0,7.5,42.5,H,50.0,A,0,0,0,20,0,80,60,10,30,25,5
2024-09-21,Rubin Kazan v CSKA Moscow,33.8,12.5,53.8,A,53.8,D,0,0,0,0,20,80,45,10,45,25,5
2024-09-21,Zenit St Petersbur v Fakel Voronezh,90.0,6.7,3.3,H,90.0,H,100,0,0,100,0,0,85,10,5,27,7
2024-09-22,FC Khimki v FC Orenburg,54.4,7.8,37.8,H,54.4,D,100,0,0,17,17,67,65,5,30,27,7
2024-09-22,Pari Nizhny Novgor v Lokomotiv Moscow,20.0,3.8,76.3,A,76.3,A,0,0,0,20,0,80,20,5,75,25,6
2024-09-22,FC Rostov v Dynamo Makhachkala,76.3,3.8,20.0,H,76.3,D,0,0,0,80,0,20,75,5,20,25,5
2024-09-22,Spartak Moscow v Dynamo Moscow,23.3,0.0,76.7,A,76.7,D,100,0,0,50,0,50,5,0,95,27,7
2024-09-23,Akhmat Grozny v Krylya Sovetov Sam,77.6,10.5,11.8,H,77.6,D,0,0,0,50,50,0,85,0,15,24,5
2024-09-27,Fakel Voronezh v Rubin Kazan,16.7,18.9,64.4,A,64.4,D,0,0,100,0,17,83,25,15,60,27,8
2024-09-27,FC Orenburg v Pari Nizhny Novgor,81.3,3.8,15.0,H,81.3,A,0,0,0,40,0,60,95,5,0,25,6
2024-09-28,CSKA Moscow v Akhmat Grozny,70.0,3.3,26.7,H,70.0,H,100,0,0,100,0,0,55,5,40,27,7
2024-09-28,FC Krasnodar v Zenit St Petersbur,3.8,16.3,80.0,A,80.0,H,0,0,0,0,20,80,10,10,80,25,5
2024-09-28,Lokomotiv Moscow v Spartak Moscow,46.3,0.0,53.8,A,53.8,H,0,0,0,80,0,20,35,0,65,25,5
2024-09-28,FC Rostov v Akron Tolyatti,70.5,8.0,21.6,H,70.5,A,0,0,0,71,14,14,70,0,30,27,7
