date,comp,venue,hg,ag,S,side,dShare,effective,zoned
2024-08-28,CUP,home,0,1,67.9,TB,3.8,4,WIN,A,R3,R3
2024-08-31,RPL,home,0,0,55.6,TA,13.9,4,WINDRAW,D,R4,R7
2024-08-31,RPL,home,0,2,85.0,TB,3.8,5,STRONG,A,R3,R4
2024-08-31,RPL,home,0,3,81.9,TB,8.3,4,WIN,A,R3,R7
2024-08-31,RPL,home,1,0,76.3,TB,3.9,5,GATED->WINDRAW,H,R4,R4
2024-09-01,RPL,home,0,1,67.9,TB,7.7,5,WIN,A,R4,R5
2024-09-01,RPL,home,0,3,52.6,TB,17.1,3,LEAN,A,R4,R4
2024-09-01,RPL,home,2,2,60.5,TA,7.9,4,WINDRAW,D,R4,R4
2024-09-01,RPL,home,4,1,81.6,TA,5.3,5,GATED->WINDRAW,H,R4,R5
2024-09-13,RPL,home,0,2,69.0,TA,13.1,5,WIN,A,R13,R12
2024-09-14,RPL,home,0,1,47.2,TB,26.4,3,TOSS,A,R14,R14
2024-09-14,RPL,home,0,0,48.7,TA,15.8,5,TOSS,D,R13,R14
2024-09-14,RPL,home,2,0,52.8,TA,0.0,4,LEAN,H,R13,R13
2024-09-14,RPL,home,2,4,61.1,TA,0.0,7,WINDRAW,A,R13,R13
2024-09-15,RPL,home,3,0,46.3,TA,12.5,5,TOSS,H,R15,R15
2024-09-15,RPL,home,1,1,57.0,TB,10.5,5,WINDRAW,D,R14,R15
2024-09-15,RPL,home,4,2,42.9,TA,15.5,6,TOSS,H,R14,R15
2024-09-17,CUP,home,2,0,90.6,TA,3.1,8,STRONG,H,R3,R4
2024-09-18,CUP,home,2,0,64.3,TA,4.8,6,WINDRAW,H,R3,R4
2024-09-18,CUP,home,2,0,50.0,TA,6.8,4,LEAN,H,R4,R4
2024-09-18,CUP,home,3,1,65.9,TA,13.6,5,WIN,H,R4,R4
2024-09-19,CUP,home,1,5,76.7,TB,6.7,6,WIN,A,R4,R5
2024-09-19,CUP,home,1,2,61.0,TB,0.0,4,WINDRAW,A,R5,R4
2024-09-19,CUP,home,4,1,56.5,TB,3.3,8,WINDRAW,H,R4,R6
2024-09-21,RPL,home,2,5,50.0,TA,7.5,5,LEAN,A,R3,R3
2024-09-21,RPL,home,1,1,53.8,TB,12.5,5,LEAN,D,R4,R3
2024-09-21,RPL,home,3,1,90.0,TA,6.7,7,STRONG,H,R4,R3
2024-09-22,RPL,home,0,0,54.4,TA,7.8,7,LEAN,D,R3,R4
2024-09-22,RPL,home,1,3,76.3,TB,3.8,6,WIN,A,R3,R3
2024-09-22,RPL,home,0,0,76.3,TA,3.8,5,WIN,D,R4,R7
2024-09-22,RPL,home,2,2,76.7,TB,0.0,7,GATED->WINDRAW,D,R3,R7
2024-09-23,RPL,home,1,1,77.6,TA,10.5,5,GATED->WINDRAW,D,R4,R4
2024-09-27,RPL,home,0,0,64.4,TB,18.9,8,WINDRAW,D,R6,R6
2024-09-27,RPL,home,1,2,81.3,TA,3.8,6,GATED->WINDRAW,A,R5,R5
2024-09-28,RPL,home,3,0,70.0,TA,3.3,7,WIN,H,R7,R5
2024-09-28,RPL,home,2,0,80.0,TB,16.3,5,WIN,H,R7,R7
2024-09-28,RPL,home,3,1,53.8,TB,0.0,5,LEAN,H,R6,R6
2024-09-28,RPL,home,0,2,70.5,TA,8.0,7,WIN,A,R6,R7
2024-09-29,RPL,home,0,1,69.8,TB,3.5,6,WIN,A,R7,R7
2024-09-29,RPL,home,0,0,61.4,TB,15.9,7,WINDRAW,D,R6,R7
