date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2024-08-25,Dynamo Moscow v FC Krasnodar,58.3,0.0,41.7,H,58.3,A,0,0,0,100,0,0,50,0,50,22,4
2024-08-25,Krylya Sovetov Sam v Pari Nizhny Novgor,36.4,4.5,59.1,A,59.1,H,0,0,0,0,0,100,40,5,55,21,2
2024-08-25,Lokomotiv Moscow v FC Rostov,36.8,15.8,47.4,A,47.4,H,100,0,0,50,50,0,30,10,60,23,4
2024-08-27,Akhmat Grozny v CSKA Moscow,28.6,17.9,53.6,A,53.6,A,0,0,0,25,25,50,30,15,55,24,4
2024-08-27,Fakel Voronezh v Rubin Kazan,8.3,8.3,83.3,A,83.3,A,0,0,0,0,0,100,10,10,80,22,3
2024-08-27,Spartak Moscow v Dynamo Makhachkala,28.6,3.6,67.9,A,67.9,A,0,0,0,75,0,25,10,5,85,24,5
2024-08-28,Dynamo Moscow v Krylya Sovetov Sam,76.1,17.0,6.8,H,76.1,H,100,0,0,50,50,0,85,5,10,25,4
2024-08-28,Lokomotiv Moscow v FC Khimki,53.6,14.3,32.1,H,53.6,H,0,0,0,75,25,0,45,10,45,24,5
2024-08-28,FC Orenburg v FC Rostov,43.9,25.6,30.5,H,43.9,A,0,0,100,0,33,67,60,25,15,24,5
2024-08-28,Pari Nizhny Novgor v FC Krasnodar,29.3,3.7,67.1,A,67.1,A,0,0,100,33,0,67,30,5,65,24,4
2024-08-31,Akhmat Grozny v Akron Tolyatti,53.8,15.4,30.8,H,53.8,D,0,0,0,33,33,33,60,10,30,23,4
2024-08-31,FC Khimki v CSKA Moscow,10.0,3.3,86.7,A,86.7,A,0,0,0,0,0,100,15,5,80,25,5
2024-08-31,Pari Nizhny Novgor v Zenit St Petersbur,11.5,7.7,80.8,A,80.8,A,0,0,0,33,0,67,5,10,85,23,4
2024-08-31,Spartak Moscow v Rubin Kazan,25.0,3.6,71.4,A,71.4,H,0,0,0,75,0,25,5,5,90,24,5
2024-09-01,Krylya Sovetov Sam v Dynamo Makhachkala,25.6,7.3,67.1,A,67.1,A,0,0,100,33,0,67,25,10,65,24,5
2024-09-01,Lokomotiv Moscow v FC Krasnodar,32.1,17.9,50.0,A,50.0,A,0,0,0,50,25,25,25,15,60,24,4
2024-09-01,FC Orenburg v Dynamo Moscow,57.1,7.1,35.7,H,57.1,D,0,0,0,25,0,75,70,10,20,24,4
2024-09-01,FC Rostov v Fakel Voronezh,78.6,7.1,14.3,H,78.6,H,0,0,0,50,25,25,90,0,10,24,5
2024-09-13,Rubin Kazan v Krylya Sovetov Sam,68.8,15.6,15.6,H,68.8,A,0,0,0,67,33,0,70,5,25,26,5
2024-09-14,CSKA Moscow v Zenit St Petersbur,26.9,26.9,46.2,A,46.2,A,0,0,0,33,33,33,25,25,50,23,3
2024-09-14,Fakel Voronezh v Pari Nizhny Novgor,46.4,21.4,32.1,H,46.4,D,0,0,0,25,75,0,55,0,45,24,5
2024-09-14,FC Krasnodar v FC Rostov,53.8,0.0,46.2,H,53.8,H,0,0,0,67,0,33,50,0,50,23,4
2024-09-14,FC Orenburg v Lokomotiv Moscow,57.0,0.0,43.0,H,57.0,A,0,0,100,17,0,83,85,0,15,27,7
2024-09-15,Akron Tolyatti v FC Khimki,43.3,13.3,43.3,H,43.3,H,0,0,0,20,20,60,55,10,35,25,5
2024-09-15,Dynamo Makhachkala v Spartak Moscow,29.8,9.6,60.6,A,60.6,D,100,0,0,20,0,80,30,15,55,26,5
2024-09-15,Dynamo Moscow v Akhmat Grozny,43.8,15.6,40.6,H,43.8,H,0,0,0,50,17,33,40,15,45,26,6
2024-09-17,Zenit St Petersbur v Rubin Kazan,91.3,2.9,5.8,H,91.3,H,100,0,0,100,0,0,85,5,10,28,8
2024-09-18,Akron Tolyatti v Fakel Voronezh,58.1,7.0,34.9,H,58.1,H,100,0,0,0,33,67,70,0,30,25,6
2024-09-18,CSKA Moscow v FC Krasnodar,52.2,6.5,41.3,H,52.2,H,0,0,100,50,0,50,60,10,30,26,4
2024-09-18,FC Rostov v FC Orenburg,67.4,13.0,19.6,H,67.4,H,100,0,0,100,0,0,50,20,30,26,6
2024-09-19,FC Khimki v Lokomotiv Moscow,15.0,6.0,79.0,A,79.0,A,0,0,100,0,0,100,25,10,65,27,7
2024-09-19,Pari Nizhny Novgor v Akhmat Grozny,40.9,0.0,59.1,A,59.1,A,0,0,100,50,0,50,40,0,60,25,4
2024-09-19,Spartak Moscow v Krylya Sovetov Sam,41.8,3.1,55.1,A,55.1,H,100,0,0,80,0,20,15,5,80,27,8
2024-09-21,Akron Tolyatti v FC Krasnodar,46.7,6.7,46.7,H,46.7,A,0,0,0,20,0,80,60,10,30,25,5
2024-09-21,Rubin Kazan v CSKA Moscow,30.0,13.3,56.7,A,56.7,D,0,0,0,0,20,80,45,10,45,25,5
2024-09-21,Zenit St Petersbur v Fakel Voronezh,91.0,6.0,3.0,H,91.0,H,100,0,0,100,0,0,85,10,5,27,7
2024-09-22,FC Khimki v FC Orenburg,49.0,9.0,42.0,H,49.0,D,100,0,0,17,17,67,65,5,30,27,7
2024-09-22,Pari Nizhny Novgor v Lokomotiv Moscow,20.0,3.3,76.7,A,76.7,A,0,0,0,20,0,80,20,5,75,25,6
2024-09-22,FC Rostov v Dynamo Makhachkala,76.7,3.3,20.0,H,76.7,D,0,0,0,80,0,20,75,5,20,25,5
2024-09-22,Spartak Moscow v Dynamo Moscow,25.0,0.0,75.0,A,75.0,D,100,0,0,50,0,50,5,0,95,27,7
2024-09-23,Akhmat Grozny v Krylya Sovetov Sam,75.0,14.3,10.7,H,75.0,D,0,0,0,50,50,0,85,0,15,24,5
2024-09-27,Fakel Voronezh v Rubin Kazan,15.0,21.0,64.0,A,64.0,D,0,0,100,0,17,83,25,15,60,27,8
2024-09-27,FC Orenburg v Pari Nizhny Novgor,76.7,3.3,20.0,H,76.7,A,0,0,0,40,0,60,95,5,0,25,6
2024-09-28,CSKA Moscow v Akhmat Grozny,73.0,3.0,24.0,H,73.0,H,100,0,0,100,0,0,55,5,40,27,7
2024-09-28,FC Krasnodar v Zenit St Petersbur,3.3,16.7,80.0,A,80.0,H,0,0,0,0,20,80,10,10,80,25,5
2024-09-28,Lokomotiv Moscow v Spartak Moscow,50.0,0.0,50.0,H,50.0,H,0,0,0,80,0,20,35,0,65,25,6
2024-09-28,FC Rostov v Akron Tolyatti,70.6,8.8,20.6,H,70.6,A,0,0,0,71,14,14,70,0,30,27,7
2024-09-29,Dynamo Makhachkala v Dynamo Moscow,28.7,3.2,68.1,A,68.1,A,0,0,100,40,0,60,25,5,70,26,7
2024-09-29,Krylya Sovetov Sam v FC Khimki,23.5,17.6,58.8,A,58.8,D,0,0,0,29,29,43,20,10,70,27,7
2024-10-01,Lokomotiv Moscow v FC Orenburg,63.8,7.8,28.4,H,63.8,H,100,0,0,75,13,13,50,5,45,30,9
2024-10-01,Pari Nizhny Novgor v CSKA Moscow,5.7,5.7,88.7,A,88.7,A,0,0,100,0,0,100,10,10,80,28,6
2024-10-01,Rubin Kazan v Fakel Voronezh,67.3,21.2,11.5,H,67.3,A,50,50,0,83,17,0,70,10,20,28,7
2024-10-02,Akhmat Grozny v FC Krasnodar,51.9,6.7,41.3,H,51.9,H,0,50,50,17,0,83,80,5,15,28,7
2024-10-02,Dynamo Moscow v Spartak Moscow,49.1,3.6,47.3,H,49.1,A,0,50,50,57,0,43,50,0,50,29,8
2024-10-02,Zenit St Petersbur v Akron Tolyatti,88.2,5.9,5.9,H,88.2,H,0,0,0,86,0,14,90,10,0,27,8
2024-10-05,Akron Tolyatti v Pari Nizhny Novgor,60.5,0.0,39.5,H,60.5,D,0,0,0,44,0,56,75,0,25,29,8
2024-10-05,Rubin Kazan v Akhmat Grozny,58.8,5.9,35.3,H,58.8,H,0,0,0,43,14,43,70,0,30,27,7
2024-10-05,Spartak Moscow v FC Rostov,22.2,11.1,66.7,A,66.7,H,0,0,0,38,25,38,10,0,90,28,7
2024-10-05,Zenit St Petersbur v FC Orenburg,88.9,2.8,8.3,H,88.9,H,0,0,0,88,0,13,90,5,5,28,8
2024-10-06,Dynamo Moscow v CSKA Moscow,34.4,9.4,56.3,A,56.3,A,0,0,0,17,17,67,45,5,50,26,7
2024-10-06,Fakel Voronezh v Dynamo Makhachkala,35.3,11.8,52.9,A,52.9,D,0,0,0,29,14,57,40,10,50,27,6
2024-10-06,FC Krasnodar v FC Khimki,47.2,5.6,47.2,H,47.2,H,0,0,0,75,13,13,25,0,75,28,8
2024-10-06,Lokomotiv Moscow v Krylya Sovetov Sam,85.3,11.8,2.9,H,85.3,H,0,0,0,86,14,0,90,5,5,27,8
2024-10-18,Akhmat Grozny v Fakel Voronezh,76.3,7.9,15.8,H,76.3,A,0,0,0,56,11,33,100,0,0,29,8
2024-10-18,Akron Tolyatti v Zenit St Petersbur,10.2,5.1,84.7,A,84.7,A,0,0,100,11,0,89,10,10,80,30,10
2024-10-19,Dynamo Makhachkala v CSKA Moscow,16.7,11.1,72.2,A,72.2,A,0,0,0,0,25,75,30,0,70,28,7
2024-10-19,FC Khimki v Lokomotiv Moscow,16.4,7.0,76.6,A,76.6,H,0,0,100,0,0,100,35,15,50,32,12
2024-10-19,Pari Nizhny Novgor v FC Rostov,28.6,0.0,71.4,A,71.4,D,0,0,0,36,0,64,20,0,80,31,10
2024-10-19,Spartak Moscow v FC Krasnodar,27.8,0.0,72.2,A,72.2,A,0,0,0,50,0,50,10,0,90,28,9
2024-10-20,FC Orenburg v Krylya Sovetov Sam,73.7,5.3,21.1,H,73.7,D,0,0,0,44,11,44,100,0,0,29,9
2024-10-20,Rubin Kazan v Dynamo Moscow,41.7,11.1,47.2,A,47.2,A,0,0,0,50,13,38,35,10,55,28,9
2024-10-22,CSKA Moscow v Akhmat Grozny,63.1,2.5,34.4,H,63.1,H,100,0,0,89,0,11,35,5,60,31,11
2024-10-22,Dynamo Makhachkala v Spartak Moscow,30.3,8.2,61.5,A,61.5,A,50,50,0,22,11,67,35,0,65,31,10
2024-10-22,Fakel Voronezh v Zenit St Petersbur,4.9,12.3,82.8,A,82.8,A,0,0,100,11,11,78,5,5,90,31,11
