date,fixture,K,zoneBase,zoneDrop2,sideBase,shareBase,shareDrop2,actual,resBase,resDrop2
2025-10-27,Akhmat Grozny v PFC Sochi,2,strong,strong,TA,92.3,92.0,A,L,L
2025-10-31,CSKA Moscow v Pari Nizhny Novgor,2,strong,strong,TA,91.5,91.3,H,W,W
2025-11-01,Dynamo Makhachkala v Krylya Sovetov Sam,2,windraw,windraw,TA,59.9,59.9,H,W,W
2025-11-01,FC Rostov v Akron Tolyatti,2,win,win,TA,75.8,75.8,A,L,L
2025-11-01,Rubin Kazan v Dynamo Moscow,2,toss,toss,TB,46.3,44.7,D,D,D
2025-11-01,Zenit St Petersbur v Lokomotiv Moscow,2,toss,toss,TA,39.7,33.8,H,W,L
2025-11-02,Baltika Kaliningra v Akhmat Grozny,2,windraw,windraw,TA,58.9,59.6,H,W,W
2025-11-02,FC Krasnodar v Spartak Moscow,2,toss,toss,TB,47.0,43.9,H,L,W
2025-11-02,FC Orenburg v PFC Sochi,2,windraw,windraw,TA,75.9,78.7,H,W,W
2025-11-05,Dynamo Makhachkala v CSKA Moscow,2,windraw,windraw,TB,57.4,57.4,H,L,L
2025-11-05,FC Orenburg v FC Krasnodar,2,windraw,windraw,TB,62.3,58.2,A,W,W
2025-11-05,Zenit St Petersbur v Dynamo Moscow,2,win,win,TA,66.9,65.4,A,L,L
2025-11-06,Spartak Moscow v Lokomotiv Moscow,2,win,win,TB,67.6,70.4,H,L,L
2025-11-08,Dynamo Makhachkala v CSKA Moscow,2,lean,windraw,TB,54.9,57.4,A,W,W
2025-11-08,Dynamo Moscow v Akron Tolyatti,2,win,strong,TA,83.8,86.0,A,L,L
2025-11-08,Pari Nizhny Novgor v Rubin Kazan,2,win,strong,TB,83.8,86.4,D,D,D
2025-11-08,PFC Sochi v FC Rostov,2,strong,strong,TB,93.1,96.3,A,W,W
2025-11-09,Akhmat Grozny v Spartak Moscow,2,lean,lean,TB,51.5,51.6,A,W,W
2025-11-09,Baltika Kaliningra v FC Krasnodar,2,toss,toss,TA,45.7,45.4,D,D,D
2025-11-09,Krylya Sovetov Sam v Zenit St Petersbur,2,win,win,TB,82.4,80.1,D,D,D
2025-11-09,Lokomotiv Moscow v FC Orenburg,2,win,win,TA,76.4,78.5,H,W,W
2025-11-21,Akron Tolyatti v PFC Sochi,2,win,win,TA,73.8,68.4,H,W,W
2025-11-22,FC Orenburg v Baltika Kaliningra,2,win,windraw,TB,66.4,64.0,D,D,D
2025-11-22,Rubin Kazan v Akhmat Grozny,2,lean,toss,TB,50.0,48.6,H,L,W
2025-11-22,Spartak Moscow v CSKA Moscow,2,lean,lean,TB,52.8,52.8,H,L,L
2025-11-23,Dynamo Moscow v Dynamo Makhachkala,2,lean,lean,TA,52.0,54.7,H,W,W
2025-11-23,Krylya Sovetov Sam v FC Rostov,2,win,win,TB,66.2,72.5,H,L,L
2025-11-23,Lokomotiv Moscow v FC Krasnodar,2,lean,lean,TA,52.1,50.7,D,D,D
2025-11-23,Pari Nizhny Novgor v Zenit St Petersbur,2,strong,strong,TB,88.7,90.8,A,W,W
2025-11-26,FC Krasnodar v FC Orenburg,2,win,win,TA,66.9,66.0,H,W,W
2025-11-26,Lokomotiv Moscow v Spartak Moscow,2,lean,lean,TA,52.7,52.7,A,L,L
2025-11-27,Dynamo Moscow v Zenit St Petersbur,2,win,win,TB,68.2,72.3,A,W,W
2025-11-29,Akron Tolyatti v Pari Nizhny Novgor,2,toss,toss,TA,47.9,47.2,A,L,L
2025-11-29,Baltika Kaliningra v Spartak Moscow,2,toss,lean,TA,48.4,51.6,H,W,W
