date,fixture,K,zoneBase,zoneDrop2,sideBase,shareBase,shareDrop2,actual,resBase,resDrop2
2024-08-18,FC Khimki v Zenit St Petersbur,2,windraw,windraw,TB,82.4,81.3,D,D,D
2024-08-18,FC Krasnodar v Pari Nizhny Novgor,2,windraw,windraw,TA,59.3,79.3,H,W,W
2024-08-18,Spartak Moscow v Fakel Voronezh,2,windraw,windraw,TA,69.1,62.5,H,W,W
2024-08-19,Akron Tolyatti v Rubin Kazan,2,lean,toss,TB,54.5,45.5,A,W,W
2024-08-19,Dynamo Makhachkala v Akhmat Grozny,2,toss,toss,TA,48.6,43.5,H,W,W
2024-08-23,Rubin Kazan v Dynamo Makhachkala,2,windraw,lean,TA,58.8,50.0,H,W,W
2024-08-24,Akhmat Grozny v FC Khimki,2,lean,toss,TA,50.0,44.4,D,D,D
2024-08-24,CSKA Moscow v Akron Tolyatti,2,lean,windraw,TA,54.4,57.8,H,W,W
2024-08-24,Fakel Voronezh v FC Orenburg,2,windraw,lean,TB,55.9,53.1,H,L,L
2024-08-24,Zenit St Petersbur v Spartak Moscow,2,windraw,windraw,TA,76.3,85.3,D,D,D
2024-08-25,Dynamo Moscow v FC Krasnodar,2,windraw,windraw,TA,55.9,60.9,A,L,W
2024-08-25,Krylya Sovetov Sam v Pari Nizhny Novgor,2,windraw,windraw,TB,57.8,57.8,H,L,L
2024-08-25,Lokomotiv Moscow v FC Rostov,2,toss,lean,TB,48.6,54.5,H,L,L
2024-08-27,Akhmat Grozny v CSKA Moscow,2,lean,windraw,TB,53.9,55.6,A,W,W
2024-08-27,Fakel Voronezh v Rubin Kazan,2,windraw,windraw,TB,82.4,82.4,A,W,W
2024-08-27,Spartak Moscow v Dynamo Makhachkala,2,windraw,windraw,TB,72.4,70.8,A,W,W
2024-08-28,Dynamo Moscow v Krylya Sovetov Sam,2,win,windraw,TA,79.3,81.6,H,W,W
2024-08-28,Lokomotiv Moscow v FC Khimki,2,lean,toss,TA,51.3,48.6,H,W,W
2024-08-28,FC Orenburg v FC Rostov,2,toss,lean,TA,46.2,50.0,A,L,L
2024-08-28,Pari Nizhny Novgor v FC Krasnodar,2,win,windraw,TB,67.9,65.3,A,W,W
2024-08-31,Akhmat Grozny v Akron Tolyatti,2,windraw,windraw,TA,55.6,61.8,D,D,D
2024-08-31,FC Khimki v CSKA Moscow,2,strong,windraw,TB,85.0,75.0,A,W,W
2024-08-31,Pari Nizhny Novgor v Zenit St Petersbur,2,windraw,strong,TB,81.9,100.0,A,W,W
2024-08-31,Spartak Moscow v Rubin Kazan,2,windraw,windraw,TB,76.3,75.0,H,L,L
2024-09-01,Krylya Sovetov Sam v Dynamo Makhachkala,2,win,windraw,TB,67.9,64.3,A,W,W
2024-09-01,Lokomotiv Moscow v FC Krasnodar,2,lean,lean,TB,52.6,50.0,A,W,W
2024-09-01,FC Orenburg v Dynamo Moscow,2,windraw,windraw,TA,60.5,68.1,D,D,D
2024-09-01,FC Rostov v Fakel Voronezh,2,windraw,windraw,TA,81.6,89.7,H,W,W
2024-09-13,Rubin Kazan v Krylya Sovetov Sam,2,windraw,windraw,TA,69.0,71.1,A,L,L
2024-09-14,CSKA Moscow v Zenit St Petersbur,2,toss,lean,TB,47.2,53.1,A,W,W
2024-09-14,Fakel Voronezh v Pari Nizhny Novgor,2,toss,lean,TA,48.7,54.4,D,D,D
2024-09-14,FC Krasnodar v FC Rostov,2,lean,lean,TA,52.8,53.1,H,W,W
2024-09-14,FC Orenburg v Lokomotiv Moscow,2,windraw,windraw,TA,61.1,62.2,A,L,L
2024-09-15,Akron Tolyatti v FC Khimki,2,toss,toss,TA,46.3,48.5,H,W,W
2024-09-15,Dynamo Makhachkala v Spartak Moscow,2,windraw,windraw,TB,57.0,59.2,D,D,D
2024-09-15,Dynamo Moscow v Akhmat Grozny,2,toss,toss,TA,42.9,46.1,H,W,L
2024-09-17,Zenit St Petersbur v Rubin Kazan,2,strong,strong,TA,90.6,89.3,H,W,W
2024-09-18,Akron Tolyatti v Fakel Voronezh,2,windraw,windraw,TA,64.3,60.7,H,W,W
2024-09-18,CSKA Moscow v FC Krasnodar,2,lean,windraw,TA,50.0,55.0,H,W,W
2024-09-18,FC Rostov v FC Orenburg,2,win,windraw,TA,65.9,59.5,H,W,W
2024-09-19,FC Khimki v Lokomotiv Moscow,2,win,win,TB,76.7,65.9,A,W,W
2024-09-19,Pari Nizhny Novgor v Akhmat Grozny,2,windraw,windraw,TB,61.0,61.0,A,W,W
2024-09-19,Spartak Moscow v Krylya Sovetov Sam,2,windraw,lean,TB,56.5,54.5,H,L,L
2024-09-21,Akron Tolyatti v FC Krasnodar,2,lean,toss,TA,50.0,46.3,A,L,L
2024-09-21,Rubin Kazan v CSKA Moscow,2,lean,toss,TB,53.8,47.4,D,D,D
2024-09-21,Zenit St Petersbur v Fakel Voronezh,2,strong,strong,TA,90.0,89.5,H,W,W
2024-09-22,FC Khimki v FC Orenburg,2,lean,windraw,TA,54.4,57.0,D,D,D
2024-09-22,Pari Nizhny Novgor v Lokomotiv Moscow,2,windraw,windraw,TB,76.3,76.3,A,W,W
2024-09-22,FC Rostov v Dynamo Makhachkala,2,windraw,windraw,TA,76.3,80.3,D,D,D
2024-09-22,Spartak Moscow v Dynamo Moscow,2,windraw,windraw,TB,76.7,74.4,D,D,D
2024-09-23,Akhmat Grozny v Krylya Sovetov Sam,2,windraw,windraw,TA,77.6,81.9,D,D,D
2024-09-27,Fakel Voronezh v Rubin Kazan,2,windraw,win,TB,64.4,68.9,D,D,D
2024-09-27,FC Orenburg v Pari Nizhny Novgor,2,windraw,windraw,TA,81.3,80.3,A,L,L
2024-09-28,CSKA Moscow v Akhmat Grozny,2,win,windraw,TA,70.0,57.8,H,W,W
2024-09-28,FC Krasnodar v Zenit St Petersbur,2,windraw,windraw,TB,80.0,82.5,H,L,L
2024-09-28,Lokomotiv Moscow v Spartak Moscow,2,lean,lean,TB,53.8,53.8,H,L,L
2024-09-28,FC Rostov v Akron Tolyatti,2,windraw,windraw,TA,70.5,69.0,A,L,L
2024-09-29,Dynamo Makhachkala v Dynamo Moscow,2,win,windraw,TB,69.8,64.6,A,W,W
2024-09-29,Krylya Sovetov Sam v FC Khimki,2,windraw,windraw,TB,61.4,64.3,D,D,D
2024-10-01,Lokomotiv Moscow v FC Orenburg,2,windraw,windraw,TA,63.5,64.6,H,W,W
2024-10-01,Pari Nizhny Novgor v CSKA Moscow,2,strong,strong,TB,87.2,85.4,A,W,W
2024-10-01,Rubin Kazan v Fakel Voronezh,2,win,win,TA,66.7,75.6,A,L,L
2024-10-02,Akhmat Grozny v FC Krasnodar,2,lean,lean,TA,54.2,50.0,H,W,W
2024-10-02,Dynamo Moscow v Spartak Moscow,2,toss,lean,TB,48.0,53.3,A,W,W
2024-10-02,Zenit St Petersbur v Akron Tolyatti,2,strong,strong,TA,88.6,87.5,H,W,W
2024-10-05,Akron Tolyatti v Pari Nizhny Novgor,2,windraw,windraw,TA,63.5,69.3,D,D,D
2024-10-05,Rubin Kazan v Akhmat Grozny,2,windraw,windraw,TA,61.4,61.4,H,W,W
2024-10-05,Spartak Moscow v FC Rostov,2,windraw,windraw,TB,71.7,69.0,H,L,L
2024-10-05,Zenit St Petersbur v FC Orenburg,2,strong,strong,TA,89.1,88.1,H,W,W
2024-10-06,Dynamo Moscow v CSKA Moscow,2,lean,lean,TB,54.8,53.6,A,W,W
2024-10-06,Fakel Voronezh v Dynamo Makhachkala,2,lean,lean,TB,52.3,50.0,D,D,D
2024-10-06,FC Krasnodar v FC Khimki,2,lean,lean,TB,53.3,51.1,H,L,W
2024-10-06,Lokomotiv Moscow v Krylya Sovetov Sam,2,strong,windraw,TA,85.2,82.9,H,W,W
2024-10-18,Akhmat Grozny v Fakel Voronezh,2,windraw,windraw,TA,80.2,79.5,A,L,L
2024-10-18,Akron Tolyatti v Zenit St Petersbur,2,win,windraw,TB,84.3,81.8,A,W,W
2024-10-19,Dynamo Makhachkala v CSKA Moscow,2,windraw,windraw,TB,71.7,70.5,A,W,W
2024-10-19,FC Khimki v Lokomotiv Moscow,2,win,win,TB,73.2,71.2,H,L,L
2024-10-19,Pari Nizhny Novgor v FC Rostov,2,windraw,windraw,TB,73.1,76.0,D,D,D
2024-10-19,Spartak Moscow v FC Krasnodar,2,windraw,strong,TB,76.1,86.9,A,W,W
2024-10-20,FC Orenburg v Krylya Sovetov Sam,2,windraw,windraw,TA,79.2,85.7,D,D,D
2024-10-20,Rubin Kazan v Dynamo Moscow,2,toss,lean,TB,48.9,53.6,A,W,W
2024-10-22,CSKA Moscow v Akhmat Grozny,2,windraw,windraw,TA,60.2,55.2,H,W,W
2024-10-22,Dynamo Makhachkala v Spartak Moscow,2,windraw,windraw,TB,58.3,57.3,A,W,W
2024-10-22,Fakel Voronezh v Zenit St Petersbur,2,win,strong,TB,84.3,87.5,A,W,W
2024-10-23,Akron Tolyatti v Rubin Kazan,2,windraw,lean,TB,55.8,54.3,A,W,W
2024-10-23,FC Krasnodar v Pari Nizhny Novgor,2,toss,toss,TA,48.1,41.7,A,L,L
2024-10-23,FC Orenburg v FC Khimki,2,windraw,win,TA,64.8,67.0,H,W,W
2024-10-24,Krylya Sovetov Sam v Dynamo Moscow,2,strong,strong,TB,86.5,89.1,A,W,W
2024-10-26,CSKA Moscow v Fakel Voronezh,2,windraw,windraw,TA,78.0,79.3,D,D,D
2024-10-26,Dynamo Makhachkala v Akron Tolyatti,2,windraw,windraw,TB,62.0,64.6,D,D,D
2024-10-26,FC Rostov v Akhmat Grozny,2,windraw,windraw,TA,57.4,60.4,A,L,L
2024-10-27,FC Khimki v Dynamo Moscow,2,windraw,windraw,TB,78.8,74.0,A,W,W
2024-10-27,FC Orenburg v Rubin Kazan,2,windraw,windraw,TA,62.5,59.4,A,L,L
2024-10-27,Pari Nizhny Novgor v Spartak Moscow,2,windraw,windraw,TB,67.3,68.8,A,W,W
2024-10-27,Zenit St Petersbur v Lokomotiv Moscow,2,windraw,windraw,TA,78.0,77.1,D,D,D
2024-10-28,Krylya Sovetov Sam v FC Krasnodar,2,windraw,windraw,TB,64.0,62.5,A,W,W
2024-11-01,Dynamo Moscow v FC Rostov,2,windraw,windraw,TA,67.0,68.3,D,D,D
2024-11-02,CSKA Moscow v Spartak Moscow,2,toss,toss,TA,44.4,44.0,A,L,L
2024-11-02,Lokomotiv Moscow v Rubin Kazan,2,windraw,windraw,TA,69.4,67.0,H,W,W
2024-11-02,Zenit St Petersbur v Dynamo Makhachkala,2,windraw,windraw,TA,77.8,76.0,H,W,W
2024-11-03,Akhmat Grozny v Pari Nizhny Novgor,2,win,win,TA,76.7,71.4,A,L,L
2024-11-03,Akron Tolyatti v Krylya Sovetov Sam,2,windraw,windraw,TA,59.3,60.0,H,W,W
2024-11-03,Fakel Voronezh v FC Khimki,2,lean,lean,TB,50.9,51.0,D,D,D
2024-11-03,FC Krasnodar v FC Orenburg,2,lean,lean,TA,51.9,50.0,H,W,W
2024-11-09,Dynamo Makhachkala v FC Orenburg,2,windraw,windraw,TB,58.6,64.0,H,L,L
2024-11-09,Dynamo Moscow v Pari Nizhny Novgor,2,windraw,strong,TA,80.2,85.6,H,W,W
2024-11-09,Lokomotiv Moscow v Fakel Voronezh,2,windraw,windraw,TA,72.4,68.0,H,W,W
2024-11-09,FC Rostov v FC Khimki,2,win,win,TA,71.3,71.8,H,W,W
2024-11-10,Akhmat Grozny v Zenit St Petersbur,2,windraw,lean,TB,58.6,53.8,A,W,W
2024-11-10,Krylya Sovetov Sam v CSKA Moscow,2,strong,strong,TB,87.1,89.0,A,W,W
2024-11-10,Rubin Kazan v FC Krasnodar,2,windraw,windraw,TA,60.3,67.3,D,D,D
2024-11-10,Spartak Moscow v Akron Tolyatti,2,windraw,windraw,TB,59.5,69.0,H,L,L
2024-11-22,Rubin Kazan v Akron Tolyatti,2,windraw,windraw,TA,59.7,61.0,H,W,W
2024-11-23,CSKA Moscow v FC Rostov,2,toss,toss,TB,41.0,44.5,A,W,W
2024-11-23,FC Khimki v FC Krasnodar,2,lean,windraw,TB,54.9,57.3,D,D,D
2024-11-23,FC Orenburg v Zenit St Petersbur,2,win,win,TB,68.9,65.5,A,W,W
2024-11-23,Spartak Moscow v Lokomotiv Moscow,2,windraw,win,TB,59.0,67.9,H,L,L
2024-11-24,Fakel Voronezh v Dynamo Moscow,2,strong,win,TB,85.2,83.0,D,D,D
2024-11-24,Krylya Sovetov Sam v Akhmat Grozny,2,windraw,windraw,TB,61.5,60.9,H,L,L
2024-11-24,Pari Nizhny Novgor v Dynamo Makhachkala,2,windraw,windraw,TB,59.8,59.1,D,D,D
2024-11-26,CSKA Moscow v Rubin Kazan,2,toss,toss,TA,42.6,44.7,H,W,W
2024-11-27,Akhmat Grozny v Zenit St Petersbur,2,win,windraw,TB,65.6,63.8,A,W,W
2024-11-27,FC Rostov v Spartak Moscow,2,toss,toss,TA,48.4,48.3,H,W,W
2024-11-30,Akron Tolyatti v FC Orenburg,2,lean,lean,TB,50.0,51.7,H,L,L
2024-11-30,CSKA Moscow v Rubin Kazan,2,toss,toss,TA,45.3,45.1,D,D,D
2024-11-30,FC Rostov v Pari Nizhny Novgor,2,win,windraw,TA,78.7,72.0,H,W,W
2024-12-01,Dynamo Makhachkala v Fakel Voronezh,2,toss,lean,TA,41.0,52.6,D,D,D
2024-12-01,FC Krasnodar v Spartak Moscow,2,toss,lean,TB,48.4,50.0,A,W,W
2024-12-01,Lokomotiv Moscow v FC Khimki,2,windraw,win,TA,63.4,65.4,A,L,L
2024-12-01,Zenit St Petersbur v Krylya Sovetov Sam,2,strong,strong,TA,90.2,89.8,A,L,L
2024-12-02,Akhmat Grozny v Dynamo Moscow,2,lean,windraw,TB,54.1,57.6,D,D,D
2024-12-07,Dynamo Makhachkala v Rubin Kazan,2,windraw,windraw,TB,55.7,59.0,A,W,W
2024-12-07,FC Rostov v Krylya Sovetov Sam,2,win,win,TA,72.1,73.8,H,W,W
2024-12-07,Spartak Moscow v Pari Nizhny Novgor,2,windraw,lean,TA,56.6,53.3,H,W,W
2024-12-07,Zenit St Petersbur v Akron Tolyatti,2,win,strong,TA,72.7,96.9,A,L,L
2024-12-08,Akhmat Grozny v FC Orenburg,2,toss,toss,TB,44.3,44.3,H,L,L
2024-12-08,Dynamo Moscow v FC Khimki,2,win,win,TA,77.0,82.0,H,W,W
2024-12-08,Fakel Voronezh v CSKA Moscow,2,windraw,win,TB,63.9,73.8,A,W,W
2024-12-08,FC Krasnodar v Lokomotiv Moscow,2,toss,toss,TB,49.2,49.2,D,D,D
2025-02-28,Dynamo Makhachkala v Lokomotiv Moscow,2,windraw,windraw,TB,59.8,59.8,D,D,D
2025-03-01,Akhmat Grozny v Rubin Kazan,2,windraw,windraw,TA,62.3,62.3,H,W,W
2025-03-01,FC Krasnodar v Krylya Sovetov Sam,2,lean,win,TA,54.9,69.7,D,D,D
2025-03-01,Pari Nizhny Novgor v Akron Tolyatti,2,windraw,windraw,TB,69.7,66.4,H,L,L
2025-03-01,Zenit St Petersbur v CSKA Moscow,2,lean,win,TA,54.9,77.9,D,D,D
2025-03-02,FC Khimki v Fakel Voronezh,2,lean,lean,TA,53.3,53.3,H,W,W
2025-03-02,FC Rostov v Dynamo Moscow,2,toss,toss,TB,43.4,46.7,D,D,D
2025-03-02,Spartak Moscow v FC Orenburg,2,lean,lean,TB,51.6,51.6,H,L,L
2025-03-07,Lokomotiv Moscow v Akhmat Grozny,2,windraw,windraw,TA,62.3,62.3,D,D,D
2025-03-07,Pari Nizhny Novgor v FC Krasnodar,2,win,win,TB,75.4,75.4,A,W,W
2025-03-08,CSKA Moscow v FC Khimki,2,windraw,windraw,TA,59.0,59.0,H,W,W
2025-03-08,Dynamo Moscow v Dynamo Makhachkala,2,lean,lean,TA,50.0,50.0,H,W,W
2025-03-08,Fakel Voronezh v Zenit St Petersbur,2,win,win,TB,84.3,81.3,A,W,W
2025-03-08,FC Orenburg v FC Rostov,2,win,lean,TB,69.4,50.0,A,W,L
2025-03-09,Krylya Sovetov Sam v Akron Tolyatti,2,toss,toss,TB,48.4,48.4,A,W,W
2025-03-09,Rubin Kazan v Spartak Moscow,2,lean,toss,TB,52.5,49.2,H,L,L
2025-03-11,Dynamo Makhachkala v Lokomotiv Moscow,2,windraw,windraw,TB,57.0,59.8,A,W,W
2025-03-11,FC Krasnodar v Akhmat Grozny,2,toss,toss,TA,47.8,47.8,A,L,W
2025-03-12,Akron Tolyatti v Spartak Moscow,2,lean,lean,TB,54.1,51.6,A,W,W
2025-03-12,CSKA Moscow v Dynamo Moscow,2,win,windraw,TB,65.6,59.0,H,L,L
2025-03-12,Lokomotiv Moscow v Akhmat Grozny,2,lean,windraw,TA,54.7,62.3,H,W,W
2025-03-12,FC Rostov v Zenit St Petersbur,2,lean,windraw,TB,53.3,56.6,A,W,W
2025-03-15,Dynamo Makhachkala v Krylya Sovetov Sam,2,windraw,windraw,TA,55.5,55.5,H,W,W
2025-03-15,FC Khimki v Akhmat Grozny,2,windraw,windraw,TB,57.4,57.4,D,D,D
2025-03-15,Lokomotiv Moscow v Dynamo Moscow,2,windraw,lean,TB,56.6,53.3,H,L,L
2025-03-15,FC Orenburg v Fakel Voronezh,2,windraw,windraw,TA,62.3,69.7,H,W,W
2025-03-16,Akron Tolyatti v CSKA Moscow,2,win,win,TB,68.9,68.9,A,W,W
2025-03-16,FC Rostov v FC Krasnodar,2,windraw,windraw,TA,59.8,59.8,A,L,L
2025-03-16,Rubin Kazan v Pari Nizhny Novgor,2,strong,strong,TA,86.9,86.9,H,W,W
2025-03-16,Spartak Moscow v Zenit St Petersbur,2,windraw,windraw,TB,61.5,61.5,H,L,L
2025-03-28,Krylya Sovetov Sam v Lokomotiv Moscow,2,windraw,windraw,TB,64.8,64.8,H,L,L
2025-03-29,CSKA Moscow v Dynamo Makhachkala,2,windraw,windraw,TA,56.6,56.6,H,W,W
2025-03-29,Dynamo Moscow v FC Orenburg,2,windraw,windraw,TA,59.0,59.0,H,W,W
2025-03-29,FC Khimki v Pari Nizhny Novgor,2,win,win,TA,68.0,68.0,H,W,W
2025-03-30,Akhmat Grozny v Spartak Moscow,2,toss,toss,TA,45.9,45.9,D,D,D
2025-03-30,FC Krasnodar v Fakel Voronezh,2,windraw,windraw,TA,56.6,59.0,H,W,W
2025-03-30,Zenit St Petersbur v Rubin Kazan,2,win,win,TA,70.1,65.7,H,W,W
2025-03-31,Akron Tolyatti v FC Rostov,2,win,win,TB,70.5,70.5,A,W,W
2025-04-04,Pari Nizhny Novgor v FC Orenburg,2,windraw,windraw,TB,62.3,64.8,A,W,W
2025-04-05,Fakel Voronezh v Akhmat Grozny,2,windraw,lean,TB,56.6,53.3,D,D,D
2025-04-05,FC Krasnodar v Akron Tolyatti,2,toss,lean,TB,46.7,50.0,H,L,L
2025-04-05,Krylya Sovetov Sam v Rubin Kazan,2,windraw,windraw,TB,59.0,63.9,D,D,D
2025-04-05,Lokomotiv Moscow v Zenit St Petersbur,2,lean,lean,TB,52.5,53.3,D,D,D
2025-04-06,CSKA Moscow v Dynamo Moscow,2,lean,windraw,TB,53.1,57.8,H,L,L
2025-04-06,Dynamo Makhachkala v FC Khimki,2,toss,toss,TA,42.6,46.7,H,W,W
2025-04-06,FC Rostov v Spartak Moscow,2,toss,toss,TA,47.7,47.7,A,L,L
2025-04-11,Spartak Moscow v Dynamo Makhachkala,2,lean,toss,TB,50.7,44.0,A,W,W
2025-04-12,Akhmat Grozny v FC Rostov,2,toss,toss,TB,47.5,47.5,H,L,L
2025-04-12,FC Orenburg v CSKA Moscow,2,lean,lean,TB,54.9,54.9,A,W,W
2025-04-12,Pari Nizhny Novgor v Dynamo Moscow,2,strong,win,TB,86.9,83.6,D,D,D
2025-04-12,Rubin Kazan v Lokomotiv Moscow,2,toss,lean,TB,49.2,52.5,H,L,L
2025-04-13,Akron Tolyatti v Fakel Voronezh,2,windraw,windraw,TA,60.4,55.2,H,W,W
2025-04-13,FC Khimki v Krylya Sovetov Sam,2,windraw,toss,TB,55.7,48.4,A,W,W
2025-04-13,Zenit St Petersbur v FC Krasnodar,2,windraw,windraw,TA,60.7,60.7,H,W,W
2025-04-15,Lokomotiv Moscow v Akhmat Grozny,2,windraw,windraw,TA,56.7,56.7,H,W,W
2025-04-15,Spartak Moscow v Ural Yekaterinburg,2,toss,NC,TA,42.9,,H,W,NC
2025-04-16,Dynamo Moscow v CSKA Moscow,2,windraw,lean,TB,56.0,53.9,D,D,D
2025-04-16,Zenit St Petersbur v FC Rostov,2,win,windraw,TA,65.6,62.5,H,W,W
2025-04-19,Akron Tolyatti v Spartak Moscow,2,windraw,windraw,TB,61.7,61.7,A,W,W
2025-04-19,FC Krasnodar v Akhmat Grozny,2,toss,toss,TB,49.3,49.3,H,L,L
2025-04-19,Lokomotiv Moscow v Pari Nizhny Novgor,2,strong,strong,TA,91.8,91.8,H,W,W
2025-04-19,FC Orenburg v Dynamo Makhachkala,2,toss,toss,TB,41.0,43.4,H,L,W
2025-04-20,CSKA Moscow v Krylya Sovetov Sam,2,windraw,windraw,TA,63.1,63.1,D,D,D
2025-04-20,Dynamo Moscow v Rubin Kazan,2,lean,windraw,TA,53.3,56.6,H,W,W
2025-04-20,Fakel Voronezh v FC Rostov,2,win,win,TB,74.6,74.6,A,W,W
2025-04-20,Zenit St Petersbur v FC Khimki,2,strong,win,TA,87.7,79.5,H,W,W
2025-04-25,Dynamo Makhachkala v FC Krasnodar,2,toss,toss,TB,48.4,45.9,A,W,W
2025-04-26,Dynamo Moscow v Zenit St Petersbur,2,win,win,TB,72.1,72.1,D,D,D
2025-04-26,Pari Nizhny Novgor v Akhmat Grozny,2,win,win,TB,81.3,81.3,H,L,L
2025-04-26,FC Rostov v Lokomotiv Moscow,2,toss,toss,TA,47.7,47.7,D,D,D
2025-04-26,Spartak Moscow v CSKA Moscow,2,lean,lean,TB,53.3,50.0,A,W,W
2025-04-27,FC Khimki v Akron Tolyatti,2,windraw,windraw,TB,58.2,58.2,D,D,D
2025-04-27,Krylya Sovetov Sam v FC Orenburg,2,toss,lean,TB,49.2,52.5,H,L,L
2025-04-27,Rubin Kazan v Fakel Voronezh,2,windraw,windraw,TA,62.7,59.7,H,W,W
2025-04-29,Spartak Moscow v Dynamo Moscow,2,toss,toss,TB,45.5,45.5,H,L,L
2025-04-30,Lokomotiv Moscow v FC Rostov,2,lean,lean,TB,50.0,52.3,A,W,W
2025-04-30,Spartak Moscow v FC Rostov,2,lean,lean,TB,52.2,52.2,A,W,W
2025-04-30,Zenit St Petersbur v CSKA Moscow,2,windraw,windraw,TA,57.0,60.2,H,W,W
2025-05-02,Akron Tolyatti v Dynamo Makhachkala,2,windraw,windraw,TB,59.0,62.3,H,L,L
2025-05-03,FC Krasnodar v Rubin Kazan,2,toss,toss,TA,49.2,39.3,H,W,W
2025-05-03,Lokomotiv Moscow v FC Orenburg,2,win,win,TA,69.4,69.4,D,D,D
2025-05-04,Akhmat Grozny v CSKA Moscow,2,lean,toss,TB,54.5,48.5,D,D,D
2025-05-04,Fakel Voronezh v Spartak Moscow,2,windraw,windraw,TB,55.7,55.7,D,D,D
2025-05-04,FC Khimki v FC Rostov,2,strong,strong,TB,88.3,88.3,D,D,D
2025-05-04,Zenit St Petersbur v Pari Nizhny Novgor,2,strong,strong,TA,92.6,92.6,H,W,W
2025-05-05,Krylya Sovetov Sam v Dynamo Moscow,2,win,win,TB,69.4,69.4,A,W,W
2025-05-10,CSKA Moscow v FC Krasnodar,2,toss,toss,TB,45.5,46.3,H,L,W
2025-05-10,Dynamo Makhachkala v Zenit St Petersbur,2,win,win,TB,74.6,74.6,A,W,W
2025-05-10,FC Orenburg v FC Khimki,2,windraw,windraw,TA,56.0,61.9,D,D,D
2025-05-11,Akron Tolyatti v Akhmat Grozny,2,windraw,windraw,TB,58.2,58.2,H,L,L
2025-05-11,Dynamo Moscow v Spartak Moscow,2,lean,toss,TB,50.0,47.8,H,L,L
2025-05-11,Fakel Voronezh v Lokomotiv Moscow,2,win,strong,TB,82.8,85.2,A,W,W
2025-05-11,Rubin Kazan v FC Rostov,2,windraw,windraw,TB,56.6,56.6,H,L,L
2025-05-12,Pari Nizhny Novgor v Krylya Sovetov Sam,2,windraw,windraw,TB,61.5,58.2,H,L,L
2025-05-15,Spartak Moscow v FC Rostov,2,windraw,lean,TB,57.1,54.3,A,W,W
2025-05-17,FC Khimki v Rubin Kazan,2,win,win,TB,67.2,67.2,H,L,L
2025-05-17,FC Orenburg v FC Krasnodar,2,lean,lean,TB,50.0,50.0,A,W,W
2025-05-17,Pari Nizhny Novgor v Fakel Voronezh,2,toss,toss,TB,41.0,41.0,D,D,D
2025-05-18,Akhmat Grozny v Dynamo Makhachkala,2,toss,toss,TA,44.3,44.3,D,D,D
2025-05-18,Dynamo Moscow v Akron Tolyatti,2,win,win,TA,83.6,83.6,H,W,W
2025-05-18,Krylya Sovetov Sam v Spartak Moscow,2,windraw,windraw,TB,60.4,60.4,A,W,W
2025-05-18,FC Rostov v Zenit St Petersbur,2,lean,windraw,TB,54.5,60.4,A,W,W
2025-05-19,Akron Tolyatti v Lokomotiv Moscow,2,win,win,TB,72.1,69.7,A,W,W
2025-05-19,CSKA Moscow v Pari Nizhny Novgor,2,win,strong,TA,82.8,88.3,H,W,W
2025-05-19,Dynamo Makhachkala v FC Rostov,2,lean,lean,TB,54.9,54.9,D,D,D
2025-05-19,Fakel Voronezh v Krylya Sovetov Sam,2,lean,lean,TA,53.3,50.0,D,D,D
2025-05-19,FC Krasnodar v Dynamo Moscow,2,toss,toss,TB,45.1,45.1,H,L,L
2025-05-19,Lokomotiv Moscow v CSKA Moscow,2,toss,toss,TB,41.0,41.0,D,D,D
2025-05-19,Rubin Kazan v FC Orenburg,2,windraw,windraw,TA,61.5,61.5,H,W,W
2025-05-19,Spartak Moscow v FC Khimki,2,win,win,TA,68.0,71.3,H,W,W
2025-05-19,Zenit St Petersbur v Akhmat Grozny,2,win,win,TA,73.4,73.4,H,W,W
2025-07-12,FC Krasnodar v CSKA Moscow,2,windraw,lean,TB,55.7,52.9,A,W,W
2025-07-17,Víkingur Reykjavík v Malisheva,2,windraw,NC,TA,100.0,,H,W,NC
2025-07-19,Akron Tolyatti v Krylya Sovetov Sam,2,toss,windraw,TB,46.9,57.8,D,D,D
2025-07-19,Spartak Moscow v Dynamo Makhachkala,2,lean,lean,TB,52.1,52.1,H,L,L
2025-07-20,Akhmat Grozny v Rubin Kazan,2,windraw,windraw,TA,60.9,60.9,A,L,L
2025-07-20,Pari Nizhny Novgor v FC Krasnodar,2,win,win,TB,78.6,78.6,A,W,W
2025-07-20,Zenit St Petersbur v FC Rostov,2,lean,lean,TA,52.1,50.0,H,W,W
2025-07-21,FC Orenburg v CSKA Moscow,2,windraw,windraw,TB,60.9,57.8,D,D,D
2025-07-25,Krylya Sovetov Sam v Pari Nizhny Novgor,2,win,win,TA,68.0,68.0,H,W,W
2025-07-26,Dynamo Moscow v FC Rostov,2,lean,toss,TB,52.3,49.2,H,L,L
2025-07-26,FC Krasnodar v Lokomotiv Moscow,2,windraw,windraw,TB,55.5,55.5,A,W,W
2025-07-26,PFC Sochi v Akron Tolyatti,2,windraw,NC,TB,81.3,,A,W,NC
2025-07-26,Spartak Moscow v Baltika Kaliningra,2,windraw,NC,TB,60.9,,A,W,NC
2025-07-27,CSKA Moscow v Akhmat Grozny,2,lean,toss,TA,50.7,47.9,H,W,W
2025-07-27,FC Orenburg v Dynamo Makhachkala,2,toss,toss,TB,37.5,39.1,D,D,D
2025-07-27,Rubin Kazan v Zenit St Petersbur,2,win,win,TB,77.9,77.9,D,D,D
