Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Russia,Premier League,2025/2026,18/07/2025,18:30,Dynamo Moscow,Baltika,1,1,D,1.56,4.25,5.96,1.56,4.25,5.96,1.56,4.25,5.96
Russia,Premier League,2025/2026,19/07/2025,13:30,Akron Togliatti,Krylya Sovetov,1,1,D,2.53,3.47,2.82,2.53,3.47,2.82,2.53,3.47,2.82
Russia,Premier League,2025/2026,19/07/2025,16:00,Lokomotiv Moscow,Sochi,3,0,H,1.78,3.86,4.55,1.78,3.86,4.55,1.78,3.86,4.55
Russia,Premier League,2025/2026,19/07/2025,18:30,Spartak Moscow,Dynamo Makhachkala,1,0,H,1.34,5.16,9.5,1.34,5.16,9.5,1.34,5.16,9.5
Russia,Premier League,2025/2026,20/07/2025,13:30,Pari NN,Krasnodar,0,3,A,7.46,4.77,1.43,7.46,4.77,1.43,7.46,4.77,1.43
Russia,Premier League,2025/2026,20/07/2025,16:00,Zenit,FK Rostov,2,1,H,1.32,5.5,9.61,1.32,5.5,9.61,1.32,5.5,9.61
Russia,Premier League,2025/2026,20/07/2025,18:30,Akhmat Grozny,Rubin Kazan,0,2,A,2.24,3.36,3.39,2.24,3.36,3.39,2.24,3.36,3.39
Russia,Premier League,2025/2026,21/07/2025,15:30,Orenburg,CSKA Moscow,0,0,D,6.13,4.44,1.52,6.13,4.44,1.52,6.13,4.44,1.52
Russia,Premier League,2025/2026,25/07/2025,17:00,Krylya Sovetov,Pari NN,2,0,H,1.9,3.66,4.24,,,,,,
Russia,Premier League,2025/2026,26/07/2025,13:00,Spartak Moscow,Baltika,0,3,A,1.42,4.63,8.31,,,,,,
Russia,Premier League,2025/2026,26/07/2025,15:30,Dynamo Moscow,FK Rostov,1,0,H,1.65,4.14,5.33,,,,,,
Russia,Premier League,2025/2026,26/07/2025,17:00,Krasnodar,Lokomotiv Moscow,1,2,A,1.75,3.78,5.01,,,,,,
Russia,Premier League,2025/2026,26/07/2025,18:30,Sochi,Akron Togliatti,0,4,A,2.44,3.5,2.95,,,,,,
Russia,Premier League,2025/2026,27/07/2025,13:00,CSKA Moscow,Akhmat Grozny,2,1,H,1.67,3.82,5.67,,,,,,
Russia,Premier League,2025/2026,27/07/2025,15:30,Orenburg,Dynamo Makhachkala,1,1,D,2.66,3.29,2.83,,,,,,
Russia,Premier League,2025/2026,27/07/2025,18:00,Rubin Kazan,Zenit,2,2,D,5.51,3.84,1.68,,,,,,
Russia,Premier League,2025/2026,02/08/2025,16:00,FK Rostov,Krylya Sovetov,1,4,A,2.04,3.51,3.87,,,,,,
Russia,Premier League,2025/2026,02/08/2025,18:30,Krasnodar,Dynamo Moscow,1,0,H,1.96,3.67,3.98,,,,,,
Russia,Premier League,2025/2026,02/08/2025,18:30,Pari NN,Lokomotiv Moscow,2,3,A,5.3,4.32,1.62,,,,,,
Russia,Premier League,2025/2026,03/08/2025,11:30,Akron Togliatti,Spartak Moscow,1,1,D,5.05,4.32,1.65,,,,,,
Russia,Premier League,2025/2026,03/08/2025,13:45,Baltika,Orenburg,3,2,H,1.49,4.51,6.91,,,,,,
Russia,Premier League,2025/2026,03/08/2025,16:00,Zenit,CSKA Moscow,1,1,D,1.72,3.56,5.77,,,,,,
Russia,Premier League,2025/2026,03/08/2025,18:30,Dynamo Makhachkala,Akhmat Grozny,1,0,H,3.72,3,2.32,,,,,,
Russia,Premier League,2025/2026,04/08/2025,18:00,Rubin Kazan,Sochi,2,1,H,1.83,3.64,4.62,,,,,,
Russia,Premier League,2025/2026,08/08/2025,18:00,Dynamo Makhachkala,Akron Togliatti,1,1,D,2.52,3.39,2.93,,,,,,
Russia,Premier League,2025/2026,09/08/2025,11:30,Krylya Sovetov,Baltika,1,1,D,2.96,3.3,2.55,,,,,,
Russia,Premier League,2025/2026,09/08/2025,13:45,CSKA Moscow,Rubin Kazan,5,1,H,1.95,3.49,4.24,,,,,,
Russia,Premier League,2025/2026,09/08/2025,16:00,Lokomotiv Moscow,Spartak Moscow,4,2,H,3.71,3.48,2.09,,,,,,
Russia,Premier League,2025/2026,09/08/2025,18:30,Akhmat Grozny,Zenit,1,0,H,5.47,3.98,1.66,,,,,,
Russia,Premier League,2025/2026,10/08/2025,13:30,Orenburg,Krasnodar,0,1,A,7.85,5,1.41,,,,,,
Russia,Premier League,2025/2026,10/08/2025,16:00,Sochi,Dynamo Moscow,1,1,D,4.62,4.1,1.74,,,,,,
Russia,Premier League,2025/2026,10/08/2025,18:30,FK Rostov,Pari NN,1,0,H,1.75,3.98,4.69,,,,,,
Russia,Premier League,2025/2026,16/08/2025,13:00,Baltika,Lokomotiv Moscow,1,1,D,2.42,3.27,3.18,,,,,,
