Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Russia,Premier League,2024/2025,01/12/2024,11:00,Lokomotiv Moscow,Khimki,1,3,A,1.61,4.48,5.17,1.61,4.6,5.52,1.57,4.43,5.25
Russia,Premier League,2024/2025,01/12/2024,13:30,Zenit,Krylya Sovetov,2,3,A,1.26,6.23,12,1.3,6.55,12,1.27,5.86,10.54
Russia,Premier League,2024/2025,01/12/2024,16:00,Dynamo Makhachkala,Fakel Voronezh,0,0,D,2.31,2.73,4.28,2.31,2.92,4.28,2.24,2.78,4.05
Russia,Premier League,2024/2025,01/12/2024,16:30,Krasnodar,Spartak Moscow,0,3,A,2.3,3.39,3.3,2.31,3.44,3.3,2.27,3.35,3.18
Russia,Premier League,2024/2025,02/12/2024,16:00,Akhmat Grozny,Dynamo Moscow,1,1,D,3.31,3.9,2.1,3.47,3.97,2.15,3.26,3.81,2.07
Russia,Premier League,2024/2025,07/12/2024,11:00,Spartak Moscow,Pari NN,3,0,H,1.17,7.66,17.46,1.21,7.66,17.46,1.18,6.98,15
Russia,Premier League,2024/2025,07/12/2024,13:30,FK Rostov,Krylya Sovetov,3,1,H,1.68,4.12,5.04,1.73,4.12,5.2,1.68,3.96,4.8
Russia,Premier League,2024/2025,07/12/2024,13:30,Zenit,Akron Togliatti,1,2,A,1.16,8.89,15.01,1.17,9.07,17.1,1.15,8.5,14.74
Russia,Premier League,2024/2025,07/12/2024,16:00,Dynamo Makhachkala,Rubin Kazan,2,3,A,2.93,2.77,3.03,2.98,2.85,3.03,2.88,2.79,2.91
Russia,Premier League,2024/2025,08/12/2024,11:00,Dynamo Moscow,Khimki,4,1,H,1.39,5.59,7.05,1.44,5.59,7.05,1.4,5.34,6.56
Russia,Premier League,2024/2025,08/12/2024,13:30,Fakel Voronezh,CSKA Moscow,0,1,A,4.68,3.01,2.04,4.7,3.07,2.05,4.5,2.99,2.01
Russia,Premier League,2024/2025,08/12/2024,16:00,Akhmat Grozny,Orenburg,1,0,H,1.81,3.8,4.54,1.83,3.82,4.79,1.79,3.7,4.42
Russia,Premier League,2024/2025,08/12/2024,16:30,Krasnodar,Lokomotiv Moscow,0,0,D,1.86,3.95,4.08,1.9,4.1,4.2,1.83,3.92,4.01
Russia,Premier League,2024/2025,28/02/2025,16:00,Dynamo Makhachkala,Lokomotiv Moscow,1,1,D,3.4,3.21,2.34,3.73,3.22,2.34,3.46,3.15,2.26
